,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
432,R45,1,2010,All Dwelling Statuses,All Buyer Types,
433,R45,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
434,R45,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
435,R45,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
992,R45,1,2010,New,All Buyer Types,
993,R45,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
994,R45,1,2010,New,Household Buyer - Former Owner-Occupier,
995,R45,1,2010,New,Household Buyer - Non-Occupier,
1552,R45,1,2010,Existing,All Buyer Types,
1553,R45,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1554,R45,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1555,R45,1,2010,Existing,Household Buyer - Non-Occupier,
2112,R45,2,2010,All Dwelling Statuses,All Buyer Types,
2113,R45,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
2114,R45,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2115,R45,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2672,R45,2,2010,New,All Buyer Types,
2673,R45,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2674,R45,2,2010,New,Household Buyer - Former Owner-Occupier,
2675,R45,2,2010,New,Household Buyer - Non-Occupier,
3232,R45,2,2010,Existing,All Buyer Types,
3233,R45,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3234,R45,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3235,R45,2,2010,Existing,Household Buyer - Non-Occupier,
3792,R45,3,2010,All Dwelling Statuses,All Buyer Types,124340.0
3793,R45,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,110675.0
3794,R45,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,227000.0
3795,R45,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,86675.0
4352,R45,3,2010,New,All Buyer Types,124340.0
4353,R45,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,110675.0
4354,R45,3,2010,New,Household Buyer - Former Owner-Occupier,227000.0
4355,R45,3,2010,New,Household Buyer - Non-Occupier,86675.0
4912,R45,3,2010,Existing,All Buyer Types,
4913,R45,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4914,R45,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4915,R45,3,2010,Existing,Household Buyer - Non-Occupier,
5472,R45,4,2010,All Dwelling Statuses,All Buyer Types,85675.0
5473,R45,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5474,R45,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5475,R45,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,85675.0
6032,R45,4,2010,New,All Buyer Types,85675.0
6033,R45,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6034,R45,4,2010,New,Household Buyer - Former Owner-Occupier,
