,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
36,A83,1,2010,All Dwelling Statuses,All Buyer Types,233800.0
37,A83,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,197475.0
38,A83,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,306450.0
39,A83,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
596,A83,1,2010,New,All Buyer Types,253200.0
597,A83,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,199950.0
598,A83,1,2010,New,Household Buyer - Former Owner-Occupier,306450.0
599,A83,1,2010,New,Household Buyer - Non-Occupier,
1156,A83,1,2010,Existing,All Buyer Types,195000.0
1157,A83,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
1158,A83,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1159,A83,1,2010,Existing,Household Buyer - Non-Occupier,
1716,A83,2,2010,All Dwelling Statuses,All Buyer Types,325250.0
1717,A83,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,310000.0
1718,A83,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,340500.0
1719,A83,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2276,A83,2,2010,New,All Buyer Types,340500.0
2277,A83,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2278,A83,2,2010,New,Household Buyer - Former Owner-Occupier,340500.0
2279,A83,2,2010,New,Household Buyer - Non-Occupier,
2836,A83,2,2010,Existing,All Buyer Types,310000.0
2837,A83,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,310000.0
2838,A83,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2839,A83,2,2010,Existing,Household Buyer - Non-Occupier,
3396,A83,3,2010,All Dwelling Statuses,All Buyer Types,190680.0
3397,A83,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,190680.0
3398,A83,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3399,A83,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3956,A83,3,2010,New,All Buyer Types,190680.0
3957,A83,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,190680.0
3958,A83,3,2010,New,Household Buyer - Former Owner-Occupier,
3959,A83,3,2010,New,Household Buyer - Non-Occupier,
4516,A83,3,2010,Existing,All Buyer Types,
4517,A83,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
