,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
508,V95,1,2010,All Dwelling Statuses,All Buyer Types,201553.0
509,V95,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,198410.0
510,V95,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203044.0
511,V95,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,208000.0
1068,V95,1,2010,New,All Buyer Types,239409.0
1069,V95,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,277730.0
1070,V95,1,2010,New,Household Buyer - Former Owner-Occupier,152175.0
1071,V95,1,2010,New,Household Buyer - Non-Occupier,250000.0
1628,V95,1,2010,Existing,All Buyer Types,182625.0
1629,V95,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,158750.0
1630,V95,1,2010,Existing,Household Buyer - Former Owner-Occupier,220000.0
1631,V95,1,2010,Existing,Household Buyer - Non-Occupier,166000.0
2188,V95,2,2010,All Dwelling Statuses,All Buyer Types,242892.0
2189,V95,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,194664.0
2190,V95,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,202875.0
2191,V95,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,367307.0
2748,V95,2,2010,New,All Buyer Types,240720.0
2749,V95,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,195883.0
2750,V95,2,2010,New,Household Buyer - Former Owner-Occupier,
2751,V95,2,2010,New,Household Buyer - Non-Occupier,375229.0
3308,V95,2,2010,Existing,All Buyer Types,243682.0
3309,V95,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,193750.0
3310,V95,2,2010,Existing,Household Buyer - Former Owner-Occupier,202875.0
3311,V95,2,2010,Existing,Household Buyer - Non-Occupier,364667.0
3868,V95,3,2010,All Dwelling Statuses,All Buyer Types,182160.0
3869,V95,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,189846.0
3870,V95,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,190625.0
3871,V95,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,155500.0
4428,V95,3,2010,New,All Buyer Types,242039.0
4429,V95,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,242039.0
4430,V95,3,2010,New,Household Buyer - Former Owner-Occupier,
4431,V95,3,2010,New,Household Buyer - Non-Occupier,
4988,V95,3,2010,Existing,All Buyer Types,171273.0
4989,V95,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,163750.0
4990,V95,3,2010,Existing,Household Buyer - Former Owner-Occupier,190625.0
4991,V95,3,2010,Existing,Household Buyer - Non-Occupier,155500.0
5548,V95,4,2010,All Dwelling Statuses,All Buyer Types,210387.0
5549,V95,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196498.0
5550,V95,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,356988.0
5551,V95,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,164865.0
6108,V95,4,2010,New,All Buyer Types,187690.0
6109,V95,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,208992.0
6110,V95,4,2010,New,Household Buyer - Former Owner-Occupier,182982.0
6111,V95,4,2010,New,Household Buyer - Non-Occupier,169527.0
6668,V95,4,2010,Existing,All Buyer Types,224355.0
6669,V95,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,192333.0
6670,V95,4,2010,Existing,Household Buyer - Former Owner-Occupier,705000.0
6671,V95,4,2010,Existing,Household Buyer - Non-Occupier,160204.0
7228,V95,5,2010,All Dwelling Statuses,All Buyer Types,183295.0
7229,V95,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,173270.0
7230,V95,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,205015.0
7231,V95,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,190542.0
7788,V95,5,2010,New,All Buyer Types,189860.0
7789,V95,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,192503.0
7790,V95,5,2010,New,Household Buyer - Former Owner-Occupier,184574.0
7791,V95,5,2010,New,Household Buyer - Non-Occupier,
8348,V95,5,2010,Existing,All Buyer Types,182201.0
8349,V95,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,169773.0
8350,V95,5,2010,Existing,Household Buyer - Former Owner-Occupier,210125.0
8351,V95,5,2010,Existing,Household Buyer - Non-Occupier,190542.0
8908,V95,6,2010,All Dwelling Statuses,All Buyer Types,196986.0
8909,V95,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,181659.0
8910,V95,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,207863.0
8911,V95,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,240000.0
9468,V95,6,2010,New,All Buyer Types,197179.0
9469,V95,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,169727.0
9470,V95,6,2010,New,Household Buyer - Former Owner-Occupier,252084.0
9471,V95,6,2010,New,Household Buyer - Non-Occupier,
10028,V95,6,2010,Existing,All Buyer Types,196918.0
10029,V95,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,187625.0
10030,V95,6,2010,Existing,Household Buyer - Former Owner-Occupier,195229.0
10031,V95,6,2010,Existing,Household Buyer - Non-Occupier,240000.0
10588,V95,7,2010,All Dwelling Statuses,All Buyer Types,163643.0
10589,V95,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170128.0
10590,V95,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,181229.0
10591,V95,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,92900.0
11148,V95,7,2010,New,All Buyer Types,196133.0
11149,V95,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,193064.0
11150,V95,7,2010,New,Household Buyer - Former Owner-Occupier,201248.0
11151,V95,7,2010,New,Household Buyer - Non-Occupier,
11708,V95,7,2010,Existing,All Buyer Types,155258.0
11709,V95,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,163382.0
11710,V95,7,2010,Existing,Household Buyer - Former Owner-Occupier,174556.0
11711,V95,7,2010,Existing,Household Buyer - Non-Occupier,92900.0
12268,V95,8,2010,All Dwelling Statuses,All Buyer Types,204716.0
12269,V95,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,192973.0
12270,V95,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,225133.0
12271,V95,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,177000.0
12828,V95,8,2010,New,All Buyer Types,243284.0
12829,V95,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,222665.0
12830,V95,8,2010,New,Household Buyer - Former Owner-Occupier,
12831,V95,8,2010,New,Household Buyer - Non-Occupier,367000.0
13388,V95,8,2010,Existing,All Buyer Types,195717.0
13389,V95,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,179269.0
13390,V95,8,2010,Existing,Household Buyer - Former Owner-Occupier,225133.0
13391,V95,8,2010,Existing,Household Buyer - Non-Occupier,82000.0
13948,V95,9,2010,All Dwelling Statuses,All Buyer Types,208675.0
13949,V95,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,198220.0
13950,V95,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,235259.0
13951,V95,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,140667.0
14508,V95,9,2010,New,All Buyer Types,277791.0
14509,V95,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,144713.0
14510,V95,9,2010,New,Household Buyer - Former Owner-Occupier,331023.0
14511,V95,9,2010,New,Household Buyer - Non-Occupier,
15068,V95,9,2010,Existing,All Buyer Types,183211.0
15069,V95,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,210111.0
15070,V95,9,2010,Existing,Household Buyer - Former Owner-Occupier,166857.0
15071,V95,9,2010,Existing,Household Buyer - Non-Occupier,140667.0
15628,V95,10,2010,All Dwelling Statuses,All Buyer Types,167397.0
15629,V95,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183257.0
15630,V95,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,146500.0
15631,V95,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,145000.0
16188,V95,10,2010,New,All Buyer Types,219055.0
16189,V95,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,219055.0
16190,V95,10,2010,New,Household Buyer - Former Owner-Occupier,
16191,V95,10,2010,New,Household Buyer - Non-Occupier,
16748,V95,10,2010,Existing,All Buyer Types,163423.0
16749,V95,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,178143.0
16750,V95,10,2010,Existing,Household Buyer - Former Owner-Occupier,146500.0
16751,V95,10,2010,Existing,Household Buyer - Non-Occupier,145000.0
17308,V95,11,2010,All Dwelling Statuses,All Buyer Types,163409.0
17309,V95,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,197395.0
17310,V95,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,143000.0
17311,V95,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,84135.0
17868,V95,11,2010,New,All Buyer Types,153928.0
17869,V95,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,192950.0
17870,V95,11,2010,New,Household Buyer - Former Owner-Occupier,
17871,V95,11,2010,New,Household Buyer - Non-Occupier,114906.0
18428,V95,11,2010,Existing,All Buyer Types,164594.0
18429,V95,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,197889.0
18430,V95,11,2010,Existing,Household Buyer - Former Owner-Occupier,143000.0
18431,V95,11,2010,Existing,Household Buyer - Non-Occupier,68750.0
18988,V95,12,2010,All Dwelling Statuses,All Buyer Types,211728.0
18989,V95,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183770.0
18990,V95,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,302902.0
18991,V95,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,209593.0
19548,V95,12,2010,New,All Buyer Types,239257.0
19549,V95,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,221332.0
19550,V95,12,2010,New,Household Buyer - Former Owner-Occupier,359754.0
19551,V95,12,2010,New,Household Buyer - Non-Occupier,181500.0
20108,V95,12,2010,Existing,All Buyer Types,190098.0
20109,V95,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,154556.0
20110,V95,12,2010,Existing,Household Buyer - Former Owner-Occupier,265000.0
20111,V95,12,2010,Existing,Household Buyer - Non-Occupier,237687.0
20668,V95,1,2011,All Dwelling Statuses,All Buyer Types,157813.0
20669,V95,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,146720.0
20670,V95,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,151000.0
20671,V95,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,188951.0
21228,V95,1,2011,New,All Buyer Types,180967.0
21229,V95,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,164999.0
21230,V95,1,2011,New,Household Buyer - Former Owner-Occupier,
21231,V95,1,2011,New,Household Buyer - Non-Occupier,188951.0
21788,V95,1,2011,Existing,All Buyer Types,143920.0
21789,V95,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,142150.0
21790,V95,1,2011,Existing,Household Buyer - Former Owner-Occupier,151000.0
21791,V95,1,2011,Existing,Household Buyer - Non-Occupier,
22348,V95,2,2011,All Dwelling Statuses,All Buyer Types,163400.0
22349,V95,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,185375.0
22350,V95,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,243750.0
22351,V95,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,101250.0
22908,V95,2,2011,New,All Buyer Types,220000.0
22909,V95,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
22910,V95,2,2011,New,Household Buyer - Former Owner-Occupier,220000.0
22911,V95,2,2011,New,Household Buyer - Non-Occupier,
23468,V95,2,2011,Existing,All Buyer Types,157111.0
23469,V95,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,185375.0
23470,V95,2,2011,Existing,Household Buyer - Former Owner-Occupier,267500.0
23471,V95,2,2011,Existing,Household Buyer - Non-Occupier,101250.0
24028,V95,3,2011,All Dwelling Statuses,All Buyer Types,209423.0
24029,V95,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,148833.0
24030,V95,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,294117.0
24031,V95,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,137112.0
24588,V95,3,2011,New,All Buyer Types,163074.0
24589,V95,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,157500.0
24590,V95,3,2011,New,Household Buyer - Former Owner-Occupier,
24591,V95,3,2011,New,Household Buyer - Non-Occupier,174223.0
25148,V95,3,2011,Existing,All Buyer Types,222064.0
25149,V95,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,144500.0
25150,V95,3,2011,Existing,Household Buyer - Former Owner-Occupier,294117.0
25151,V95,3,2011,Existing,Household Buyer - Non-Occupier,100000.0
25708,V95,4,2011,All Dwelling Statuses,All Buyer Types,181278.0
25709,V95,4,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
25710,V95,4,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,197430.0
25711,V95,4,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,155000.0
26268,V95,4,2011,New,All Buyer Types,282244.0
26269,V95,4,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
26270,V95,4,2011,New,Household Buyer - Former Owner-Occupier,317992.0
26271,V95,4,2011,New,Household Buyer - Non-Occupier,
26828,V95,4,2011,Existing,All Buyer Types,150212.0
26829,V95,4,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,141667.0
26830,V95,4,2011,Existing,Household Buyer - Former Owner-Occupier,152219.0
26831,V95,4,2011,Existing,Household Buyer - Non-Occupier,155000.0
27388,V95,5,2011,All Dwelling Statuses,All Buyer Types,159000.0
27389,V95,5,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,177800.0
27390,V95,5,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,154300.0
27391,V95,5,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,123750.0
27948,V95,5,2011,New,All Buyer Types,
