,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
544,Y21,1,2010,All Dwelling Statuses,All Buyer Types,141366.0
545,Y21,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,161088.0
546,Y21,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,104882.0
547,Y21,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,96000.0
1104,Y21,1,2010,New,All Buyer Types,97724.0
1105,Y21,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,140683.0
1106,Y21,1,2010,New,Household Buyer - Former Owner-Occupier,54764.0
1107,Y21,1,2010,New,Household Buyer - Non-Occupier,
1664,Y21,1,2010,Existing,All Buyer Types,153835.0
1665,Y21,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,165169.0
1666,Y21,1,2010,Existing,Household Buyer - Former Owner-Occupier,155000.0
1667,Y21,1,2010,Existing,Household Buyer - Non-Occupier,96000.0
2224,Y21,2,2010,All Dwelling Statuses,All Buyer Types,172631.0
2225,Y21,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,152500.0
2226,Y21,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,192763.0
2227,Y21,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2784,Y21,2,2010,New,All Buyer Types,261050.0
2785,Y21,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2786,Y21,2,2010,New,Household Buyer - Former Owner-Occupier,261050.0
2787,Y21,2,2010,New,Household Buyer - Non-Occupier,
3344,Y21,2,2010,Existing,All Buyer Types,160000.0
3345,Y21,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,152500.0
3346,Y21,2,2010,Existing,Household Buyer - Former Owner-Occupier,170000.0
3347,Y21,2,2010,Existing,Household Buyer - Non-Occupier,
3904,Y21,3,2010,All Dwelling Statuses,All Buyer Types,160198.0
3905,Y21,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180354.0
3906,Y21,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,184000.0
3907,Y21,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,131500.0
4464,Y21,3,2010,New,All Buyer Types,207257.0
4465,Y21,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,171385.0
4466,Y21,3,2010,New,Household Buyer - Former Owner-Occupier,
4467,Y21,3,2010,New,Household Buyer - Non-Occupier,279000.0
5024,Y21,3,2010,Existing,All Buyer Types,147364.0
5025,Y21,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,186333.0
5026,Y21,3,2010,Existing,Household Buyer - Former Owner-Occupier,184000.0
5027,Y21,3,2010,Existing,Household Buyer - Non-Occupier,102000.0
5584,Y21,4,2010,All Dwelling Statuses,All Buyer Types,205065.0
5585,Y21,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,273476.0
5586,Y21,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,179031.0
5587,Y21,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,130000.0
6144,Y21,4,2010,New,All Buyer Types,222116.0
6145,Y21,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,287715.0
6146,Y21,4,2010,New,Household Buyer - Former Owner-Occupier,178384.0
6147,Y21,4,2010,New,Household Buyer - Non-Occupier,
6704,Y21,4,2010,Existing,All Buyer Types,183750.0
6705,Y21,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,245000.0
6706,Y21,4,2010,Existing,Household Buyer - Former Owner-Occupier,180000.0
6707,Y21,4,2010,Existing,Household Buyer - Non-Occupier,130000.0
7264,Y21,5,2010,All Dwelling Statuses,All Buyer Types,158944.0
7265,Y21,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,145872.0
7266,Y21,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,198486.0
7267,Y21,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,111430.0
7824,Y21,5,2010,New,All Buyer Types,220133.0
7825,Y21,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,169115.0
7826,Y21,5,2010,New,Household Buyer - Former Owner-Occupier,276467.0
7827,Y21,5,2010,New,Household Buyer - Non-Occupier,102150.0
8384,Y21,5,2010,Existing,All Buyer Types,128350.0
8385,Y21,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,134250.0
8386,Y21,5,2010,Existing,Household Buyer - Former Owner-Occupier,140000.0
8387,Y21,5,2010,Existing,Household Buyer - Non-Occupier,113750.0
8944,Y21,6,2010,All Dwelling Statuses,All Buyer Types,179673.0
8945,Y21,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,181941.0
8946,Y21,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,192250.0
8947,Y21,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,134000.0
9504,Y21,6,2010,New,All Buyer Types,188621.0
9505,Y21,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,192265.0
9506,Y21,6,2010,New,Household Buyer - Former Owner-Occupier,181333.0
9507,Y21,6,2010,New,Household Buyer - Non-Occupier,
10064,Y21,6,2010,Existing,All Buyer Types,166250.0
10065,Y21,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,120000.0
10066,Y21,6,2010,Existing,Household Buyer - Former Owner-Occupier,203167.0
10067,Y21,6,2010,Existing,Household Buyer - Non-Occupier,134000.0
10624,Y21,7,2010,All Dwelling Statuses,All Buyer Types,156750.0
10625,Y21,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,152899.0
10626,Y21,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,189000.0
10627,Y21,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121250.0
11184,Y21,7,2010,New,All Buyer Types,187498.0
11185,Y21,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,136247.0
11186,Y21,7,2010,New,Household Buyer - Former Owner-Occupier,290000.0
11187,Y21,7,2010,New,Household Buyer - Non-Occupier,
