Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
F42,Roscommon,1,2010,All Dwelling Statuses,All Buyer Types,167616.0
F42,Roscommon,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,168488.0
F42,Roscommon,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,280000.0
F42,Roscommon,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,50000.0
F42,Roscommon,1,2010,New,All Buyer Types,227481.0
F42,Roscommon,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,209975.0
F42,Roscommon,1,2010,New,Household Buyer - Former Owner-Occupier,280000.0
F42,Roscommon,1,2010,New,Household Buyer - Non-Occupier,
F42,Roscommon,1,2010,Existing,All Buyer Types,107750.0
F42,Roscommon,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,127000.0
F42,Roscommon,1,2010,Existing,Household Buyer - Former Owner-Occupier,
F42,Roscommon,1,2010,Existing,Household Buyer - Non-Occupier,50000.0
F42,Roscommon,2,2010,All Dwelling Statuses,All Buyer Types,199896.0
F42,Roscommon,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,251993.0
F42,Roscommon,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
F42,Roscommon,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121750.0
F42,Roscommon,2,2010,New,All Buyer Types,217370.0
F42,Roscommon,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,251993.0
F42,Roscommon,2,2010,New,Household Buyer - Former Owner-Occupier,
F42,Roscommon,2,2010,New,Household Buyer - Non-Occupier,113500.0
F42,Roscommon,2,2010,Existing,All Buyer Types,130000.0
F42,Roscommon,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
F42,Roscommon,2,2010,Existing,Household Buyer - Former Owner-Occupier,
F42,Roscommon,2,2010,Existing,Household Buyer - Non-Occupier,130000.0
F42,Roscommon,3,2010,All Dwelling Statuses,All Buyer Types,149000.0
F42,Roscommon,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,127000.0
F42,Roscommon,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
F42,Roscommon,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,160000.0
F42,Roscommon,3,2010,New,All Buyer Types,
F42,Roscommon,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
F42,Roscommon,3,2010,New,Household Buyer - Former Owner-Occupier,
F42,Roscommon,3,2010,New,Household Buyer - Non-Occupier,
F42,Roscommon,3,2010,Existing,All Buyer Types,149000.0
F42,Roscommon,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,127000.0
F42,Roscommon,3,2010,Existing,Household Buyer - Former Owner-Occupier,
F42,Roscommon,3,2010,Existing,Household Buyer - Non-Occupier,160000.0
F42,Roscommon,4,2010,All Dwelling Statuses,All Buyer Types,128750.0
F42,Roscommon,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
F42,Roscommon,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,192500.0
F42,Roscommon,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,65000.0
F42,Roscommon,4,2010,New,All Buyer Types,
F42,Roscommon,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
F42,Roscommon,4,2010,New,Household Buyer - Former Owner-Occupier,
F42,Roscommon,4,2010,New,Household Buyer - Non-Occupier,
F42,Roscommon,4,2010,Existing,All Buyer Types,128750.0
F42,Roscommon,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
F42,Roscommon,4,2010,Existing,Household Buyer - Former Owner-Occupier,192500.0
F42,Roscommon,4,2010,Existing,Household Buyer - Non-Occupier,65000.0
F42,Roscommon,5,2010,All Dwelling Statuses,All Buyer Types,133531.0
