,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
388,P61,1,2010,All Dwelling Statuses,All Buyer Types,178848.0
389,P61,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,178195.0
390,P61,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
391,P61,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,179500.0
948,P61,1,2010,New,All Buyer Types,178848.0
949,P61,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,178195.0
950,P61,1,2010,New,Household Buyer - Former Owner-Occupier,
951,P61,1,2010,New,Household Buyer - Non-Occupier,179500.0
1508,P61,1,2010,Existing,All Buyer Types,
1509,P61,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1510,P61,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1511,P61,1,2010,Existing,Household Buyer - Non-Occupier,
2068,P61,2,2010,All Dwelling Statuses,All Buyer Types,194663.0
2069,P61,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,240000.0
2070,P61,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,164438.0
2071,P61,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2628,P61,2,2010,New,All Buyer Types,247771.0
2629,P61,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,400000.0
2630,P61,2,2010,New,Household Buyer - Former Owner-Occupier,171657.0
2631,P61,2,2010,New,Household Buyer - Non-Occupier,
3188,P61,2,2010,Existing,All Buyer Types,115000.0
3189,P61,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,80000.0
3190,P61,2,2010,Existing,Household Buyer - Former Owner-Occupier,150000.0
3191,P61,2,2010,Existing,Household Buyer - Non-Occupier,
3748,P61,3,2010,All Dwelling Statuses,All Buyer Types,167403.0
3749,P61,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,198604.0
