,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
292,H91,1,2010,All Dwelling Statuses,All Buyer Types,313889.0
293,H91,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,251869.0
294,H91,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,469375.0
295,H91,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,251000.0
852,H91,1,2010,New,All Buyer Types,324910.0
853,H91,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,224730.0
854,H91,1,2010,New,Household Buyer - Former Owner-Occupier,375000.0
855,H91,1,2010,New,Household Buyer - Non-Occupier,
1412,H91,1,2010,Existing,All Buyer Types,312567.0
1413,H91,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,253678.0
1414,H91,1,2010,Existing,Household Buyer - Former Owner-Occupier,500833.0
1415,H91,1,2010,Existing,Household Buyer - Non-Occupier,251000.0
1972,H91,2,2010,All Dwelling Statuses,All Buyer Types,260486.0
1973,H91,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,252849.0
1974,H91,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,324794.0
1975,H91,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,212087.0
2532,H91,2,2010,New,All Buyer Types,280213.0
2533,H91,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,277797.0
2534,H91,2,2010,New,Household Buyer - Former Owner-Occupier,352338.0
2535,H91,2,2010,New,Household Buyer - Non-Occupier,209902.0
3092,H91,2,2010,Existing,All Buyer Types,252449.0
3093,H91,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,249107.0
3094,H91,2,2010,Existing,Household Buyer - Former Owner-Occupier,297250.0
3095,H91,2,2010,Existing,Household Buyer - Non-Occupier,215000.0
3652,H91,3,2010,All Dwelling Statuses,All Buyer Types,286696.0
3653,H91,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,248142.0
3654,H91,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,405471.0
3655,H91,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,262750.0
4212,H91,3,2010,New,All Buyer Types,330157.0
4213,H91,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,219672.0
4214,H91,3,2010,New,Household Buyer - Former Owner-Occupier,586667.0
4215,H91,3,2010,New,Household Buyer - Non-Occupier,555000.0
4772,H91,3,2010,Existing,All Buyer Types,272209.0
4773,H91,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,259283.0
4774,H91,3,2010,Existing,Household Buyer - Former Owner-Occupier,345072.0
4775,H91,3,2010,Existing,Household Buyer - Non-Occupier,221000.0
5332,H91,4,2010,All Dwelling Statuses,All Buyer Types,299482.0
5333,H91,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,245160.0
5334,H91,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,353110.0
5335,H91,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,247143.0
5892,H91,4,2010,New,All Buyer Types,327319.0
5893,H91,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,278075.0
5894,H91,4,2010,New,Household Buyer - Former Owner-Occupier,343733.0
5895,H91,4,2010,New,Household Buyer - Non-Occupier,
