,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
8,A42,1,2010,All Dwelling Statuses,All Buyer Types,
9,A42,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
10,A42,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
11,A42,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
568,A42,1,2010,New,All Buyer Types,
569,A42,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
570,A42,1,2010,New,Household Buyer - Former Owner-Occupier,
571,A42,1,2010,New,Household Buyer - Non-Occupier,
1128,A42,1,2010,Existing,All Buyer Types,
1129,A42,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1130,A42,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1131,A42,1,2010,Existing,Household Buyer - Non-Occupier,
1688,A42,2,2010,All Dwelling Statuses,All Buyer Types,
1689,A42,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1690,A42,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1691,A42,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2248,A42,2,2010,New,All Buyer Types,
2249,A42,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2250,A42,2,2010,New,Household Buyer - Former Owner-Occupier,
2251,A42,2,2010,New,Household Buyer - Non-Occupier,
2808,A42,2,2010,Existing,All Buyer Types,
2809,A42,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
2810,A42,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2811,A42,2,2010,Existing,Household Buyer - Non-Occupier,
3368,A42,3,2010,All Dwelling Statuses,All Buyer Types,425000.0
3369,A42,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,425000.0
3370,A42,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3371,A42,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
