,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
464,T45,1,2010,All Dwelling Statuses,All Buyer Types,292605.0
465,T45,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,261228.0
466,T45,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,575000.0
467,T45,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1024,T45,1,2010,New,All Buyer Types,270526.0
1025,T45,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,270526.0
1026,T45,1,2010,New,Household Buyer - Former Owner-Occupier,
1027,T45,1,2010,New,Household Buyer - Non-Occupier,
1584,T45,1,2010,Existing,All Buyer Types,298125.0
1585,T45,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,258571.0
1586,T45,1,2010,Existing,Household Buyer - Former Owner-Occupier,575000.0
1587,T45,1,2010,Existing,Household Buyer - Non-Occupier,
2144,T45,2,2010,All Dwelling Statuses,All Buyer Types,277602.0
2145,T45,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,258870.0
2146,T45,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,315065.0
2147,T45,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2704,T45,2,2010,New,All Buyer Types,273122.0
2705,T45,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,245160.0
2706,T45,2,2010,New,Household Buyer - Former Owner-Occupier,315065.0
2707,T45,2,2010,New,Household Buyer - Non-Occupier,
3264,T45,2,2010,Existing,All Buyer Types,300000.0
3265,T45,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,300000.0
3266,T45,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3267,T45,2,2010,Existing,Household Buyer - Non-Occupier,
3824,T45,3,2010,All Dwelling Statuses,All Buyer Types,306393.0
3825,T45,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,304475.0
3826,T45,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,310230.0
3827,T45,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4384,T45,3,2010,New,All Buyer Types,326590.0
4385,T45,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,331393.0
4386,T45,3,2010,New,Household Buyer - Former Owner-Occupier,315383.0
4387,T45,3,2010,New,Household Buyer - Non-Occupier,
4944,T45,3,2010,Existing,All Buyer Types,266000.0
4945,T45,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,241667.0
4946,T45,3,2010,Existing,Household Buyer - Former Owner-Occupier,302500.0
4947,T45,3,2010,Existing,Household Buyer - Non-Occupier,
5504,T45,4,2010,All Dwelling Statuses,All Buyer Types,304923.0
5505,T45,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,269033.0
5506,T45,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,362348.0
5507,T45,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6064,T45,4,2010,New,All Buyer Types,322714.0
6065,T45,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,311815.0
6066,T45,4,2010,New,Household Buyer - Former Owner-Occupier,337246.0
6067,T45,4,2010,New,Household Buyer - Non-Occupier,
6624,T45,4,2010,Existing,All Buyer Types,284167.0
6625,T45,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,226250.0
6626,T45,4,2010,Existing,Household Buyer - Former Owner-Occupier,400000.0
6627,T45,4,2010,Existing,Household Buyer - Non-Occupier,
7184,T45,5,2010,All Dwelling Statuses,All Buyer Types,216125.0
7185,T45,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,216125.0
7186,T45,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7187,T45,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7744,T45,5,2010,New,All Buyer Types,
7745,T45,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7746,T45,5,2010,New,Household Buyer - Former Owner-Occupier,
7747,T45,5,2010,New,Household Buyer - Non-Occupier,
8304,T45,5,2010,Existing,All Buyer Types,216125.0
8305,T45,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,216125.0
8306,T45,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8307,T45,5,2010,Existing,Household Buyer - Non-Occupier,
8864,T45,6,2010,All Dwelling Statuses,All Buyer Types,307868.0
8865,T45,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,265089.0
8866,T45,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,379167.0
8867,T45,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9424,T45,6,2010,New,All Buyer Types,346589.0
9425,T45,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,275149.0
9426,T45,6,2010,New,Household Buyer - Former Owner-Occupier,453750.0
9427,T45,6,2010,New,Household Buyer - Non-Occupier,
9984,T45,6,2010,Existing,All Buyer Types,243333.0
9985,T45,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,250000.0
9986,T45,6,2010,Existing,Household Buyer - Former Owner-Occupier,230000.0
9987,T45,6,2010,Existing,Household Buyer - Non-Occupier,
10544,T45,7,2010,All Dwelling Statuses,All Buyer Types,247477.0
10545,T45,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,292275.0
10546,T45,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,200500.0
10547,T45,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,77000.0
11104,T45,7,2010,New,All Buyer Types,275025.0
11105,T45,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,333640.0
11106,T45,7,2010,New,Household Buyer - Former Owner-Occupier,177333.0
11107,T45,7,2010,New,Household Buyer - Non-Occupier,
11664,T45,7,2010,Existing,All Buyer Types,203400.0
11665,T45,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,223333.0
11666,T45,7,2010,Existing,Household Buyer - Former Owner-Occupier,270000.0
11667,T45,7,2010,Existing,Household Buyer - Non-Occupier,77000.0
12224,T45,8,2010,All Dwelling Statuses,All Buyer Types,314466.0
12225,T45,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,243116.0
12226,T45,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,611300.0
12227,T45,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,137459.0
12784,T45,8,2010,New,All Buyer Types,323690.0
12785,T45,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,293632.0
12786,T45,8,2010,New,Household Buyer - Former Owner-Occupier,491950.0
12787,T45,8,2010,New,Household Buyer - Non-Occupier,137459.0
13344,T45,8,2010,Existing,All Buyer Types,302167.0
13345,T45,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,192600.0
13346,T45,8,2010,Existing,Household Buyer - Former Owner-Occupier,850000.0
13347,T45,8,2010,Existing,Household Buyer - Non-Occupier,
13904,T45,9,2010,All Dwelling Statuses,All Buyer Types,255010.0
13905,T45,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,243428.0
13906,T45,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,312916.0
13907,T45,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14464,T45,9,2010,New,All Buyer Types,284047.0
14465,T45,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,238357.0
14466,T45,9,2010,New,Household Buyer - Former Owner-Occupier,512500.0
14467,T45,9,2010,New,Household Buyer - Non-Occupier,
15024,T45,9,2010,Existing,All Buyer Types,225972.0
15025,T45,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,248500.0
15026,T45,9,2010,Existing,Household Buyer - Former Owner-Occupier,113332.0
15027,T45,9,2010,Existing,Household Buyer - Non-Occupier,
15584,T45,10,2010,All Dwelling Statuses,All Buyer Types,299316.0
15585,T45,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,267184.0
15586,T45,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,385000.0
15587,T45,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
16144,T45,10,2010,New,All Buyer Types,275743.0
16145,T45,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,222658.0
16146,T45,10,2010,New,Household Buyer - Former Owner-Occupier,435000.0
16147,T45,10,2010,New,Household Buyer - Non-Occupier,
16704,T45,10,2010,Existing,All Buyer Types,312786.0
16705,T45,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,293900.0
16706,T45,10,2010,Existing,Household Buyer - Former Owner-Occupier,360000.0
16707,T45,10,2010,Existing,Household Buyer - Non-Occupier,
17264,T45,11,2010,All Dwelling Statuses,All Buyer Types,261007.0
17265,T45,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,219940.0
17266,T45,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,466343.0
17267,T45,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17824,T45,11,2010,New,All Buyer Types,358022.0
17825,T45,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,249700.0
17826,T45,11,2010,New,Household Buyer - Former Owner-Occupier,466343.0
17827,T45,11,2010,New,Household Buyer - Non-Occupier,
18384,T45,11,2010,Existing,All Buyer Types,212500.0
