,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
64,A96,1,2010,All Dwelling Statuses,All Buyer Types,705321.0
65,A96,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,320500.0
66,A96,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,845833.0
67,A96,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,980000.0
624,A96,1,2010,New,All Buyer Types,
625,A96,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
626,A96,1,2010,New,Household Buyer - Former Owner-Occupier,
627,A96,1,2010,New,Household Buyer - Non-Occupier,
1184,A96,1,2010,Existing,All Buyer Types,705321.0
1185,A96,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,320500.0
1186,A96,1,2010,Existing,Household Buyer - Former Owner-Occupier,845833.0
1187,A96,1,2010,Existing,Household Buyer - Non-Occupier,980000.0
1744,A96,2,2010,All Dwelling Statuses,All Buyer Types,574258.0
1745,A96,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,375436.0
1746,A96,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,718560.0
1747,A96,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,523000.0
2304,A96,2,2010,New,All Buyer Types,278075.0
2305,A96,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
2306,A96,2,2010,New,Household Buyer - Former Owner-Occupier,295100.0
2307,A96,2,2010,New,Household Buyer - Non-Occupier,
2864,A96,2,2010,Existing,All Buyer Types,611281.0
2865,A96,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,394500.0
2866,A96,2,2010,Existing,Household Buyer - Former Owner-Occupier,765611.0
2867,A96,2,2010,Existing,Household Buyer - Non-Occupier,523000.0
3424,A96,3,2010,All Dwelling Statuses,All Buyer Types,363136.0
3425,A96,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,235810.0
3426,A96,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,522417.0
3427,A96,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,283250.0
3984,A96,3,2010,New,All Buyer Types,320045.0
3985,A96,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,244025.0
3986,A96,3,2010,New,Household Buyer - Former Owner-Occupier,472086.0
3987,A96,3,2010,New,Household Buyer - Non-Occupier,
4544,A96,3,2010,Existing,All Buyer Types,377500.0
4545,A96,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,230333.0
4546,A96,3,2010,Existing,Household Buyer - Former Owner-Occupier,535000.0
4547,A96,3,2010,Existing,Household Buyer - Non-Occupier,283250.0
5104,A96,4,2010,All Dwelling Statuses,All Buyer Types,395619.0
5105,A96,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,373077.0
5106,A96,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,438833.0
5107,A96,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,412500.0
5664,A96,4,2010,New,All Buyer Types,281500.0
5665,A96,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,278000.0
5666,A96,4,2010,New,Household Buyer - Former Owner-Occupier,285000.0
5667,A96,4,2010,New,Household Buyer - Non-Occupier,
6224,A96,4,2010,Existing,All Buyer Types,407632.0
6225,A96,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,381000.0
6226,A96,4,2010,Existing,Household Buyer - Former Owner-Occupier,469600.0
6227,A96,4,2010,Existing,Household Buyer - Non-Occupier,412500.0
6784,A96,5,2010,All Dwelling Statuses,All Buyer Types,490403.0
6785,A96,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,311717.0
6786,A96,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,820375.0
6787,A96,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,600000.0
7344,A96,5,2010,New,All Buyer Types,291825.0
7345,A96,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,291825.0
7346,A96,5,2010,New,Household Buyer - Former Owner-Occupier,
7347,A96,5,2010,New,Household Buyer - Non-Occupier,
7904,A96,5,2010,Existing,All Buyer Types,516304.0
7905,A96,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,316308.0
7906,A96,5,2010,Existing,Household Buyer - Former Owner-Occupier,820375.0
7907,A96,5,2010,Existing,Household Buyer - Non-Occupier,600000.0
8464,A96,6,2010,All Dwelling Statuses,All Buyer Types,561071.0
8465,A96,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,324064.0
8466,A96,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,798078.0
8467,A96,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9024,A96,6,2010,New,All Buyer Types,251475.0
9025,A96,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,251475.0
9026,A96,6,2010,New,Household Buyer - Former Owner-Occupier,
9027,A96,6,2010,New,Household Buyer - Non-Occupier,
9584,A96,6,2010,Existing,All Buyer Types,605299.0
9585,A96,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,348261.0
9586,A96,6,2010,Existing,Household Buyer - Former Owner-Occupier,798078.0
9587,A96,6,2010,Existing,Household Buyer - Non-Occupier,
10144,A96,7,2010,All Dwelling Statuses,All Buyer Types,489435.0
10145,A96,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,434250.0
10146,A96,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,579385.0
10147,A96,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,346250.0
10704,A96,7,2010,New,All Buyer Types,508333.0
10705,A96,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,325000.0
10706,A96,7,2010,New,Household Buyer - Former Owner-Occupier,600000.0
10707,A96,7,2010,New,Household Buyer - Non-Occupier,
11264,A96,7,2010,Existing,All Buyer Types,487411.0
11265,A96,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,441533.0
11266,A96,7,2010,Existing,Household Buyer - Former Owner-Occupier,575636.0
11267,A96,7,2010,Existing,Household Buyer - Non-Occupier,346250.0
11824,A96,8,2010,All Dwelling Statuses,All Buyer Types,566551.0
11825,A96,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,360161.0
11826,A96,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,662867.0
11827,A96,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12384,A96,8,2010,New,All Buyer Types,425625.0
12385,A96,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,425625.0
12386,A96,8,2010,New,Household Buyer - Former Owner-Occupier,
12387,A96,8,2010,New,Household Buyer - Non-Occupier,
12944,A96,8,2010,Existing,All Buyer Types,573262.0
12945,A96,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,349250.0
12946,A96,8,2010,Existing,Household Buyer - Former Owner-Occupier,662867.0
12947,A96,8,2010,Existing,Household Buyer - Non-Occupier,
13504,A96,9,2010,All Dwelling Statuses,All Buyer Types,508940.0
13505,A96,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,295578.0
13506,A96,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,616846.0
13507,A96,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,585000.0
14064,A96,9,2010,New,All Buyer Types,249779.0
14065,A96,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,203760.0
14066,A96,9,2010,New,Household Buyer - Former Owner-Occupier,295798.0
14067,A96,9,2010,New,Household Buyer - Non-Occupier,
14624,A96,9,2010,Existing,All Buyer Types,538559.0
14625,A96,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,312273.0
14626,A96,9,2010,Existing,Household Buyer - Former Owner-Occupier,644763.0
14627,A96,9,2010,Existing,Household Buyer - Non-Occupier,585000.0
15184,A96,10,2010,All Dwelling Statuses,All Buyer Types,398582.0
15185,A96,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,363594.0
15186,A96,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,407375.0
15187,A96,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,494569.0
15744,A96,10,2010,New,All Buyer Types,325328.0
15745,A96,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,316125.0
15746,A96,10,2010,New,Household Buyer - Former Owner-Occupier,311376.0
15747,A96,10,2010,New,Household Buyer - Non-Occupier,371637.0
16304,A96,10,2010,Existing,All Buyer Types,423000.0
16305,A96,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,379417.0
16306,A96,10,2010,Existing,Household Buyer - Former Owner-Occupier,431375.0
16307,A96,10,2010,Existing,Household Buyer - Non-Occupier,617500.0
16864,A96,11,2010,All Dwelling Statuses,All Buyer Types,551886.0
16865,A96,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,353000.0
16866,A96,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,769227.0
16867,A96,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150000.0
17424,A96,11,2010,New,All Buyer Types,894000.0
17425,A96,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,288000.0
17426,A96,11,2010,New,Household Buyer - Former Owner-Occupier,1499999.0
17427,A96,11,2010,New,Household Buyer - Non-Occupier,
17984,A96,11,2010,Existing,All Buyer Types,517675.0
17985,A96,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,360222.0
17986,A96,11,2010,Existing,Household Buyer - Former Owner-Occupier,696150.0
17987,A96,11,2010,Existing,Household Buyer - Non-Occupier,150000.0
