,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
548,Y25,1,2010,All Dwelling Statuses,All Buyer Types,205679.0
549,Y25,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,189675.0
550,Y25,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,265650.0
551,Y25,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,149750.0
1108,Y25,1,2010,New,All Buyer Types,240308.0
1109,Y25,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,230480.0
1110,Y25,1,2010,New,Household Buyer - Former Owner-Occupier,289450.0
1111,Y25,1,2010,New,Household Buyer - Non-Occupier,
1668,Y25,1,2010,Existing,All Buyer Types,179706.0
1669,Y25,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,121667.0
1670,Y25,1,2010,Existing,Household Buyer - Former Owner-Occupier,257717.0
1671,Y25,1,2010,Existing,Household Buyer - Non-Occupier,149750.0
2228,Y25,2,2010,All Dwelling Statuses,All Buyer Types,189085.0
2229,Y25,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,188981.0
2230,Y25,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,240700.0
2231,Y25,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,137575.0
2788,Y25,2,2010,New,All Buyer Types,231338.0
2789,Y25,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,195463.0
2790,Y25,2,2010,New,Household Buyer - Former Owner-Occupier,264267.0
2791,Y25,2,2010,New,Household Buyer - Non-Occupier,204300.0
3348,Y25,2,2010,Existing,All Buyer Types,146833.0
3349,Y25,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,182500.0
3350,Y25,2,2010,Existing,Household Buyer - Former Owner-Occupier,170000.0
3351,Y25,2,2010,Existing,Household Buyer - Non-Occupier,115333.0
3908,Y25,3,2010,All Dwelling Statuses,All Buyer Types,211367.0
3909,Y25,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,179380.0
3910,Y25,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,240750.0
3911,Y25,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,195000.0
4468,Y25,3,2010,New,All Buyer Types,177300.0
4469,Y25,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,177300.0
4470,Y25,3,2010,New,Household Buyer - Former Owner-Occupier,
4471,Y25,3,2010,New,Household Buyer - Non-Occupier,
5028,Y25,3,2010,Existing,All Buyer Types,222722.0
5029,Y25,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,182500.0
5030,Y25,3,2010,Existing,Household Buyer - Former Owner-Occupier,240750.0
5031,Y25,3,2010,Existing,Household Buyer - Non-Occupier,195000.0
5588,Y25,4,2010,All Dwelling Statuses,All Buyer Types,203782.0
5589,Y25,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213272.0
5590,Y25,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,207046.0
5591,Y25,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,124000.0
6148,Y25,4,2010,New,All Buyer Types,208314.0
6149,Y25,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,213272.0
6150,Y25,4,2010,New,Household Buyer - Former Owner-Occupier,202365.0
6151,Y25,4,2010,New,Household Buyer - Non-Occupier,
6708,Y25,4,2010,Existing,All Buyer Types,187167.0
6709,Y25,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6710,Y25,4,2010,Existing,Household Buyer - Former Owner-Occupier,218750.0
6711,Y25,4,2010,Existing,Household Buyer - Non-Occupier,124000.0
7268,Y25,5,2010,All Dwelling Statuses,All Buyer Types,235776.0
7269,Y25,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,253061.0
7270,Y25,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,168165.0
7271,Y25,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,250000.0
7828,Y25,5,2010,New,All Buyer Types,237452.0
7829,Y25,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,283643.0
7830,Y25,5,2010,New,Household Buyer - Former Owner-Occupier,168165.0
7831,Y25,5,2010,New,Household Buyer - Non-Occupier,
8388,Y25,5,2010,Existing,All Buyer Types,234100.0
8389,Y25,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,230125.0
8390,Y25,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8391,Y25,5,2010,Existing,Household Buyer - Non-Occupier,250000.0
8948,Y25,6,2010,All Dwelling Statuses,All Buyer Types,146333.0
8949,Y25,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187850.0
8950,Y25,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,122200.0
8951,Y25,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,122917.0
9508,Y25,6,2010,New,All Buyer Types,179450.0
9509,Y25,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,158900.0
9510,Y25,6,2010,New,Household Buyer - Former Owner-Occupier,
9511,Y25,6,2010,New,Household Buyer - Non-Occupier,200000.0
