,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
16,A63,1,2010,All Dwelling Statuses,All Buyer Types,465629.0
17,A63,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,322422.0
18,A63,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,358963.0
19,A63,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,1395000.0
576,A63,1,2010,New,All Buyer Types,291259.0
577,A63,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,223555.0
578,A63,1,2010,New,Household Buyer - Former Owner-Occupier,358963.0
579,A63,1,2010,New,Household Buyer - Non-Occupier,
1136,A63,1,2010,Existing,All Buyer Types,640000.0
1137,A63,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,388333.0
1138,A63,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1139,A63,1,2010,Existing,Household Buyer - Non-Occupier,1395000.0
1696,A63,2,2010,All Dwelling Statuses,All Buyer Types,368527.0
1697,A63,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,376373.0
1698,A63,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,380500.0
1699,A63,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,262000.0
2256,A63,2,2010,New,All Buyer Types,405393.0
2257,A63,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,405393.0
2258,A63,2,2010,New,Household Buyer - Former Owner-Occupier,
2259,A63,2,2010,New,Household Buyer - Non-Occupier,
2816,A63,2,2010,Existing,All Buyer Types,336929.0
2817,A63,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,318333.0
2818,A63,2,2010,Existing,Household Buyer - Former Owner-Occupier,380500.0
2819,A63,2,2010,Existing,Household Buyer - Non-Occupier,262000.0
3376,A63,3,2010,All Dwelling Statuses,All Buyer Types,329428.0
3377,A63,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,325898.0
3378,A63,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,337900.0
3379,A63,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3936,A63,3,2010,New,All Buyer Types,333973.0
3937,A63,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,333973.0
3938,A63,3,2010,New,Household Buyer - Former Owner-Occupier,
3939,A63,3,2010,New,Household Buyer - Non-Occupier,
4496,A63,3,2010,Existing,All Buyer Types,325389.0
4497,A63,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,309750.0
4498,A63,3,2010,Existing,Household Buyer - Former Owner-Occupier,337900.0
4499,A63,3,2010,Existing,Household Buyer - Non-Occupier,
5056,A63,4,2010,All Dwelling Statuses,All Buyer Types,375966.0
5057,A63,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,264921.0
