Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
H14,Belturbet,1,2010,All Dwelling Statuses,All Buyer Types,192950.0
H14,Belturbet,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,153225.0
H14,Belturbet,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
H14,Belturbet,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,232675.0
H14,Belturbet,1,2010,New,All Buyer Types,192950.0
H14,Belturbet,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,153225.0
H14,Belturbet,1,2010,New,Household Buyer - Former Owner-Occupier,
H14,Belturbet,1,2010,New,Household Buyer - Non-Occupier,232675.0
H14,Belturbet,1,2010,Existing,All Buyer Types,
H14,Belturbet,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,1,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,1,2010,Existing,Household Buyer - Non-Occupier,
H14,Belturbet,2,2010,All Dwelling Statuses,All Buyer Types,180000.0
H14,Belturbet,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
H14,Belturbet,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,180000.0
H14,Belturbet,2,2010,New,All Buyer Types,
H14,Belturbet,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,2,2010,New,Household Buyer - Former Owner-Occupier,
H14,Belturbet,2,2010,New,Household Buyer - Non-Occupier,
H14,Belturbet,2,2010,Existing,All Buyer Types,180000.0
H14,Belturbet,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,2,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,2,2010,Existing,Household Buyer - Non-Occupier,180000.0
H14,Belturbet,3,2010,All Dwelling Statuses,All Buyer Types,
H14,Belturbet,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
H14,Belturbet,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
H14,Belturbet,3,2010,New,All Buyer Types,
H14,Belturbet,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,3,2010,New,Household Buyer - Former Owner-Occupier,
H14,Belturbet,3,2010,New,Household Buyer - Non-Occupier,
H14,Belturbet,3,2010,Existing,All Buyer Types,
H14,Belturbet,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,3,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,3,2010,Existing,Household Buyer - Non-Occupier,
H14,Belturbet,4,2010,All Dwelling Statuses,All Buyer Types,153387.0
H14,Belturbet,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
H14,Belturbet,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,153387.0
H14,Belturbet,4,2010,New,All Buyer Types,167580.0
H14,Belturbet,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,4,2010,New,Household Buyer - Former Owner-Occupier,
H14,Belturbet,4,2010,New,Household Buyer - Non-Occupier,167580.0
H14,Belturbet,4,2010,Existing,All Buyer Types,125000.0
H14,Belturbet,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,4,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,4,2010,Existing,Household Buyer - Non-Occupier,125000.0
H14,Belturbet,5,2010,All Dwelling Statuses,All Buyer Types,170497.0
H14,Belturbet,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,102000.0
H14,Belturbet,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,155000.0
H14,Belturbet,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,254492.0
H14,Belturbet,5,2010,New,All Buyer Types,254492.0
H14,Belturbet,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,5,2010,New,Household Buyer - Former Owner-Occupier,
H14,Belturbet,5,2010,New,Household Buyer - Non-Occupier,254492.0
H14,Belturbet,5,2010,Existing,All Buyer Types,128500.0
H14,Belturbet,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,102000.0
H14,Belturbet,5,2010,Existing,Household Buyer - Former Owner-Occupier,155000.0
H14,Belturbet,5,2010,Existing,Household Buyer - Non-Occupier,
H14,Belturbet,6,2010,All Dwelling Statuses,All Buyer Types,180500.0
H14,Belturbet,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,226000.0
H14,Belturbet,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135000.0
H14,Belturbet,6,2010,New,All Buyer Types,180500.0
H14,Belturbet,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,6,2010,New,Household Buyer - Former Owner-Occupier,226000.0
H14,Belturbet,6,2010,New,Household Buyer - Non-Occupier,135000.0
H14,Belturbet,6,2010,Existing,All Buyer Types,
H14,Belturbet,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,6,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,6,2010,Existing,Household Buyer - Non-Occupier,
H14,Belturbet,7,2010,All Dwelling Statuses,All Buyer Types,162873.0
H14,Belturbet,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,110095.0
H14,Belturbet,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,215650.0
H14,Belturbet,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
H14,Belturbet,7,2010,New,All Buyer Types,162873.0
H14,Belturbet,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,110095.0
H14,Belturbet,7,2010,New,Household Buyer - Former Owner-Occupier,215650.0
H14,Belturbet,7,2010,New,Household Buyer - Non-Occupier,
H14,Belturbet,7,2010,Existing,All Buyer Types,
H14,Belturbet,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,7,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,7,2010,Existing,Household Buyer - Non-Occupier,
H14,Belturbet,8,2010,All Dwelling Statuses,All Buyer Types,240050.0
H14,Belturbet,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,295100.0
H14,Belturbet,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,185000.0
H14,Belturbet,8,2010,New,All Buyer Types,240050.0
H14,Belturbet,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,8,2010,New,Household Buyer - Former Owner-Occupier,295100.0
H14,Belturbet,8,2010,New,Household Buyer - Non-Occupier,185000.0
H14,Belturbet,8,2010,Existing,All Buyer Types,
H14,Belturbet,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,8,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,8,2010,Existing,Household Buyer - Non-Occupier,
H14,Belturbet,9,2010,All Dwelling Statuses,All Buyer Types,90800.0
H14,Belturbet,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,90800.0
H14,Belturbet,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
H14,Belturbet,9,2010,New,All Buyer Types,90800.0
H14,Belturbet,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,9,2010,New,Household Buyer - Former Owner-Occupier,90800.0
H14,Belturbet,9,2010,New,Household Buyer - Non-Occupier,
H14,Belturbet,9,2010,Existing,All Buyer Types,
H14,Belturbet,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,9,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,9,2010,Existing,Household Buyer - Non-Occupier,
H14,Belturbet,10,2010,All Dwelling Statuses,All Buyer Types,83750.0
H14,Belturbet,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,99000.0
H14,Belturbet,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,68500.0
H14,Belturbet,10,2010,New,All Buyer Types,
H14,Belturbet,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,10,2010,New,Household Buyer - Former Owner-Occupier,
H14,Belturbet,10,2010,New,Household Buyer - Non-Occupier,
H14,Belturbet,10,2010,Existing,All Buyer Types,83750.0
H14,Belturbet,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,10,2010,Existing,Household Buyer - Former Owner-Occupier,99000.0
H14,Belturbet,10,2010,Existing,Household Buyer - Non-Occupier,68500.0
H14,Belturbet,11,2010,All Dwelling Statuses,All Buyer Types,154050.0
H14,Belturbet,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,240000.0
H14,Belturbet,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,68100.0
H14,Belturbet,11,2010,New,All Buyer Types,154050.0
H14,Belturbet,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,11,2010,New,Household Buyer - Former Owner-Occupier,240000.0
H14,Belturbet,11,2010,New,Household Buyer - Non-Occupier,68100.0
H14,Belturbet,11,2010,Existing,All Buyer Types,
H14,Belturbet,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
H14,Belturbet,11,2010,Existing,Household Buyer - Former Owner-Occupier,
H14,Belturbet,11,2010,Existing,Household Buyer - Non-Occupier,
H14,Belturbet,12,2010,All Dwelling Statuses,All Buyer Types,175000.0
H14,Belturbet,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
