Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
All,,1,2010,All Dwelling Statuses,All Buyer Types,284811.0
All,,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,243164.0
All,,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,380936.0
All,,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,230077.0
All,,1,2010,New,All Buyer Types,259761.0
All,,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,240015.0
All,,1,2010,New,Household Buyer - Former Owner-Occupier,317829.0
All,,1,2010,New,Household Buyer - Non-Occupier,204069.0
All,,1,2010,Existing,All Buyer Types,294141.0
All,,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,244328.0
All,,1,2010,Existing,Household Buyer - Former Owner-Occupier,404202.0
All,,1,2010,Existing,Household Buyer - Non-Occupier,240352.0
All,,2,2010,All Dwelling Statuses,All Buyer Types,269304.0
All,,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,237832.0
All,,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,340059.0
All,,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,216253.0
All,,2,2010,New,All Buyer Types,251312.0
All,,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,241083.0
All,,2,2010,New,Household Buyer - Former Owner-Occupier,283898.0
All,,2,2010,New,Household Buyer - Non-Occupier,211572.0
All,,2,2010,Existing,All Buyer Types,277476.0
All,,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,236147.0
All,,2,2010,Existing,Household Buyer - Former Owner-Occupier,362484.0
All,,2,2010,Existing,Household Buyer - Non-Occupier,217829.0
All,,3,2010,All Dwelling Statuses,All Buyer Types,270216.0
All,,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,241376.0
All,,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,353654.0
All,,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,196644.0
All,,3,2010,New,All Buyer Types,258606.0
All,,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,229754.0
All,,3,2010,New,Household Buyer - Former Owner-Occupier,347414.0
All,,3,2010,New,Household Buyer - Non-Occupier,216118.0
All,,3,2010,Existing,All Buyer Types,275688.0
All,,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,248011.0
All,,3,2010,Existing,Household Buyer - Former Owner-Occupier,355933.0
All,,3,2010,Existing,Household Buyer - Non-Occupier,189913.0
All,,4,2010,All Dwelling Statuses,All Buyer Types,263556.0
All,,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,241371.0
All,,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,326759.0
All,,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,192852.0
All,,4,2010,New,All Buyer Types,243100.0
All,,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,234839.0
All,,4,2010,New,Household Buyer - Former Owner-Occupier,286335.0
All,,4,2010,New,Household Buyer - Non-Occupier,184970.0
All,,4,2010,Existing,All Buyer Types,271976.0
All,,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,244277.0
All,,4,2010,Existing,Household Buyer - Former Owner-Occupier,340738.0
All,,4,2010,Existing,Household Buyer - Non-Occupier,196440.0
All,,5,2010,All Dwelling Statuses,All Buyer Types,253224.0
All,,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,238690.0
All,,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,315675.0
All,,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,179314.0
All,,5,2010,New,All Buyer Types,234182.0
All,,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,231324.0
All,,5,2010,New,Household Buyer - Former Owner-Occupier,276416.0
All,,5,2010,New,Household Buyer - Non-Occupier,172533.0
All,,5,2010,Existing,All Buyer Types,260638.0
All,,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,241962.0
All,,5,2010,Existing,Household Buyer - Former Owner-Occupier,327347.0
All,,5,2010,Existing,Household Buyer - Non-Occupier,181915.0
All,,6,2010,All Dwelling Statuses,All Buyer Types,261443.0
All,,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,235464.0
All,,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,332942.0
All,,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,197918.0
All,,6,2010,New,All Buyer Types,233334.0
