Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
K45,Lusk,1,2010,All Dwelling Statuses,All Buyer Types,
K45,Lusk,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,1,2010,New,All Buyer Types,
K45,Lusk,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,1,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,1,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,1,2010,Existing,All Buyer Types,
K45,Lusk,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,1,2010,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,1,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,2,2010,All Dwelling Statuses,All Buyer Types,190000.0
K45,Lusk,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
K45,Lusk,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,2,2010,New,All Buyer Types,
K45,Lusk,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,2,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,2,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,2,2010,Existing,All Buyer Types,190000.0
K45,Lusk,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
K45,Lusk,2,2010,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,2,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,3,2010,All Dwelling Statuses,All Buyer Types,
K45,Lusk,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,3,2010,New,All Buyer Types,
K45,Lusk,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,3,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,3,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,3,2010,Existing,All Buyer Types,
K45,Lusk,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,3,2010,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,3,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,4,2010,All Dwelling Statuses,All Buyer Types,203750.0
K45,Lusk,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,203750.0
K45,Lusk,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,4,2010,New,All Buyer Types,210000.0
K45,Lusk,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
K45,Lusk,4,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,4,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,4,2010,Existing,All Buyer Types,201667.0
K45,Lusk,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,201667.0
K45,Lusk,4,2010,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,4,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,5,2010,All Dwelling Statuses,All Buyer Types,257000.0
K45,Lusk,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,236000.0
K45,Lusk,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,267500.0
K45,Lusk,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,5,2010,New,All Buyer Types,
K45,Lusk,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,5,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,5,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,5,2010,Existing,All Buyer Types,257000.0
K45,Lusk,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,236000.0
K45,Lusk,5,2010,Existing,Household Buyer - Former Owner-Occupier,267500.0
K45,Lusk,5,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,6,2010,All Dwelling Statuses,All Buyer Types,373667.0
K45,Lusk,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,288000.0
K45,Lusk,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,545000.0
K45,Lusk,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,6,2010,New,All Buyer Types,
K45,Lusk,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,6,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,6,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,6,2010,Existing,All Buyer Types,373667.0
K45,Lusk,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,288000.0
K45,Lusk,6,2010,Existing,Household Buyer - Former Owner-Occupier,545000.0
K45,Lusk,6,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,7,2010,All Dwelling Statuses,All Buyer Types,238864.0
K45,Lusk,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,256456.0
K45,Lusk,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,254950.0
K45,Lusk,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,170000.0
K45,Lusk,7,2010,New,All Buyer Types,272159.0
K45,Lusk,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,289368.0
K45,Lusk,7,2010,New,Household Buyer - Former Owner-Occupier,254950.0
K45,Lusk,7,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,7,2010,Existing,All Buyer Types,216667.0
K45,Lusk,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,240000.0
K45,Lusk,7,2010,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,7,2010,Existing,Household Buyer - Non-Occupier,170000.0
K45,Lusk,8,2010,All Dwelling Statuses,All Buyer Types,257800.0
K45,Lusk,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,234750.0
K45,Lusk,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,350000.0
K45,Lusk,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,8,2010,New,All Buyer Types,
K45,Lusk,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,8,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,8,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,8,2010,Existing,All Buyer Types,257800.0
K45,Lusk,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,234750.0
K45,Lusk,8,2010,Existing,Household Buyer - Former Owner-Occupier,350000.0
K45,Lusk,8,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,9,2010,All Dwelling Statuses,All Buyer Types,250739.0
K45,Lusk,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,250848.0
K45,Lusk,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,250304.0
K45,Lusk,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,9,2010,New,All Buyer Types,253424.0
K45,Lusk,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,254464.0
K45,Lusk,9,2010,New,Household Buyer - Former Owner-Occupier,250304.0
K45,Lusk,9,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,9,2010,Existing,All Buyer Types,240000.0
K45,Lusk,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,240000.0
K45,Lusk,9,2010,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,9,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,10,2010,All Dwelling Statuses,All Buyer Types,301305.0
K45,Lusk,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,260381.0
K45,Lusk,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,465000.0
K45,Lusk,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,10,2010,New,All Buyer Types,357525.0
K45,Lusk,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,357525.0
K45,Lusk,10,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,10,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,10,2010,Existing,All Buyer Types,287250.0
K45,Lusk,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,228000.0
K45,Lusk,10,2010,Existing,Household Buyer - Former Owner-Occupier,465000.0
K45,Lusk,10,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,11,2010,All Dwelling Statuses,All Buyer Types,227475.0
K45,Lusk,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,227475.0
K45,Lusk,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,11,2010,New,All Buyer Types,254950.0
K45,Lusk,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,254950.0
K45,Lusk,11,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,11,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,11,2010,Existing,All Buyer Types,200000.0
K45,Lusk,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
K45,Lusk,11,2010,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,11,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,12,2010,All Dwelling Statuses,All Buyer Types,283750.0
K45,Lusk,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
K45,Lusk,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,12,2010,New,All Buyer Types,283750.0
K45,Lusk,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
K45,Lusk,12,2010,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,12,2010,New,Household Buyer - Non-Occupier,
K45,Lusk,12,2010,Existing,All Buyer Types,
K45,Lusk,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,12,2010,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,12,2010,Existing,Household Buyer - Non-Occupier,
K45,Lusk,1,2011,All Dwelling Statuses,All Buyer Types,246000.0
K45,Lusk,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,256500.0
K45,Lusk,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,225000.0
K45,Lusk,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,1,2011,New,All Buyer Types,318000.0
K45,Lusk,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,318000.0
K45,Lusk,1,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,1,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,1,2011,Existing,All Buyer Types,210000.0
K45,Lusk,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
K45,Lusk,1,2011,Existing,Household Buyer - Former Owner-Occupier,225000.0
K45,Lusk,1,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,2,2011,All Dwelling Statuses,All Buyer Types,220000.0
K45,Lusk,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
K45,Lusk,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,215000.0
K45,Lusk,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,2,2011,New,All Buyer Types,
K45,Lusk,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,2,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,2,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,2,2011,Existing,All Buyer Types,220000.0
K45,Lusk,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
K45,Lusk,2,2011,Existing,Household Buyer - Former Owner-Occupier,215000.0
K45,Lusk,2,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,3,2011,All Dwelling Statuses,All Buyer Types,190750.0
K45,Lusk,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,203000.0
K45,Lusk,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,178500.0
K45,Lusk,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,3,2011,New,All Buyer Types,
K45,Lusk,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,3,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,3,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,3,2011,Existing,All Buyer Types,190750.0
K45,Lusk,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,203000.0
K45,Lusk,3,2011,Existing,Household Buyer - Former Owner-Occupier,178500.0
K45,Lusk,3,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,4,2011,All Dwelling Statuses,All Buyer Types,410000.0
K45,Lusk,4,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,4,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,410000.0
K45,Lusk,4,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,4,2011,New,All Buyer Types,
K45,Lusk,4,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,4,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,4,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,4,2011,Existing,All Buyer Types,410000.0
K45,Lusk,4,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,4,2011,Existing,Household Buyer - Former Owner-Occupier,410000.0
K45,Lusk,4,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,5,2011,All Dwelling Statuses,All Buyer Types,243000.0
K45,Lusk,5,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,5,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,167000.0
K45,Lusk,5,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,319000.0
K45,Lusk,5,2011,New,All Buyer Types,
K45,Lusk,5,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,5,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,5,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,5,2011,Existing,All Buyer Types,243000.0
K45,Lusk,5,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,5,2011,Existing,Household Buyer - Former Owner-Occupier,167000.0
K45,Lusk,5,2011,Existing,Household Buyer - Non-Occupier,319000.0
K45,Lusk,6,2011,All Dwelling Statuses,All Buyer Types,280000.0
K45,Lusk,6,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,280000.0
K45,Lusk,6,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,6,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,6,2011,New,All Buyer Types,
K45,Lusk,6,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,6,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,6,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,6,2011,Existing,All Buyer Types,280000.0
K45,Lusk,6,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,280000.0
K45,Lusk,6,2011,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,6,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,7,2011,All Dwelling Statuses,All Buyer Types,363750.0
K45,Lusk,7,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,7,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,363750.0
K45,Lusk,7,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,7,2011,New,All Buyer Types,
K45,Lusk,7,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,7,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,7,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,7,2011,Existing,All Buyer Types,363750.0
K45,Lusk,7,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,7,2011,Existing,Household Buyer - Former Owner-Occupier,363750.0
K45,Lusk,7,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,8,2011,All Dwelling Statuses,All Buyer Types,225000.0
K45,Lusk,8,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,8,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,350000.0
K45,Lusk,8,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,100000.0
K45,Lusk,8,2011,New,All Buyer Types,
K45,Lusk,8,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,8,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,8,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,8,2011,Existing,All Buyer Types,225000.0
K45,Lusk,8,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,8,2011,Existing,Household Buyer - Former Owner-Occupier,350000.0
K45,Lusk,8,2011,Existing,Household Buyer - Non-Occupier,100000.0
K45,Lusk,9,2011,All Dwelling Statuses,All Buyer Types,307500.0
K45,Lusk,9,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
K45,Lusk,9,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,381250.0
K45,Lusk,9,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,9,2011,New,All Buyer Types,
K45,Lusk,9,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,9,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,9,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,9,2011,Existing,All Buyer Types,307500.0
K45,Lusk,9,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
K45,Lusk,9,2011,Existing,Household Buyer - Former Owner-Occupier,381250.0
K45,Lusk,9,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,10,2011,All Dwelling Statuses,All Buyer Types,
K45,Lusk,10,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,10,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,10,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,10,2011,New,All Buyer Types,
K45,Lusk,10,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,10,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,10,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,10,2011,Existing,All Buyer Types,
K45,Lusk,10,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,10,2011,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,10,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,11,2011,All Dwelling Statuses,All Buyer Types,181500.0
K45,Lusk,11,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,193000.0
K45,Lusk,11,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170000.0
K45,Lusk,11,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,11,2011,New,All Buyer Types,193000.0
K45,Lusk,11,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,193000.0
K45,Lusk,11,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,11,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,11,2011,Existing,All Buyer Types,170000.0
K45,Lusk,11,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,11,2011,Existing,Household Buyer - Former Owner-Occupier,170000.0
K45,Lusk,11,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,12,2011,All Dwelling Statuses,All Buyer Types,
K45,Lusk,12,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,12,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,12,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,12,2011,New,All Buyer Types,
K45,Lusk,12,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,12,2011,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,12,2011,New,Household Buyer - Non-Occupier,
K45,Lusk,12,2011,Existing,All Buyer Types,
K45,Lusk,12,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,12,2011,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,12,2011,Existing,Household Buyer - Non-Occupier,
K45,Lusk,1,2012,All Dwelling Statuses,All Buyer Types,210000.0
K45,Lusk,1,2012,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
K45,Lusk,1,2012,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
K45,Lusk,1,2012,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,1,2012,New,All Buyer Types,
K45,Lusk,1,2012,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,1,2012,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,1,2012,New,Household Buyer - Non-Occupier,
K45,Lusk,1,2012,Existing,All Buyer Types,210000.0
K45,Lusk,1,2012,Existing,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
K45,Lusk,1,2012,Existing,Household Buyer - Former Owner-Occupier,
K45,Lusk,1,2012,Existing,Household Buyer - Non-Occupier,
K45,Lusk,2,2012,All Dwelling Statuses,All Buyer Types,135200.0
K45,Lusk,2,2012,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,112000.0
K45,Lusk,2,2012,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,141000.0
K45,Lusk,2,2012,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,2,2012,New,All Buyer Types,
K45,Lusk,2,2012,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,2,2012,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,2,2012,New,Household Buyer - Non-Occupier,
K45,Lusk,2,2012,Existing,All Buyer Types,135200.0
K45,Lusk,2,2012,Existing,Household Buyer - First-Time Buyer Owner-Occupier,112000.0
K45,Lusk,2,2012,Existing,Household Buyer - Former Owner-Occupier,141000.0
K45,Lusk,2,2012,Existing,Household Buyer - Non-Occupier,
K45,Lusk,3,2012,All Dwelling Statuses,All Buyer Types,215000.0
K45,Lusk,3,2012,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,3,2012,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,215000.0
K45,Lusk,3,2012,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,3,2012,New,All Buyer Types,
K45,Lusk,3,2012,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,3,2012,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,3,2012,New,Household Buyer - Non-Occupier,
K45,Lusk,3,2012,Existing,All Buyer Types,215000.0
K45,Lusk,3,2012,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,3,2012,Existing,Household Buyer - Former Owner-Occupier,215000.0
K45,Lusk,3,2012,Existing,Household Buyer - Non-Occupier,
K45,Lusk,4,2012,All Dwelling Statuses,All Buyer Types,175000.0
K45,Lusk,4,2012,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,4,2012,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,175000.0
K45,Lusk,4,2012,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,4,2012,New,All Buyer Types,
K45,Lusk,4,2012,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,4,2012,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,4,2012,New,Household Buyer - Non-Occupier,
K45,Lusk,4,2012,Existing,All Buyer Types,175000.0
K45,Lusk,4,2012,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,4,2012,Existing,Household Buyer - Former Owner-Occupier,175000.0
K45,Lusk,4,2012,Existing,Household Buyer - Non-Occupier,
K45,Lusk,5,2012,All Dwelling Statuses,All Buyer Types,211400.0
K45,Lusk,5,2012,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,197500.0
K45,Lusk,5,2012,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,220667.0
K45,Lusk,5,2012,All Dwelling Statuses,Household Buyer - Non-Occupier,
K45,Lusk,5,2012,New,All Buyer Types,
K45,Lusk,5,2012,New,Household Buyer - First-Time Buyer Owner-Occupier,
K45,Lusk,5,2012,New,Household Buyer - Former Owner-Occupier,
K45,Lusk,5,2012,New,Household Buyer - Non-Occupier,
K45,Lusk,5,2012,Existing,All Buyer Types,211400.0
K45,Lusk,5,2012,Existing,Household Buyer - First-Time Buyer Owner-Occupier,197500.0
K45,Lusk,5,2012,Existing,Household Buyer - Former Owner-Occupier,220667.0
K45,Lusk,5,2012,Existing,Household Buyer - Non-Occupier,
K45,Lusk,6,2012,All Dwelling Statuses,All Buyer Types,213833.0
K45,Lusk,6,2012,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,173500.0
