,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
32,A82,1,2010,All Dwelling Statuses,All Buyer Types,173116.0
33,A82,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,189245.0
34,A82,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,157288.0
35,A82,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,108000.0
592,A82,1,2010,New,All Buyer Types,159511.0
593,A82,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,182735.0
594,A82,1,2010,New,Household Buyer - Former Owner-Occupier,164575.0
595,A82,1,2010,New,Household Buyer - Non-Occupier,108000.0
1152,A82,1,2010,Existing,All Buyer Types,184000.0
1153,A82,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,192500.0
1154,A82,1,2010,Existing,Household Buyer - Former Owner-Occupier,150000.0
1155,A82,1,2010,Existing,Household Buyer - Non-Occupier,
1712,A82,2,2010,All Dwelling Statuses,All Buyer Types,170970.0
1713,A82,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,156456.0
1714,A82,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,113500.0
1715,A82,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,221475.0
2272,A82,2,2010,New,All Buyer Types,155164.0
2273,A82,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,156456.0
2274,A82,2,2010,New,Household Buyer - Former Owner-Occupier,113500.0
2275,A82,2,2010,New,Household Buyer - Non-Occupier,192950.0
2832,A82,2,2010,Existing,All Buyer Types,250000.0
2833,A82,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
2834,A82,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2835,A82,2,2010,Existing,Household Buyer - Non-Occupier,250000.0
3392,A82,3,2010,All Dwelling Statuses,All Buyer Types,199172.0
3393,A82,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,195718.0
3394,A82,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,208597.0
3395,A82,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,180000.0
3952,A82,3,2010,New,All Buyer Types,229175.0
3953,A82,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,215186.0
3954,A82,3,2010,New,Household Buyer - Former Owner-Occupier,226697.0
3955,A82,3,2010,New,Household Buyer - Non-Occupier,300000.0
4512,A82,3,2010,Existing,All Buyer Types,144167.0
4513,A82,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,176250.0
4514,A82,3,2010,Existing,Household Buyer - Former Owner-Occupier,100000.0
4515,A82,3,2010,Existing,Household Buyer - Non-Occupier,60000.0
5072,A82,4,2010,All Dwelling Statuses,All Buyer Types,225434.0
5073,A82,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213200.0
5074,A82,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,241565.0
5075,A82,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,225979.0
5632,A82,4,2010,New,All Buyer Types,242695.0
5633,A82,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,193900.0
5634,A82,4,2010,New,Household Buyer - Former Owner-Occupier,299847.0
5635,A82,4,2010,New,Household Buyer - Non-Occupier,225979.0
6192,A82,4,2010,Existing,All Buyer Types,196667.0
6193,A82,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,232500.0
6194,A82,4,2010,Existing,Household Buyer - Former Owner-Occupier,125000.0
6195,A82,4,2010,Existing,Household Buyer - Non-Occupier,
6752,A82,5,2010,All Dwelling Statuses,All Buyer Types,189851.0
6753,A82,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,209915.0
6754,A82,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,189900.0
6755,A82,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,119500.0
7312,A82,5,2010,New,All Buyer Types,260081.0
7313,A82,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,245102.0
7314,A82,5,2010,New,Household Buyer - Former Owner-Occupier,320000.0
