,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
436,R51,1,2010,All Dwelling Statuses,All Buyer Types,319131.0
437,R51,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,362175.0
438,R51,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,190000.0
439,R51,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
996,R51,1,2010,New,All Buyer Types,217013.0
997,R51,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,244025.0
998,R51,1,2010,New,Household Buyer - Former Owner-Occupier,190000.0
999,R51,1,2010,New,Household Buyer - Non-Occupier,
1556,R51,1,2010,Existing,All Buyer Types,421250.0
1557,R51,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,421250.0
1558,R51,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1559,R51,1,2010,Existing,Household Buyer - Non-Occupier,
2116,R51,2,2010,All Dwelling Statuses,All Buyer Types,210000.0
2117,R51,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
2118,R51,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2119,R51,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2676,R51,2,2010,New,All Buyer Types,
2677,R51,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2678,R51,2,2010,New,Household Buyer - Former Owner-Occupier,
2679,R51,2,2010,New,Household Buyer - Non-Occupier,
3236,R51,2,2010,Existing,All Buyer Types,210000.0
3237,R51,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
3238,R51,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3239,R51,2,2010,Existing,Household Buyer - Non-Occupier,
3796,R51,3,2010,All Dwelling Statuses,All Buyer Types,192711.0
3797,R51,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,205253.0
3798,R51,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3799,R51,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,130000.0
4356,R51,3,2010,New,All Buyer Types,271265.0
4357,R51,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,271265.0
4358,R51,3,2010,New,Household Buyer - Former Owner-Occupier,
4359,R51,3,2010,New,Household Buyer - Non-Occupier,
4916,R51,3,2010,Existing,All Buyer Types,177000.0
4917,R51,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,188750.0
4918,R51,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4919,R51,3,2010,Existing,Household Buyer - Non-Occupier,130000.0
5476,R51,4,2010,All Dwelling Statuses,All Buyer Types,188294.0
5477,R51,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,188850.0
5478,R51,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,184400.0
5479,R51,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6036,R51,4,2010,New,All Buyer Types,217316.0
6037,R51,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,217316.0
6038,R51,4,2010,New,Household Buyer - Former Owner-Occupier,
6039,R51,4,2010,New,Household Buyer - Non-Occupier,
6596,R51,4,2010,Existing,All Buyer Types,170880.0
6597,R51,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,167500.0
6598,R51,4,2010,Existing,Household Buyer - Former Owner-Occupier,184400.0
6599,R51,4,2010,Existing,Household Buyer - Non-Occupier,
