,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
448,R95,1,2010,All Dwelling Statuses,All Buyer Types,237889.0
449,R95,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,189333.0
450,R95,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,264600.0
451,R95,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,250000.0
1008,R95,1,2010,New,All Buyer Types,210001.0
1009,R95,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1010,R95,1,2010,New,Household Buyer - Former Owner-Occupier,210001.0
1011,R95,1,2010,New,Household Buyer - Non-Occupier,
1568,R95,1,2010,Existing,All Buyer Types,241375.0
1569,R95,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,189333.0
1570,R95,1,2010,Existing,Household Buyer - Former Owner-Occupier,278250.0
1571,R95,1,2010,Existing,Household Buyer - Non-Occupier,250000.0
2128,R95,2,2010,All Dwelling Statuses,All Buyer Types,192093.0
2129,R95,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,203099.0
2130,R95,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,195506.0
2131,R95,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,143333.0
2688,R95,2,2010,New,All Buyer Types,237933.0
2689,R95,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,291695.0
2690,R95,2,2010,New,Household Buyer - Former Owner-Occupier,250018.0
2691,R95,2,2010,New,Household Buyer - Non-Occupier,160000.0
3248,R95,2,2010,Existing,All Buyer Types,175424.0
3249,R95,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,188333.0
3250,R95,2,2010,Existing,Household Buyer - Former Owner-Occupier,168250.0
3251,R95,2,2010,Existing,Household Buyer - Non-Occupier,126667.0
3808,R95,3,2010,All Dwelling Statuses,All Buyer Types,232772.0
3809,R95,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,227518.0
3810,R95,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,246889.0
3811,R95,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,153000.0
4368,R95,3,2010,New,All Buyer Types,279051.0
4369,R95,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,284353.0
4370,R95,3,2010,New,Household Buyer - Former Owner-Occupier,273750.0
4371,R95,3,2010,New,Household Buyer - Non-Occupier,
4928,R95,3,2010,Existing,All Buyer Types,199114.0
4929,R95,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,182050.0
4930,R95,3,2010,Existing,Household Buyer - Former Owner-Occupier,225400.0
4931,R95,3,2010,Existing,Household Buyer - Non-Occupier,153000.0
5488,R95,4,2010,All Dwelling Statuses,All Buyer Types,177985.0
5489,R95,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,214098.0
5490,R95,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,165056.0
5491,R95,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,123000.0
6048,R95,4,2010,New,All Buyer Types,192770.0
6049,R95,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,194085.0
6050,R95,4,2010,New,Household Buyer - Former Owner-Occupier,192112.0
6051,R95,4,2010,New,Household Buyer - Non-Occupier,
6608,R95,4,2010,Existing,All Buyer Types,173550.0
6609,R95,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,218100.0
6610,R95,4,2010,Existing,Household Buyer - Former Owner-Occupier,138000.0
6611,R95,4,2010,Existing,Household Buyer - Non-Occupier,123000.0
7168,R95,5,2010,All Dwelling Statuses,All Buyer Types,211012.0
7169,R95,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,192500.0
7170,R95,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,383108.0
7171,R95,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,133671.0
7728,R95,5,2010,New,All Buyer Types,171170.0
7729,R95,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7730,R95,5,2010,New,Household Buyer - Former Owner-Occupier,221325.0
7731,R95,5,2010,New,Household Buyer - Non-Occupier,154452.0
8288,R95,5,2010,Existing,All Buyer Types,225500.0
8289,R95,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,192500.0
8290,R95,5,2010,Existing,Household Buyer - Former Owner-Occupier,464000.0
8291,R95,5,2010,Existing,Household Buyer - Non-Occupier,102500.0
8848,R95,6,2010,All Dwelling Statuses,All Buyer Types,208457.0
8849,R95,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196892.0
8850,R95,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,235934.0
8851,R95,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,188199.0
9408,R95,6,2010,New,All Buyer Types,272497.0
9409,R95,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,220568.0
9410,R95,6,2010,New,Household Buyer - Former Owner-Occupier,284238.0
9411,R95,6,2010,New,Household Buyer - Non-Occupier,404800.0
9968,R95,6,2010,Existing,All Buyer Types,187111.0
9969,R95,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,189000.0
9970,R95,6,2010,Existing,Household Buyer - Former Owner-Occupier,219833.0
9971,R95,6,2010,Existing,Household Buyer - Non-Occupier,115998.0
10528,R95,7,2010,All Dwelling Statuses,All Buyer Types,182326.0
10529,R95,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,190598.0
10530,R95,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170813.0
10531,R95,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,184500.0
11088,R95,7,2010,New,All Buyer Types,254164.0
11089,R95,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,232675.0
11090,R95,7,2010,New,Household Buyer - Former Owner-Occupier,360817.0
