,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
500,V93,1,2010,All Dwelling Statuses,All Buyer Types,211110.0
501,V93,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170454.0
502,V93,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,286588.0
503,V93,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,215000.0
1060,V93,1,2010,New,All Buyer Types,254997.0
1061,V93,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,191815.0
1062,V93,1,2010,New,Household Buyer - Former Owner-Occupier,286588.0
1063,V93,1,2010,New,Household Buyer - Non-Occupier,
1620,V93,1,2010,Existing,All Buyer Types,189167.0
1621,V93,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,163333.0
1622,V93,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1623,V93,1,2010,Existing,Household Buyer - Non-Occupier,215000.0
2180,V93,2,2010,All Dwelling Statuses,All Buyer Types,268294.0
2181,V93,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,214450.0
2182,V93,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,405000.0
2183,V93,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,144000.0
2740,V93,2,2010,New,All Buyer Types,238350.0
2741,V93,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,238350.0
2742,V93,2,2010,New,Household Buyer - Former Owner-Occupier,
2743,V93,2,2010,New,Household Buyer - Non-Occupier,
3300,V93,2,2010,Existing,All Buyer Types,272571.0
3301,V93,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,202500.0
3302,V93,2,2010,Existing,Household Buyer - Former Owner-Occupier,405000.0
3303,V93,2,2010,Existing,Household Buyer - Non-Occupier,144000.0
3860,V93,3,2010,All Dwelling Statuses,All Buyer Types,228844.0
3861,V93,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,248589.0
3862,V93,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,229086.0
3863,V93,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,192963.0
4420,V93,3,2010,New,All Buyer Types,288584.0
4421,V93,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,314700.0
4422,V93,3,2010,New,Household Buyer - Former Owner-Occupier,257267.0
4423,V93,3,2010,New,Household Buyer - Non-Occupier,278075.0
4980,V93,3,2010,Existing,All Buyer Types,192080.0
4981,V93,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195700.0
4982,V93,3,2010,Existing,Household Buyer - Former Owner-Occupier,207950.0
4983,V93,3,2010,Existing,Household Buyer - Non-Occupier,171685.0
5540,V93,4,2010,All Dwelling Statuses,All Buyer Types,199188.0
5541,V93,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,212522.0
5542,V93,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,231030.0
5543,V93,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,165015.0
6100,V93,4,2010,New,All Buyer Types,201347.0
6101,V93,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,191815.0
6102,V93,4,2010,New,Household Buyer - Former Owner-Occupier,
6103,V93,4,2010,New,Household Buyer - Non-Occupier,207702.0
6660,V93,4,2010,Existing,All Buyer Types,198358.0
6661,V93,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,222875.0
6662,V93,4,2010,Existing,Household Buyer - Former Owner-Occupier,231030.0
6663,V93,4,2010,Existing,Household Buyer - Non-Occupier,133000.0
7220,V93,5,2010,All Dwelling Statuses,All Buyer Types,200466.0
7221,V93,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,217932.0
7222,V93,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,218900.0
7223,V93,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,153083.0
