,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
532,X42,1,2010,All Dwelling Statuses,All Buyer Types,169999.0
533,X42,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
534,X42,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
535,X42,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,169999.0
1092,X42,1,2010,New,All Buyer Types,169999.0
1093,X42,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1094,X42,1,2010,New,Household Buyer - Former Owner-Occupier,
1095,X42,1,2010,New,Household Buyer - Non-Occupier,169999.0
1652,X42,1,2010,Existing,All Buyer Types,
1653,X42,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1654,X42,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1655,X42,1,2010,Existing,Household Buyer - Non-Occupier,
2212,X42,2,2010,All Dwelling Statuses,All Buyer Types,170000.0
2213,X42,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
2214,X42,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2215,X42,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2772,X42,2,2010,New,All Buyer Types,
2773,X42,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2774,X42,2,2010,New,Household Buyer - Former Owner-Occupier,
2775,X42,2,2010,New,Household Buyer - Non-Occupier,
3332,X42,2,2010,Existing,All Buyer Types,170000.0
3333,X42,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
3334,X42,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3335,X42,2,2010,Existing,Household Buyer - Non-Occupier,
3892,X42,3,2010,All Dwelling Statuses,All Buyer Types,
3893,X42,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3894,X42,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3895,X42,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4452,X42,3,2010,New,All Buyer Types,
4453,X42,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4454,X42,3,2010,New,Household Buyer - Former Owner-Occupier,
4455,X42,3,2010,New,Household Buyer - Non-Occupier,
5012,X42,3,2010,Existing,All Buyer Types,
5013,X42,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
5014,X42,3,2010,Existing,Household Buyer - Former Owner-Occupier,
5015,X42,3,2010,Existing,Household Buyer - Non-Occupier,
5572,X42,4,2010,All Dwelling Statuses,All Buyer Types,81000.0
5573,X42,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5574,X42,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,81000.0
5575,X42,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6132,X42,4,2010,New,All Buyer Types,
6133,X42,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6134,X42,4,2010,New,Household Buyer - Former Owner-Occupier,
