,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
488,V35,1,2010,All Dwelling Statuses,All Buyer Types,184154.0
489,V35,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180125.0
490,V35,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,204300.0
491,V35,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1048,V35,1,2010,New,All Buyer Types,202985.0
1049,V35,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,202656.0
1050,V35,1,2010,New,Household Buyer - Former Owner-Occupier,204300.0
1051,V35,1,2010,New,Household Buyer - Non-Occupier,
1608,V35,1,2010,Existing,All Buyer Types,90000.0
1609,V35,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,90000.0
1610,V35,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1611,V35,1,2010,Existing,Household Buyer - Non-Occupier,
2168,V35,2,2010,All Dwelling Statuses,All Buyer Types,156747.0
2169,V35,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,161591.0
2170,V35,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,118000.0
2171,V35,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2728,V35,2,2010,New,All Buyer Types,166931.0
2729,V35,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,166931.0
2730,V35,2,2010,New,Household Buyer - Former Owner-Occupier,
2731,V35,2,2010,New,Household Buyer - Non-Occupier,
3288,V35,2,2010,Existing,All Buyer Types,148600.0
3289,V35,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,156250.0
3290,V35,2,2010,Existing,Household Buyer - Former Owner-Occupier,118000.0
3291,V35,2,2010,Existing,Household Buyer - Non-Occupier,
3848,V35,3,2010,All Dwelling Statuses,All Buyer Types,225309.0
3849,V35,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,168614.0
3850,V35,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,338700.0
3851,V35,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4408,V35,3,2010,New,All Buyer Types,123714.0
4409,V35,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,149818.0
4410,V35,3,2010,New,Household Buyer - Former Owner-Occupier,45400.0
4411,V35,3,2010,New,Household Buyer - Non-Occupier,
4968,V35,3,2010,Existing,All Buyer Types,428500.0
4969,V35,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
4970,V35,3,2010,Existing,Household Buyer - Former Owner-Occupier,632000.0
4971,V35,3,2010,Existing,Household Buyer - Non-Occupier,
5528,V35,4,2010,All Dwelling Statuses,All Buyer Types,155671.0
5529,V35,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,174175.0
