,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
476,V15,1,2010,All Dwelling Statuses,All Buyer Types,238250.0
477,V15,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
478,V15,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,126500.0
479,V15,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,350000.0
1036,V15,1,2010,New,All Buyer Types,
1037,V15,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1038,V15,1,2010,New,Household Buyer - Former Owner-Occupier,
1039,V15,1,2010,New,Household Buyer - Non-Occupier,
1596,V15,1,2010,Existing,All Buyer Types,238250.0
1597,V15,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1598,V15,1,2010,Existing,Household Buyer - Former Owner-Occupier,126500.0
1599,V15,1,2010,Existing,Household Buyer - Non-Occupier,350000.0
2156,V15,2,2010,All Dwelling Statuses,All Buyer Types,169205.0
2157,V15,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
2158,V15,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,216660.0
2159,V15,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121750.0
2716,V15,2,2010,New,All Buyer Types,263320.0
2717,V15,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2718,V15,2,2010,New,Household Buyer - Former Owner-Occupier,263320.0
2719,V15,2,2010,New,Household Buyer - Non-Occupier,
3276,V15,2,2010,Existing,All Buyer Types,137833.0
3277,V15,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3278,V15,2,2010,Existing,Household Buyer - Former Owner-Occupier,170000.0
3279,V15,2,2010,Existing,Household Buyer - Non-Occupier,121750.0
3836,V15,3,2010,All Dwelling Statuses,All Buyer Types,129017.0
3837,V15,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3838,V15,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3839,V15,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,129017.0
4396,V15,3,2010,New,All Buyer Types,214050.0
4397,V15,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4398,V15,3,2010,New,Household Buyer - Former Owner-Occupier,
4399,V15,3,2010,New,Household Buyer - Non-Occupier,214050.0
4956,V15,3,2010,Existing,All Buyer Types,86500.0
4957,V15,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4958,V15,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4959,V15,3,2010,Existing,Household Buyer - Non-Occupier,86500.0
5516,V15,4,2010,All Dwelling Statuses,All Buyer Types,150571.0
5517,V15,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,127500.0
5518,V15,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,340500.0
5519,V15,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,114625.0
6076,V15,4,2010,New,All Buyer Types,340500.0
6077,V15,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6078,V15,4,2010,New,Household Buyer - Former Owner-Occupier,340500.0
6079,V15,4,2010,New,Household Buyer - Non-Occupier,
6636,V15,4,2010,Existing,All Buyer Types,118917.0
6637,V15,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,127500.0
6638,V15,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6639,V15,4,2010,Existing,Household Buyer - Non-Occupier,114625.0
7196,V15,5,2010,All Dwelling Statuses,All Buyer Types,150836.0
7197,V15,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
7198,V15,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,176337.0
7199,V15,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,80000.0
7756,V15,5,2010,New,All Buyer Types,
7757,V15,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7758,V15,5,2010,New,Household Buyer - Former Owner-Occupier,
7759,V15,5,2010,New,Household Buyer - Non-Occupier,
8316,V15,5,2010,Existing,All Buyer Types,150836.0
8317,V15,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
