,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
348,P17,1,2010,All Dwelling Statuses,All Buyer Types,445812.0
349,P17,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,300000.0
350,P17,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,362500.0
351,P17,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,758250.0
908,P17,1,2010,New,All Buyer Types,249999.0
909,P17,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
910,P17,1,2010,New,Household Buyer - Former Owner-Occupier,249999.0
911,P17,1,2010,New,Household Buyer - Non-Occupier,
1468,P17,1,2010,Existing,All Buyer Types,511083.0
1469,P17,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,300000.0
1470,P17,1,2010,Existing,Household Buyer - Former Owner-Occupier,475000.0
1471,P17,1,2010,Existing,Household Buyer - Non-Occupier,758250.0
2028,P17,2,2010,All Dwelling Statuses,All Buyer Types,390290.0
2029,P17,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
2030,P17,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,390290.0
2031,P17,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2588,P17,2,2010,New,All Buyer Types,345725.0
2589,P17,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2590,P17,2,2010,New,Household Buyer - Former Owner-Occupier,345725.0
2591,P17,2,2010,New,Household Buyer - Non-Occupier,
3148,P17,2,2010,Existing,All Buyer Types,420000.0
3149,P17,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3150,P17,2,2010,Existing,Household Buyer - Former Owner-Occupier,420000.0
3151,P17,2,2010,Existing,Household Buyer - Non-Occupier,
3708,P17,3,2010,All Dwelling Statuses,All Buyer Types,430000.0
3709,P17,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3710,P17,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,515000.0
3711,P17,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,345000.0
4268,P17,3,2010,New,All Buyer Types,345000.0
4269,P17,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4270,P17,3,2010,New,Household Buyer - Former Owner-Occupier,
4271,P17,3,2010,New,Household Buyer - Non-Occupier,345000.0
4828,P17,3,2010,Existing,All Buyer Types,515000.0
4829,P17,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4830,P17,3,2010,Existing,Household Buyer - Former Owner-Occupier,515000.0
4831,P17,3,2010,Existing,Household Buyer - Non-Occupier,
5388,P17,4,2010,All Dwelling Statuses,All Buyer Types,392326.0
5389,P17,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,265408.0
5390,P17,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5391,P17,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,900000.0
5948,P17,4,2010,New,All Buyer Types,328316.0
5949,P17,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,328316.0
5950,P17,4,2010,New,Household Buyer - Former Owner-Occupier,
5951,P17,4,2010,New,Household Buyer - Non-Occupier,
6508,P17,4,2010,Existing,All Buyer Types,435000.0
6509,P17,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,202500.0
6510,P17,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6511,P17,4,2010,Existing,Household Buyer - Non-Occupier,900000.0
7068,P17,5,2010,All Dwelling Statuses,All Buyer Types,420125.0
7069,P17,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,415000.0
7070,P17,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,700000.0
