,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
240,F92,1,2010,All Dwelling Statuses,All Buyer Types,231883.0
241,F92,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,223858.0
242,F92,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,212117.0
243,F92,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,259675.0
800,F92,1,2010,New,All Buyer Types,253415.0
801,F92,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,278075.0
802,F92,1,2010,New,Household Buyer - Former Owner-Occupier,209975.0
803,F92,1,2010,New,Household Buyer - Non-Occupier,259675.0
1360,F92,1,2010,Existing,All Buyer Types,204969.0
1361,F92,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,196750.0
1362,F92,1,2010,Existing,Household Buyer - Former Owner-Occupier,213188.0
1363,F92,1,2010,Existing,Household Buyer - Non-Occupier,
1920,F92,2,2010,All Dwelling Statuses,All Buyer Types,181193.0
1921,F92,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,137215.0
1922,F92,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,231610.0
1923,F92,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,195133.0
2480,F92,2,2010,New,All Buyer Types,232062.0
2481,F92,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,163876.0
2482,F92,2,2010,New,Household Buyer - Former Owner-Occupier,304350.0
2483,F92,2,2010,New,Household Buyer - Non-Occupier,260000.0
3040,F92,2,2010,Existing,All Buyer Types,115790.0
3041,F92,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,101667.0
3042,F92,2,2010,Existing,Household Buyer - Former Owner-Occupier,122500.0
3043,F92,2,2010,Existing,Household Buyer - Non-Occupier,130266.0
3600,F92,3,2010,All Dwelling Statuses,All Buyer Types,156874.0
3601,F92,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,175461.0
3602,F92,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,158250.0
3603,F92,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,74500.0
4160,F92,3,2010,New,All Buyer Types,168165.0
4161,F92,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,164798.0
4162,F92,3,2010,New,Household Buyer - Former Owner-Occupier,185000.0
4163,F92,3,2010,New,Household Buyer - Non-Occupier,
4720,F92,3,2010,Existing,All Buyer Types,152036.0
4721,F92,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,182125.0
4722,F92,3,2010,Existing,Household Buyer - Former Owner-Occupier,149333.0
4723,F92,3,2010,Existing,Household Buyer - Non-Occupier,74500.0
5280,F92,4,2010,All Dwelling Statuses,All Buyer Types,168580.0
5281,F92,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,151835.0
5282,F92,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,235170.0
