,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
244,F93,1,2010,All Dwelling Statuses,All Buyer Types,193606.0
245,F93,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,108750.0
246,F93,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,185838.0
247,F93,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,294000.0
804,F93,1,2010,New,All Buyer Types,212783.0
805,F93,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
806,F93,1,2010,New,Household Buyer - Former Owner-Occupier,212783.0
807,F93,1,2010,New,Household Buyer - Non-Occupier,
1364,F93,1,2010,Existing,All Buyer Types,182100.0
1365,F93,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,108750.0
1366,F93,1,2010,Existing,Household Buyer - Former Owner-Occupier,105000.0
1367,F93,1,2010,Existing,Household Buyer - Non-Occupier,294000.0
1924,F93,2,2010,All Dwelling Statuses,All Buyer Types,161498.0
1925,F93,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,145995.0
1926,F93,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,173385.0
1927,F93,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,170538.0
2484,F93,2,2010,New,All Buyer Types,183004.0
2485,F93,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,159988.0
2486,F93,2,2010,New,Household Buyer - Former Owner-Occupier,218488.0
2487,F93,2,2010,New,Household Buyer - Non-Occupier,170538.0
3044,F93,2,2010,Existing,All Buyer Types,139992.0
3045,F93,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,136667.0
3046,F93,2,2010,Existing,Household Buyer - Former Owner-Occupier,143317.0
3047,F93,2,2010,Existing,Household Buyer - Non-Occupier,
3604,F93,3,2010,All Dwelling Statuses,All Buyer Types,210848.0
3605,F93,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,264800.0
3606,F93,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,218567.0
3607,F93,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,97156.0
4164,F93,3,2010,New,All Buyer Types,203619.0
4165,F93,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,192099.0
4166,F93,3,2010,New,Household Buyer - Former Owner-Occupier,249700.0
4167,F93,3,2010,New,Household Buyer - Non-Occupier,
4724,F93,3,2010,Existing,All Buyer Types,214463.0
4725,F93,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,337500.0
4726,F93,3,2010,Existing,Household Buyer - Former Owner-Occupier,203000.0
4727,F93,3,2010,Existing,Household Buyer - Non-Occupier,97156.0
5284,F93,4,2010,All Dwelling Statuses,All Buyer Types,164789.0
5285,F93,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,149983.0
5286,F93,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,195000.0
5287,F93,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,169524.0
5844,F93,4,2010,New,All Buyer Types,228975.0
