,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
504,V94,1,2010,All Dwelling Statuses,All Buyer Types,222006.0
505,V94,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,189535.0
506,V94,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,275629.0
507,V94,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,223790.0
1064,V94,1,2010,New,All Buyer Types,200225.0
1065,V94,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,216131.0
1066,V94,1,2010,New,Household Buyer - Former Owner-Occupier,196203.0
1067,V94,1,2010,New,Household Buyer - Non-Occupier,186330.0
1624,V94,1,2010,Existing,All Buyer Types,234818.0
1625,V94,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,176238.0
1626,V94,1,2010,Existing,Household Buyer - Former Owner-Occupier,307400.0
1627,V94,1,2010,Existing,Household Buyer - Non-Occupier,261250.0
2184,V94,2,2010,All Dwelling Statuses,All Buyer Types,224385.0
2185,V94,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200935.0
2186,V94,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,235625.0
2187,V94,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,265907.0
2744,V94,2,2010,New,All Buyer Types,233232.0
2745,V94,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,201958.0
2746,V94,2,2010,New,Household Buyer - Former Owner-Occupier,557000.0
2747,V94,2,2010,New,Household Buyer - Non-Occupier,183563.0
3304,V94,2,2010,Existing,All Buyer Types,221200.0
3305,V94,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,200643.0
3306,V94,2,2010,Existing,Household Buyer - Former Owner-Occupier,189714.0
3307,V94,2,2010,Existing,Household Buyer - Non-Occupier,348250.0
3864,V94,3,2010,All Dwelling Statuses,All Buyer Types,213736.0
3865,V94,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,237561.0
3866,V94,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,218139.0
3867,V94,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,101258.0
4424,V94,3,2010,New,All Buyer Types,262980.0
4425,V94,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,275817.0
4426,V94,3,2010,New,Household Buyer - Former Owner-Occupier,254813.0
4427,V94,3,2010,New,Household Buyer - Non-Occupier,192950.0
4984,V94,3,2010,Existing,All Buyer Types,195954.0
