,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
484,V31,1,2010,All Dwelling Statuses,All Buyer Types,267500.0
485,V31,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
486,V31,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
487,V31,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,267500.0
1044,V31,1,2010,New,All Buyer Types,
1045,V31,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1046,V31,1,2010,New,Household Buyer - Former Owner-Occupier,
1047,V31,1,2010,New,Household Buyer - Non-Occupier,
1604,V31,1,2010,Existing,All Buyer Types,267500.0
1605,V31,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1606,V31,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1607,V31,1,2010,Existing,Household Buyer - Non-Occupier,267500.0
2164,V31,2,2010,All Dwelling Statuses,All Buyer Types,153867.0
2165,V31,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,160800.0
2166,V31,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2167,V31,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,140000.0
2724,V31,2,2010,New,All Buyer Types,181600.0
2725,V31,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,181600.0
2726,V31,2,2010,New,Household Buyer - Former Owner-Occupier,
2727,V31,2,2010,New,Household Buyer - Non-Occupier,
3284,V31,2,2010,Existing,All Buyer Types,140000.0
3285,V31,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
3286,V31,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3287,V31,2,2010,Existing,Household Buyer - Non-Occupier,140000.0
3844,V31,3,2010,All Dwelling Statuses,All Buyer Types,190528.0
3845,V31,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,203629.0
3846,V31,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3847,V31,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,170877.0
4404,V31,3,2010,New,All Buyer Types,179196.0
4405,V31,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,187275.0
4406,V31,3,2010,New,Household Buyer - Former Owner-Occupier,
4407,V31,3,2010,New,Household Buyer - Non-Occupier,176503.0
4964,V31,3,2010,Existing,All Buyer Types,198083.0
4965,V31,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,206900.0
4966,V31,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4967,V31,3,2010,Existing,Household Buyer - Non-Occupier,154000.0
5524,V31,4,2010,All Dwelling Statuses,All Buyer Types,156325.0
5525,V31,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,280000.0
5526,V31,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,134000.0
