,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
328,N39,1,2010,All Dwelling Statuses,All Buyer Types,138476.0
329,N39,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,172380.0
330,N39,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170000.0
331,N39,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,116667.0
888,N39,1,2010,New,All Buyer Types,140793.0
889,N39,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,172380.0
890,N39,1,2010,New,Household Buyer - Former Owner-Occupier,170000.0
891,N39,1,2010,New,Household Buyer - Non-Occupier,80000.0
1448,N39,1,2010,Existing,All Buyer Types,135000.0
1449,N39,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1450,N39,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1451,N39,1,2010,Existing,Household Buyer - Non-Occupier,135000.0
2008,N39,2,2010,All Dwelling Statuses,All Buyer Types,155531.0
2009,N39,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,202333.0
2010,N39,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,154360.0
2011,N39,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,86500.0
2568,N39,2,2010,New,All Buyer Types,136240.0
2569,N39,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2570,N39,2,2010,New,Household Buyer - Former Owner-Occupier,154360.0
2571,N39,2,2010,New,Household Buyer - Non-Occupier,100000.0
3128,N39,2,2010,Existing,All Buyer Types,170000.0
3129,N39,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,202333.0
3130,N39,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3131,N39,2,2010,Existing,Household Buyer - Non-Occupier,73000.0
3688,N39,3,2010,All Dwelling Statuses,All Buyer Types,155605.0
3689,N39,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,174031.0
3690,N39,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,177867.0
3691,N39,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,120483.0
4248,N39,3,2010,New,All Buyer Types,196931.0
4249,N39,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,194312.0
4250,N39,3,2010,New,Household Buyer - Former Owner-Occupier,204300.0
4251,N39,3,2010,New,Household Buyer - Non-Occupier,187430.0
4808,N39,3,2010,Existing,All Buyer Types,121167.0
4809,N39,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,153750.0
4810,N39,3,2010,Existing,Household Buyer - Former Owner-Occupier,125000.0
4811,N39,3,2010,Existing,Household Buyer - Non-Occupier,98167.0
5368,N39,4,2010,All Dwelling Statuses,All Buyer Types,152515.0
5369,N39,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,242000.0
5370,N39,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,173872.0
5371,N39,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,108642.0
5928,N39,4,2010,New,All Buyer Types,174621.0
5929,N39,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5930,N39,4,2010,New,Household Buyer - Former Owner-Occupier,236366.0
5931,N39,4,2010,New,Household Buyer - Non-Occupier,143749.0
6488,N39,4,2010,Existing,All Buyer Types,137778.0
6489,N39,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,242000.0
6490,N39,4,2010,Existing,Household Buyer - Former Owner-Occupier,142625.0
6491,N39,4,2010,Existing,Household Buyer - Non-Occupier,61833.0
7048,N39,5,2010,All Dwelling Statuses,All Buyer Types,91167.0
7049,N39,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,107625.0
7050,N39,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7051,N39,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,58250.0
7608,N39,5,2010,New,All Buyer Types,125000.0
7609,N39,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,125000.0
7610,N39,5,2010,New,Household Buyer - Former Owner-Occupier,
7611,N39,5,2010,New,Household Buyer - Non-Occupier,
8168,N39,5,2010,Existing,All Buyer Types,84400.0
8169,N39,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,101833.0
8170,N39,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8171,N39,5,2010,Existing,Household Buyer - Non-Occupier,58250.0
8728,N39,6,2010,All Dwelling Statuses,All Buyer Types,172703.0
8729,N39,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,132887.0
8730,N39,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,209989.0
8731,N39,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,192950.0
9288,N39,6,2010,New,All Buyer Types,211596.0
9289,N39,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,161031.0
9290,N39,6,2010,New,Household Buyer - Former Owner-Occupier,239986.0
9291,N39,6,2010,New,Household Buyer - Non-Occupier,192950.0
9848,N39,6,2010,Existing,All Buyer Types,117143.0
