,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
280,H62,1,2010,All Dwelling Statuses,All Buyer Types,150000.0
281,H62,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
282,H62,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
283,H62,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
840,H62,1,2010,New,All Buyer Types,150000.0
841,H62,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
842,H62,1,2010,New,Household Buyer - Former Owner-Occupier,
843,H62,1,2010,New,Household Buyer - Non-Occupier,
1400,H62,1,2010,Existing,All Buyer Types,
1401,H62,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1402,H62,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1403,H62,1,2010,Existing,Household Buyer - Non-Occupier,
1960,H62,2,2010,All Dwelling Statuses,All Buyer Types,179888.0
1961,H62,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,164183.0
1962,H62,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1963,H62,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,227000.0
2520,H62,2,2010,New,All Buyer Types,169850.0
2521,H62,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,141275.0
2522,H62,2,2010,New,Household Buyer - Former Owner-Occupier,
2523,H62,2,2010,New,Household Buyer - Non-Occupier,227000.0
3080,H62,2,2010,Existing,All Buyer Types,210000.0
3081,H62,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
3082,H62,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3083,H62,2,2010,Existing,Household Buyer - Non-Occupier,
3640,H62,3,2010,All Dwelling Statuses,All Buyer Types,174624.0
3641,H62,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,169590.0
3642,H62,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,195788.0
3643,H62,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,162500.0
4200,H62,3,2010,New,All Buyer Types,164731.0
4201,H62,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,152308.0
4202,H62,3,2010,New,Household Buyer - Former Owner-Occupier,195788.0
4203,H62,3,2010,New,Household Buyer - Non-Occupier,
4760,H62,3,2010,Existing,All Buyer Types,209250.0
4761,H62,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,256000.0
4762,H62,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4763,H62,3,2010,Existing,Household Buyer - Non-Occupier,162500.0
5320,H62,4,2010,All Dwelling Statuses,All Buyer Types,142330.0
5321,H62,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,149999.0
5322,H62,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,95000.0
5323,H62,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,162160.0
5880,H62,4,2010,New,All Buyer Types,149999.0
5881,H62,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,149999.0
5882,H62,4,2010,New,Household Buyer - Former Owner-Occupier,
5883,H62,4,2010,New,Household Buyer - Non-Occupier,
6440,H62,4,2010,Existing,All Buyer Types,139773.0
6441,H62,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6442,H62,4,2010,Existing,Household Buyer - Former Owner-Occupier,95000.0
6443,H62,4,2010,Existing,Household Buyer - Non-Occupier,162160.0
7000,H62,5,2010,All Dwelling Statuses,All Buyer Types,196000.0
7001,H62,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196000.0
7002,H62,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7003,H62,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7560,H62,5,2010,New,All Buyer Types,227000.0
7561,H62,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,227000.0
7562,H62,5,2010,New,Household Buyer - Former Owner-Occupier,
7563,H62,5,2010,New,Household Buyer - Non-Occupier,
8120,H62,5,2010,Existing,All Buyer Types,165000.0
8121,H62,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
8122,H62,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8123,H62,5,2010,Existing,Household Buyer - Non-Occupier,
8680,H62,6,2010,All Dwelling Statuses,All Buyer Types,156150.0
8681,H62,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,152500.0
8682,H62,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,181600.0
8683,H62,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,138000.0
9240,H62,6,2010,New,All Buyer Types,181600.0
9241,H62,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9242,H62,6,2010,New,Household Buyer - Former Owner-Occupier,181600.0
9243,H62,6,2010,New,Household Buyer - Non-Occupier,
9800,H62,6,2010,Existing,All Buyer Types,147667.0
9801,H62,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,152500.0
9802,H62,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9803,H62,6,2010,Existing,Household Buyer - Non-Occupier,138000.0
10360,H62,7,2010,All Dwelling Statuses,All Buyer Types,161762.0
10361,H62,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,179516.0
10362,H62,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,137000.0
10363,H62,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,80000.0
10920,H62,7,2010,New,All Buyer Types,204033.0
