,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
320,K78,1,2010,All Dwelling Statuses,All Buyer Types,244674.0
321,K78,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,228663.0
322,K78,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,289506.0
323,K78,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
880,K78,1,2010,New,All Buyer Types,234074.0
881,K78,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,210087.0
882,K78,1,2010,New,Household Buyer - Former Owner-Occupier,342015.0
883,K78,1,2010,New,Household Buyer - Non-Occupier,
1440,K78,1,2010,Existing,All Buyer Types,259250.0
1441,K78,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,262100.0
1442,K78,1,2010,Existing,Household Buyer - Former Owner-Occupier,254500.0
1443,K78,1,2010,Existing,Household Buyer - Non-Occupier,
2000,K78,2,2010,All Dwelling Statuses,All Buyer Types,236449.0
2001,K78,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,235532.0
2002,K78,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,262724.0
2003,K78,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,122500.0
2560,K78,2,2010,New,All Buyer Types,227328.0
2561,K78,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,220201.0
2562,K78,2,2010,New,Household Buyer - Former Owner-Occupier,239206.0
2563,K78,2,2010,New,Household Buyer - Non-Occupier,
3120,K78,2,2010,Existing,All Buyer Types,240741.0
3121,K78,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,241007.0
3122,K78,2,2010,Existing,Household Buyer - Former Owner-Occupier,298000.0
3123,K78,2,2010,Existing,Household Buyer - Non-Occupier,122500.0
3680,K78,3,2010,All Dwelling Statuses,All Buyer Types,232840.0
3681,K78,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,240731.0
3682,K78,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,210875.0
3683,K78,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,155000.0
4240,K78,3,2010,New,All Buyer Types,214231.0
4241,K78,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,214231.0
4242,K78,3,2010,New,Household Buyer - Former Owner-Occupier,
4243,K78,3,2010,New,Household Buyer - Non-Occupier,
4800,K78,3,2010,Existing,All Buyer Types,241111.0
4801,K78,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,257038.0
4802,K78,3,2010,Existing,Household Buyer - Former Owner-Occupier,210875.0
4803,K78,3,2010,Existing,Household Buyer - Non-Occupier,155000.0
5360,K78,4,2010,All Dwelling Statuses,All Buyer Types,276428.0
5361,K78,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,261265.0
5362,K78,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,362354.0
5363,K78,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5920,K78,4,2010,New,All Buyer Types,262821.0
5921,K78,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,262000.0
5922,K78,4,2010,New,Household Buyer - Former Owner-Occupier,268563.0
5923,K78,4,2010,New,Household Buyer - Non-Occupier,
6480,K78,4,2010,Existing,All Buyer Types,285500.0
6481,K78,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,260750.0
6482,K78,4,2010,Existing,Household Buyer - Former Owner-Occupier,409250.0
6483,K78,4,2010,Existing,Household Buyer - Non-Occupier,
7040,K78,5,2010,All Dwelling Statuses,All Buyer Types,263457.0
7041,K78,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,248062.0
7042,K78,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,327236.0
7043,K78,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7600,K78,5,2010,New,All Buyer Types,226580.0
7601,K78,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,227573.0
7602,K78,5,2010,New,Household Buyer - Former Owner-Occupier,215650.0
7603,K78,5,2010,New,Household Buyer - Non-Occupier,
8160,K78,5,2010,Existing,All Buyer Types,281896.0
8161,K78,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,260583.0
8162,K78,5,2010,Existing,Household Buyer - Former Owner-Occupier,345833.0
8163,K78,5,2010,Existing,Household Buyer - Non-Occupier,
8720,K78,6,2010,All Dwelling Statuses,All Buyer Types,238081.0
