,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
308,K45,1,2010,All Dwelling Statuses,All Buyer Types,
309,K45,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
310,K45,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
311,K45,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
868,K45,1,2010,New,All Buyer Types,
869,K45,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
870,K45,1,2010,New,Household Buyer - Former Owner-Occupier,
871,K45,1,2010,New,Household Buyer - Non-Occupier,
1428,K45,1,2010,Existing,All Buyer Types,
1429,K45,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1430,K45,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1431,K45,1,2010,Existing,Household Buyer - Non-Occupier,
1988,K45,2,2010,All Dwelling Statuses,All Buyer Types,190000.0
1989,K45,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
1990,K45,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1991,K45,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2548,K45,2,2010,New,All Buyer Types,
2549,K45,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2550,K45,2,2010,New,Household Buyer - Former Owner-Occupier,
2551,K45,2,2010,New,Household Buyer - Non-Occupier,
3108,K45,2,2010,Existing,All Buyer Types,190000.0
3109,K45,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
3110,K45,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3111,K45,2,2010,Existing,Household Buyer - Non-Occupier,
3668,K45,3,2010,All Dwelling Statuses,All Buyer Types,
3669,K45,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3670,K45,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3671,K45,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4228,K45,3,2010,New,All Buyer Types,
4229,K45,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4230,K45,3,2010,New,Household Buyer - Former Owner-Occupier,
4231,K45,3,2010,New,Household Buyer - Non-Occupier,
4788,K45,3,2010,Existing,All Buyer Types,
4789,K45,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4790,K45,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4791,K45,3,2010,Existing,Household Buyer - Non-Occupier,
5348,K45,4,2010,All Dwelling Statuses,All Buyer Types,203750.0
5349,K45,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,203750.0
5350,K45,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5351,K45,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5908,K45,4,2010,New,All Buyer Types,210000.0
5909,K45,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
5910,K45,4,2010,New,Household Buyer - Former Owner-Occupier,
5911,K45,4,2010,New,Household Buyer - Non-Occupier,
6468,K45,4,2010,Existing,All Buyer Types,201667.0
6469,K45,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,201667.0
6470,K45,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6471,K45,4,2010,Existing,Household Buyer - Non-Occupier,
7028,K45,5,2010,All Dwelling Statuses,All Buyer Types,257000.0
7029,K45,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,236000.0
7030,K45,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,267500.0
7031,K45,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7588,K45,5,2010,New,All Buyer Types,
7589,K45,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7590,K45,5,2010,New,Household Buyer - Former Owner-Occupier,
7591,K45,5,2010,New,Household Buyer - Non-Occupier,
8148,K45,5,2010,Existing,All Buyer Types,257000.0
8149,K45,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,236000.0
8150,K45,5,2010,Existing,Household Buyer - Former Owner-Occupier,267500.0
8151,K45,5,2010,Existing,Household Buyer - Non-Occupier,
8708,K45,6,2010,All Dwelling Statuses,All Buyer Types,373667.0
8709,K45,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,288000.0
8710,K45,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,545000.0
8711,K45,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9268,K45,6,2010,New,All Buyer Types,
9269,K45,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9270,K45,6,2010,New,Household Buyer - Former Owner-Occupier,
9271,K45,6,2010,New,Household Buyer - Non-Occupier,
9828,K45,6,2010,Existing,All Buyer Types,373667.0
9829,K45,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,288000.0
9830,K45,6,2010,Existing,Household Buyer - Former Owner-Occupier,545000.0
9831,K45,6,2010,Existing,Household Buyer - Non-Occupier,
10388,K45,7,2010,All Dwelling Statuses,All Buyer Types,238864.0
10389,K45,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,256456.0
