,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
340,P12,1,2010,All Dwelling Statuses,All Buyer Types,241667.0
341,P12,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,227500.0
342,P12,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,270000.0
343,P12,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
900,P12,1,2010,New,All Buyer Types,
901,P12,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
902,P12,1,2010,New,Household Buyer - Former Owner-Occupier,
903,P12,1,2010,New,Household Buyer - Non-Occupier,
1460,P12,1,2010,Existing,All Buyer Types,241667.0
1461,P12,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,227500.0
1462,P12,1,2010,Existing,Household Buyer - Former Owner-Occupier,270000.0
1463,P12,1,2010,Existing,Household Buyer - Non-Occupier,
2020,P12,2,2010,All Dwelling Statuses,All Buyer Types,269583.0
2021,P12,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,269583.0
2022,P12,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2023,P12,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2580,P12,2,2010,New,All Buyer Types,283750.0
2581,P12,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
2582,P12,2,2010,New,Household Buyer - Former Owner-Occupier,
2583,P12,2,2010,New,Household Buyer - Non-Occupier,
3140,P12,2,2010,Existing,All Buyer Types,262500.0
3141,P12,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,262500.0
3142,P12,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3143,P12,2,2010,Existing,Household Buyer - Non-Occupier,
3700,P12,3,2010,All Dwelling Statuses,All Buyer Types,246667.0
3701,P12,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
3702,P12,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,325000.0
3703,P12,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,205000.0
4260,P12,3,2010,New,All Buyer Types,210000.0
4261,P12,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
4262,P12,3,2010,New,Household Buyer - Former Owner-Occupier,
4263,P12,3,2010,New,Household Buyer - Non-Occupier,
4820,P12,3,2010,Existing,All Buyer Types,265000.0
4821,P12,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4822,P12,3,2010,Existing,Household Buyer - Former Owner-Occupier,325000.0
4823,P12,3,2010,Existing,Household Buyer - Non-Occupier,205000.0
5380,P12,4,2010,All Dwelling Statuses,All Buyer Types,124750.0
5381,P12,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
5382,P12,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,109667.0
5383,P12,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5940,P12,4,2010,New,All Buyer Types,
5941,P12,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5942,P12,4,2010,New,Household Buyer - Former Owner-Occupier,
5943,P12,4,2010,New,Household Buyer - Non-Occupier,
6500,P12,4,2010,Existing,All Buyer Types,124750.0
6501,P12,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
6502,P12,4,2010,Existing,Household Buyer - Former Owner-Occupier,109667.0
6503,P12,4,2010,Existing,Household Buyer - Non-Occupier,
7060,P12,5,2010,All Dwelling Statuses,All Buyer Types,154823.0
7061,P12,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,166190.0
7062,P12,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,159500.0
7063,P12,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,100000.0
7620,P12,5,2010,New,All Buyer Types,199760.0
7621,P12,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,199760.0
7622,P12,5,2010,New,Household Buyer - Former Owner-Occupier,
7623,P12,5,2010,New,Household Buyer - Non-Occupier,
8180,P12,5,2010,Existing,All Buyer Types,147333.0
8181,P12,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,155000.0
8182,P12,5,2010,Existing,Household Buyer - Former Owner-Occupier,159500.0
8183,P12,5,2010,Existing,Household Buyer - Non-Occupier,100000.0
8740,P12,6,2010,All Dwelling Statuses,All Buyer Types,275000.0
8741,P12,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,275000.0
8742,P12,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8743,P12,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9300,P12,6,2010,New,All Buyer Types,
9301,P12,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9302,P12,6,2010,New,Household Buyer - Former Owner-Occupier,
9303,P12,6,2010,New,Household Buyer - Non-Occupier,
9860,P12,6,2010,Existing,All Buyer Types,275000.0
9861,P12,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,275000.0
9862,P12,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9863,P12,6,2010,Existing,Household Buyer - Non-Occupier,
10420,P12,7,2010,All Dwelling Statuses,All Buyer Types,202187.0
10421,P12,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,215000.0
10422,P12,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,283750.0
10423,P12,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,95000.0
10980,P12,7,2010,New,All Buyer Types,269375.0
10981,P12,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,254999.0
10982,P12,7,2010,New,Household Buyer - Former Owner-Occupier,283750.0
10983,P12,7,2010,New,Household Buyer - Non-Occupier,
11540,P12,7,2010,Existing,All Buyer Types,135000.0
11541,P12,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
11542,P12,7,2010,Existing,Household Buyer - Former Owner-Occupier,
11543,P12,7,2010,Existing,Household Buyer - Non-Occupier,95000.0
12100,P12,8,2010,All Dwelling Statuses,All Buyer Types,162700.0
12101,P12,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,173400.0
12102,P12,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,177150.0
12103,P12,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121500.0
12660,P12,8,2010,New,All Buyer Types,215650.0
12661,P12,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,227000.0
12662,P12,8,2010,New,Household Buyer - Former Owner-Occupier,204300.0
12663,P12,8,2010,New,Household Buyer - Non-Occupier,
13220,P12,8,2010,Existing,All Buyer Types,147571.0
13221,P12,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
13222,P12,8,2010,Existing,Household Buyer - Former Owner-Occupier,150000.0
13223,P12,8,2010,Existing,Household Buyer - Non-Occupier,121500.0
13780,P12,9,2010,All Dwelling Statuses,All Buyer Types,163614.0
13781,P12,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,173750.0
13782,P12,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,150100.0
13783,P12,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14340,P12,9,2010,New,All Buyer Types,
14341,P12,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14342,P12,9,2010,New,Household Buyer - Former Owner-Occupier,
14343,P12,9,2010,New,Household Buyer - Non-Occupier,
14900,P12,9,2010,Existing,All Buyer Types,163614.0
14901,P12,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,173750.0
14902,P12,9,2010,Existing,Household Buyer - Former Owner-Occupier,150100.0
14903,P12,9,2010,Existing,Household Buyer - Non-Occupier,
15460,P12,10,2010,All Dwelling Statuses,All Buyer Types,256250.0
15461,P12,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,221875.0
15462,P12,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
15463,P12,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,325000.0
16020,P12,10,2010,New,All Buyer Types,283750.0
16021,P12,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
16022,P12,10,2010,New,Household Buyer - Former Owner-Occupier,
16023,P12,10,2010,New,Household Buyer - Non-Occupier,
16580,P12,10,2010,Existing,All Buyer Types,242500.0
16581,P12,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
16582,P12,10,2010,Existing,Household Buyer - Former Owner-Occupier,
16583,P12,10,2010,Existing,Household Buyer - Non-Occupier,325000.0
17140,P12,11,2010,All Dwelling Statuses,All Buyer Types,174820.0
17141,P12,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,215000.0
17142,P12,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,148033.0
17143,P12,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17700,P12,11,2010,New,All Buyer Types,
17701,P12,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
17702,P12,11,2010,New,Household Buyer - Former Owner-Occupier,
17703,P12,11,2010,New,Household Buyer - Non-Occupier,
18260,P12,11,2010,Existing,All Buyer Types,174820.0
18261,P12,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,215000.0
18262,P12,11,2010,Existing,Household Buyer - Former Owner-Occupier,148033.0
18263,P12,11,2010,Existing,Household Buyer - Non-Occupier,
18820,P12,12,2010,All Dwelling Statuses,All Buyer Types,200965.0
18821,P12,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210666.0
18822,P12,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,186412.0
18823,P12,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
19380,P12,12,2010,New,All Buyer Types,233912.0
19381,P12,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,209999.0
19382,P12,12,2010,New,Household Buyer - Former Owner-Occupier,257824.0
19383,P12,12,2010,New,Household Buyer - Non-Occupier,
19940,P12,12,2010,Existing,All Buyer Types,179000.0
19941,P12,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,211000.0
19942,P12,12,2010,Existing,Household Buyer - Former Owner-Occupier,115000.0
19943,P12,12,2010,Existing,Household Buyer - Non-Occupier,
20500,P12,1,2011,All Dwelling Statuses,All Buyer Types,144600.0
20501,P12,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,140706.0
20502,P12,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,255000.0
20503,P12,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,45882.0
21060,P12,1,2011,New,All Buyer Types,133560.0
21061,P12,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,133560.0
21062,P12,1,2011,New,Household Buyer - Former Owner-Occupier,
21063,P12,1,2011,New,Household Buyer - Non-Occupier,
21620,P12,1,2011,Existing,All Buyer Types,151961.0
21621,P12,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,155000.0
21622,P12,1,2011,Existing,Household Buyer - Former Owner-Occupier,255000.0
21623,P12,1,2011,Existing,Household Buyer - Non-Occupier,45882.0
22180,P12,2,2011,All Dwelling Statuses,All Buyer Types,208536.0
22181,P12,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,225248.0
22182,P12,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,158400.0
22183,P12,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
22740,P12,2,2011,New,All Buyer Types,325745.0
22741,P12,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,325745.0
22742,P12,2,2011,New,Household Buyer - Former Owner-Occupier,
22743,P12,2,2011,New,Household Buyer - Non-Occupier,
23300,P12,2,2011,Existing,All Buyer Types,169467.0
23301,P12,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
23302,P12,2,2011,Existing,Household Buyer - Former Owner-Occupier,158400.0
23303,P12,2,2011,Existing,Household Buyer - Non-Occupier,
23860,P12,3,2011,All Dwelling Statuses,All Buyer Types,198000.0
23861,P12,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
23862,P12,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,198000.0
23863,P12,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
24420,P12,3,2011,New,All Buyer Types,
24421,P12,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
24422,P12,3,2011,New,Household Buyer - Former Owner-Occupier,
24423,P12,3,2011,New,Household Buyer - Non-Occupier,
24980,P12,3,2011,Existing,All Buyer Types,198000.0
24981,P12,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
24982,P12,3,2011,Existing,Household Buyer - Former Owner-Occupier,198000.0
24983,P12,3,2011,Existing,Household Buyer - Non-Occupier,
25540,P12,4,2011,All Dwelling Statuses,All Buyer Types,139000.0
