,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
304,K36,1,2010,All Dwelling Statuses,All Buyer Types,415679.0
305,K36,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,383438.0
306,K36,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,496581.0
307,K36,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,350000.0
864,K36,1,2010,New,All Buyer Types,374765.0
865,K36,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,304167.0
866,K36,1,2010,New,Household Buyer - Former Owner-Occupier,480663.0
867,K36,1,2010,New,Household Buyer - Non-Occupier,
1424,K36,1,2010,Existing,All Buyer Types,441250.0
1425,K36,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,431000.0
1426,K36,1,2010,Existing,Household Buyer - Former Owner-Occupier,512500.0
1427,K36,1,2010,Existing,Household Buyer - Non-Occupier,350000.0
1984,K36,2,2010,All Dwelling Statuses,All Buyer Types,299698.0
1985,K36,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,306250.0
1986,K36,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,295329.0
1987,K36,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2544,K36,2,2010,New,All Buyer Types,175658.0
2545,K36,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,215000.0
2546,K36,2,2010,New,Household Buyer - Former Owner-Occupier,155988.0
2547,K36,2,2010,New,Household Buyer - Non-Occupier,
3104,K36,2,2010,Existing,All Buyer Types,352857.0
3105,K36,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,336667.0
3106,K36,2,2010,Existing,Household Buyer - Former Owner-Occupier,365000.0
3107,K36,2,2010,Existing,Household Buyer - Non-Occupier,
3664,K36,3,2010,All Dwelling Statuses,All Buyer Types,436624.0
3665,K36,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,358015.0
3666,K36,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,594220.0
3667,K36,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,355000.0
4224,K36,3,2010,New,All Buyer Types,346845.0
4225,K36,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,287144.0
4226,K36,3,2010,New,Household Buyer - Former Owner-Occupier,406546.0
4227,K36,3,2010,New,Household Buyer - Non-Occupier,
4784,K36,3,2010,Existing,All Buyer Types,500753.0
4785,K36,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,393450.0
4786,K36,3,2010,Existing,Household Buyer - Former Owner-Occupier,907012.0
4787,K36,3,2010,Existing,Household Buyer - Non-Occupier,355000.0
5344,K36,4,2010,All Dwelling Statuses,All Buyer Types,485333.0
5345,K36,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,393500.0
5346,K36,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,511571.0
5347,K36,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5904,K36,4,2010,New,All Buyer Types,750000.0
5905,K36,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5906,K36,4,2010,New,Household Buyer - Former Owner-Occupier,750000.0
5907,K36,4,2010,New,Household Buyer - Non-Occupier,
6464,K36,4,2010,Existing,All Buyer Types,452250.0
6465,K36,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,393500.0
6466,K36,4,2010,Existing,Household Buyer - Former Owner-Occupier,471833.0
6467,K36,4,2010,Existing,Household Buyer - Non-Occupier,
7024,K36,5,2010,All Dwelling Statuses,All Buyer Types,403647.0
7025,K36,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,378818.0
7026,K36,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,443375.0
7027,K36,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7584,K36,5,2010,New,All Buyer Types,391417.0
7585,K36,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,338260.0
7586,K36,5,2010,New,Household Buyer - Former Owner-Occupier,462292.0
7587,K36,5,2010,New,Household Buyer - Non-Occupier,
8144,K36,5,2010,Existing,All Buyer Types,417917.0
8145,K36,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,419375.0
8146,K36,5,2010,Existing,Household Buyer - Former Owner-Occupier,415000.0
8147,K36,5,2010,Existing,Household Buyer - Non-Occupier,
8704,K36,6,2010,All Dwelling Statuses,All Buyer Types,411900.0
8705,K36,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,323307.0
8706,K36,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,470963.0
8707,K36,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9264,K36,6,2010,New,All Buyer Types,385652.0
9265,K36,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,218478.0
9266,K36,6,2010,New,Household Buyer - Former Owner-Occupier,720000.0
9267,K36,6,2010,New,Household Buyer - Non-Occupier,
9824,K36,6,2010,Existing,All Buyer Types,416532.0
9825,K36,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,358250.0
9826,K36,6,2010,Existing,Household Buyer - Former Owner-Occupier,448323.0
