,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
380,P51,1,2010,All Dwelling Statuses,All Buyer Types,166375.0
381,P51,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,185769.0
382,P51,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,185625.0
383,P51,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,60000.0
940,P51,1,2010,New,All Buyer Types,220190.0
941,P51,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,220190.0
942,P51,1,2010,New,Household Buyer - Former Owner-Occupier,
943,P51,1,2010,New,Household Buyer - Non-Occupier,
1500,P51,1,2010,Existing,All Buyer Types,156591.0
1501,P51,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,172000.0
1502,P51,1,2010,Existing,Household Buyer - Former Owner-Occupier,185625.0
1503,P51,1,2010,Existing,Household Buyer - Non-Occupier,60000.0
2060,P51,2,2010,All Dwelling Statuses,All Buyer Types,212154.0
2061,P51,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,218300.0
2062,P51,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,191667.0
2063,P51,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2620,P51,2,2010,New,All Buyer Types,
2621,P51,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2622,P51,2,2010,New,Household Buyer - Former Owner-Occupier,
2623,P51,2,2010,New,Household Buyer - Non-Occupier,
3180,P51,2,2010,Existing,All Buyer Types,212154.0
3181,P51,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,218300.0
3182,P51,2,2010,Existing,Household Buyer - Former Owner-Occupier,191667.0
3183,P51,2,2010,Existing,Household Buyer - Non-Occupier,
3740,P51,3,2010,All Dwelling Statuses,All Buyer Types,181523.0
3741,P51,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,214655.0
3742,P51,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,191000.0
3743,P51,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,75000.0
4300,P51,3,2010,New,All Buyer Types,242592.0
4301,P51,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,242592.0
4302,P51,3,2010,New,Household Buyer - Former Owner-Occupier,
4303,P51,3,2010,New,Household Buyer - Non-Occupier,
4860,P51,3,2010,Existing,All Buyer Types,161167.0
4861,P51,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,172750.0
4862,P51,3,2010,Existing,Household Buyer - Former Owner-Occupier,191000.0
4863,P51,3,2010,Existing,Household Buyer - Non-Occupier,75000.0
5420,P51,4,2010,All Dwelling Statuses,All Buyer Types,195492.0
5421,P51,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,233238.0
5422,P51,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,165000.0
5423,P51,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,30000.0
5980,P51,4,2010,New,All Buyer Types,296143.0
5981,P51,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,296143.0
5982,P51,4,2010,New,Household Buyer - Former Owner-Occupier,
5983,P51,4,2010,New,Household Buyer - Non-Occupier,
6540,P51,4,2010,Existing,All Buyer Types,145167.0
6541,P51,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,170333.0
6542,P51,4,2010,Existing,Household Buyer - Former Owner-Occupier,165000.0
6543,P51,4,2010,Existing,Household Buyer - Non-Occupier,30000.0
7100,P51,5,2010,All Dwelling Statuses,All Buyer Types,206620.0
7101,P51,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,218300.0
7102,P51,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,217500.0
7103,P51,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,171982.0
7660,P51,5,2010,New,All Buyer Types,196963.0
7661,P51,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7662,P51,5,2010,New,Household Buyer - Former Owner-Occupier,209999.0
7663,P51,5,2010,New,Household Buyer - Non-Occupier,183927.0
8220,P51,5,2010,Existing,All Buyer Types,208000.0
8221,P51,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,218300.0
8222,P51,5,2010,Existing,Household Buyer - Former Owner-Occupier,225000.0
8223,P51,5,2010,Existing,Household Buyer - Non-Occupier,168000.0
8780,P51,6,2010,All Dwelling Statuses,All Buyer Types,146545.0
8781,P51,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,161000.0
8782,P51,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,104625.0
8783,P51,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,227500.0
9340,P51,6,2010,New,All Buyer Types,
9341,P51,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9342,P51,6,2010,New,Household Buyer - Former Owner-Occupier,
9343,P51,6,2010,New,Household Buyer - Non-Occupier,
9900,P51,6,2010,Existing,All Buyer Types,146545.0
9901,P51,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,161000.0
9902,P51,6,2010,Existing,Household Buyer - Former Owner-Occupier,104625.0
9903,P51,6,2010,Existing,Household Buyer - Non-Occupier,227500.0
10460,P51,7,2010,All Dwelling Statuses,All Buyer Types,169926.0
10461,P51,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180902.0
10462,P51,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,208285.0
10463,P51,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,74000.0
11020,P51,7,2010,New,All Buyer Types,237648.0
11021,P51,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,267157.0
11022,P51,7,2010,New,Household Buyer - Former Owner-Occupier,208140.0
11023,P51,7,2010,New,Household Buyer - Non-Occupier,
11580,P51,7,2010,Existing,All Buyer Types,151867.0
11581,P51,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,146400.0
11582,P51,7,2010,Existing,Household Buyer - Former Owner-Occupier,208333.0
11583,P51,7,2010,Existing,Household Buyer - Non-Occupier,74000.0
12140,P51,8,2010,All Dwelling Statuses,All Buyer Types,132570.0
12141,P51,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,127651.0
12142,P51,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,127600.0
12143,P51,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,162213.0
12700,P51,8,2010,New,All Buyer Types,225740.0
12701,P51,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,162055.0
12702,P51,8,2010,New,Household Buyer - Former Owner-Occupier,
12703,P51,8,2010,New,Household Buyer - Non-Occupier,289425.0
13260,P51,8,2010,Existing,All Buyer Types,117042.0
13261,P51,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,121917.0
13262,P51,8,2010,Existing,Household Buyer - Former Owner-Occupier,127600.0
13263,P51,8,2010,Existing,Household Buyer - Non-Occupier,35000.0
13820,P51,9,2010,All Dwelling Statuses,All Buyer Types,182313.0
13821,P51,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,195308.0
13822,P51,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,160942.0
13823,P51,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,77500.0
14380,P51,9,2010,New,All Buyer Types,219032.0
14381,P51,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,219434.0
14382,P51,9,2010,New,Household Buyer - Former Owner-Occupier,217825.0
14383,P51,9,2010,New,Household Buyer - Non-Occupier,
14940,P51,9,2010,Existing,All Buyer Types,171015.0
14941,P51,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,188070.0
14942,P51,9,2010,Existing,Household Buyer - Former Owner-Occupier,132500.0
14943,P51,9,2010,Existing,Household Buyer - Non-Occupier,77500.0
15500,P51,10,2010,All Dwelling Statuses,All Buyer Types,180514.0
15501,P51,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,198143.0
15502,P51,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,206081.0
15503,P51,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,104700.0
16060,P51,10,2010,New,All Buyer Types,235802.0
16061,P51,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,157500.0
16062,P51,10,2010,New,Household Buyer - Former Owner-Occupier,274953.0
16063,P51,10,2010,New,Household Buyer - Non-Occupier,
16620,P51,10,2010,Existing,All Buyer Types,159781.0
16621,P51,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,214400.0
16622,P51,10,2010,Existing,Household Buyer - Former Owner-Occupier,160167.0
