,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
416,R21,1,2010,All Dwelling Statuses,All Buyer Types,
417,R21,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
418,R21,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
419,R21,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
976,R21,1,2010,New,All Buyer Types,
977,R21,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
978,R21,1,2010,New,Household Buyer - Former Owner-Occupier,
979,R21,1,2010,New,Household Buyer - Non-Occupier,
1536,R21,1,2010,Existing,All Buyer Types,
1537,R21,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1538,R21,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1539,R21,1,2010,Existing,Household Buyer - Non-Occupier,
2096,R21,2,2010,All Dwelling Statuses,All Buyer Types,192000.0
2097,R21,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,192000.0
2098,R21,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2099,R21,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2656,R21,2,2010,New,All Buyer Types,192000.0
2657,R21,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,192000.0
2658,R21,2,2010,New,Household Buyer - Former Owner-Occupier,
2659,R21,2,2010,New,Household Buyer - Non-Occupier,
3216,R21,2,2010,Existing,All Buyer Types,
3217,R21,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3218,R21,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3219,R21,2,2010,Existing,Household Buyer - Non-Occupier,
3776,R21,3,2010,All Dwelling Statuses,All Buyer Types,
3777,R21,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3778,R21,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3779,R21,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4336,R21,3,2010,New,All Buyer Types,
4337,R21,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4338,R21,3,2010,New,Household Buyer - Former Owner-Occupier,
4339,R21,3,2010,New,Household Buyer - Non-Occupier,
4896,R21,3,2010,Existing,All Buyer Types,
4897,R21,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4898,R21,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4899,R21,3,2010,Existing,Household Buyer - Non-Occupier,
5456,R21,4,2010,All Dwelling Statuses,All Buyer Types,
5457,R21,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5458,R21,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5459,R21,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6016,R21,4,2010,New,All Buyer Types,
6017,R21,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6018,R21,4,2010,New,Household Buyer - Former Owner-Occupier,
6019,R21,4,2010,New,Household Buyer - Non-Occupier,
6576,R21,4,2010,Existing,All Buyer Types,
6577,R21,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6578,R21,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6579,R21,4,2010,Existing,Household Buyer - Non-Occupier,
7136,R21,5,2010,All Dwelling Statuses,All Buyer Types,
7137,R21,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
7138,R21,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
7139,R21,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7696,R21,5,2010,New,All Buyer Types,
7697,R21,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7698,R21,5,2010,New,Household Buyer - Former Owner-Occupier,
