,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
356,P25,1,2010,All Dwelling Statuses,All Buyer Types,283143.0
357,P25,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,291250.0
358,P25,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,272333.0
359,P25,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
916,P25,1,2010,New,All Buyer Types,340500.0
917,P25,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,340500.0
918,P25,1,2010,New,Household Buyer - Former Owner-Occupier,
919,P25,1,2010,New,Household Buyer - Non-Occupier,
1476,P25,1,2010,Existing,All Buyer Types,260200.0
1477,P25,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,242000.0
1478,P25,1,2010,Existing,Household Buyer - Former Owner-Occupier,272333.0
1479,P25,1,2010,Existing,Household Buyer - Non-Occupier,
2036,P25,2,2010,All Dwelling Statuses,All Buyer Types,204315.0
2037,P25,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,178539.0
2038,P25,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,291750.0
2039,P25,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,35000.0
2596,P25,2,2010,New,All Buyer Types,189388.0
2597,P25,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,73775.0
2598,P25,2,2010,New,Household Buyer - Former Owner-Occupier,305000.0
2599,P25,2,2010,New,Household Buyer - Non-Occupier,
3156,P25,2,2010,Existing,All Buyer Types,207300.0
3157,P25,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,196000.0
3158,P25,2,2010,Existing,Household Buyer - Former Owner-Occupier,287333.0
3159,P25,2,2010,Existing,Household Buyer - Non-Occupier,35000.0
3716,P25,3,2010,All Dwelling Statuses,All Buyer Types,228945.0
3717,P25,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,221250.0
3718,P25,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,259725.0
3719,P25,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4276,P25,3,2010,New,All Buyer Types,232363.0
4277,P25,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
4278,P25,3,2010,New,Household Buyer - Former Owner-Occupier,259725.0
4279,P25,3,2010,New,Household Buyer - Non-Occupier,
4836,P25,3,2010,Existing,All Buyer Types,226667.0
4837,P25,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,226667.0
4838,P25,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4839,P25,3,2010,Existing,Household Buyer - Non-Occupier,
5396,P25,4,2010,All Dwelling Statuses,All Buyer Types,225225.0
5397,P25,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,207000.0
5398,P25,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,269850.0
5399,P25,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,75000.0
5956,P25,4,2010,New,All Buyer Types,259999.0
5957,P25,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,259999.0
5958,P25,4,2010,New,Household Buyer - Former Owner-Occupier,
5959,P25,4,2010,New,Household Buyer - Non-Occupier,
6516,P25,4,2010,Existing,All Buyer Types,221361.0
6517,P25,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,189333.0
6518,P25,4,2010,Existing,Household Buyer - Former Owner-Occupier,269850.0
6519,P25,4,2010,Existing,Household Buyer - Non-Occupier,75000.0
7076,P25,5,2010,All Dwelling Statuses,All Buyer Types,215944.0
7077,P25,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,219143.0
7078,P25,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,250220.0
7079,P25,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,125000.0
7636,P25,5,2010,New,All Buyer Types,239907.0
7637,P25,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,234750.0
7638,P25,5,2010,New,Household Buyer - Former Owner-Occupier,250220.0
7639,P25,5,2010,New,Household Buyer - Non-Occupier,
8196,P25,5,2010,Existing,All Buyer Types,180000.0
8197,P25,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,198333.0
8198,P25,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8199,P25,5,2010,Existing,Household Buyer - Non-Occupier,125000.0
8756,P25,6,2010,All Dwelling Statuses,All Buyer Types,267713.0
8757,P25,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,255753.0
8758,P25,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,252850.0
8759,P25,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,375000.0
9316,P25,6,2010,New,All Buyer Types,248971.0
9317,P25,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,271507.0
9318,P25,6,2010,New,Household Buyer - Former Owner-Occupier,203900.0
9319,P25,6,2010,New,Household Buyer - Non-Occupier,
9876,P25,6,2010,Existing,All Buyer Types,277083.0
9877,P25,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,240000.0
9878,P25,6,2010,Existing,Household Buyer - Former Owner-Occupier,269167.0
9879,P25,6,2010,Existing,Household Buyer - Non-Occupier,375000.0
10436,P25,7,2010,All Dwelling Statuses,All Buyer Types,192468.0
10437,P25,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,209182.0
10438,P25,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,209400.0
10439,P25,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,83500.0
10996,P25,7,2010,New,All Buyer Types,191074.0
10997,P25,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,188542.0
10998,P25,7,2010,New,Household Buyer - Former Owner-Occupier,201201.0
10999,P25,7,2010,New,Household Buyer - Non-Occupier,
11556,P25,7,2010,Existing,All Buyer Types,193165.0
11557,P25,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,222941.0
11558,P25,7,2010,Existing,Household Buyer - Former Owner-Occupier,213500.0
11559,P25,7,2010,Existing,Household Buyer - Non-Occupier,83500.0
12116,P25,8,2010,All Dwelling Statuses,All Buyer Types,211900.0
