,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
392,P67,1,2010,All Dwelling Statuses,All Buyer Types,209528.0
393,P67,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
394,P67,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,219055.0
395,P67,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,200000.0
952,P67,1,2010,New,All Buyer Types,219055.0
953,P67,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
954,P67,1,2010,New,Household Buyer - Former Owner-Occupier,219055.0
955,P67,1,2010,New,Household Buyer - Non-Occupier,
1512,P67,1,2010,Existing,All Buyer Types,200000.0
1513,P67,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1514,P67,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1515,P67,1,2010,Existing,Household Buyer - Non-Occupier,200000.0
2072,P67,2,2010,All Dwelling Statuses,All Buyer Types,204448.0
2073,P67,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,189405.0
2074,P67,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,227013.0
2075,P67,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2632,P67,2,2010,New,All Buyer Types,203060.0
2633,P67,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,189405.0
2634,P67,2,2010,New,Household Buyer - Former Owner-Occupier,244025.0
2635,P67,2,2010,New,Household Buyer - Non-Occupier,
3192,P67,2,2010,Existing,All Buyer Types,210000.0
3193,P67,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3194,P67,2,2010,Existing,Household Buyer - Former Owner-Occupier,210000.0
3195,P67,2,2010,Existing,Household Buyer - Non-Occupier,
3752,P67,3,2010,All Dwelling Statuses,All Buyer Types,154045.0
3753,P67,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3754,P67,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,265590.0
3755,P67,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,42500.0
4312,P67,3,2010,New,All Buyer Types,265590.0
4313,P67,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4314,P67,3,2010,New,Household Buyer - Former Owner-Occupier,265590.0
4315,P67,3,2010,New,Household Buyer - Non-Occupier,
4872,P67,3,2010,Existing,All Buyer Types,42500.0
