,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
264,H18,1,2010,All Dwelling Statuses,All Buyer Types,
265,H18,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
266,H18,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
267,H18,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
824,H18,1,2010,New,All Buyer Types,
825,H18,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
826,H18,1,2010,New,Household Buyer - Former Owner-Occupier,
827,H18,1,2010,New,Household Buyer - Non-Occupier,
1384,H18,1,2010,Existing,All Buyer Types,
1385,H18,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1386,H18,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1387,H18,1,2010,Existing,Household Buyer - Non-Occupier,
1944,H18,2,2010,All Dwelling Statuses,All Buyer Types,289425.0
1945,H18,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,289425.0
1946,H18,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1947,H18,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2504,H18,2,2010,New,All Buyer Types,289425.0
2505,H18,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,289425.0
2506,H18,2,2010,New,Household Buyer - Former Owner-Occupier,
2507,H18,2,2010,New,Household Buyer - Non-Occupier,
3064,H18,2,2010,Existing,All Buyer Types,
3065,H18,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3066,H18,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3067,H18,2,2010,Existing,Household Buyer - Non-Occupier,
3624,H18,3,2010,All Dwelling Statuses,All Buyer Types,174633.0
3625,H18,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,186667.0
3626,H18,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,208900.0
3627,H18,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,70000.0
4184,H18,3,2010,New,All Buyer Types,208900.0
4185,H18,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4186,H18,3,2010,New,Household Buyer - Former Owner-Occupier,208900.0
4187,H18,3,2010,New,Household Buyer - Non-Occupier,
4744,H18,3,2010,Existing,All Buyer Types,157500.0
4745,H18,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,186667.0
4746,H18,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4747,H18,3,2010,Existing,Household Buyer - Non-Occupier,70000.0
5304,H18,4,2010,All Dwelling Statuses,All Buyer Types,190125.0
5305,H18,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,153500.0
5306,H18,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,300000.0
5307,H18,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5864,H18,4,2010,New,All Buyer Types,213500.0
5865,H18,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,170250.0
5866,H18,4,2010,New,Household Buyer - Former Owner-Occupier,300000.0
5867,H18,4,2010,New,Household Buyer - Non-Occupier,
6424,H18,4,2010,Existing,All Buyer Types,120000.0
6425,H18,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,120000.0
6426,H18,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6427,H18,4,2010,Existing,Household Buyer - Non-Occupier,
6984,H18,5,2010,All Dwelling Statuses,All Buyer Types,175500.0
6985,H18,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
6986,H18,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,156000.0
6987,H18,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7544,H18,5,2010,New,All Buyer Types,156000.0
7545,H18,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7546,H18,5,2010,New,Household Buyer - Former Owner-Occupier,156000.0
7547,H18,5,2010,New,Household Buyer - Non-Occupier,
8104,H18,5,2010,Existing,All Buyer Types,195000.0
8105,H18,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
8106,H18,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8107,H18,5,2010,Existing,Household Buyer - Non-Occupier,
8664,H18,6,2010,All Dwelling Statuses,All Buyer Types,186267.0
8665,H18,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187637.0
8666,H18,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,217500.0
8667,H18,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,116950.0
9224,H18,6,2010,New,All Buyer Types,179394.0
9225,H18,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,179394.0
