,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
520,W34,1,2010,All Dwelling Statuses,All Buyer Types,
521,W34,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
522,W34,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
523,W34,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1080,W34,1,2010,New,All Buyer Types,
1081,W34,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1082,W34,1,2010,New,Household Buyer - Former Owner-Occupier,
1083,W34,1,2010,New,Household Buyer - Non-Occupier,
1640,W34,1,2010,Existing,All Buyer Types,
1641,W34,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1642,W34,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1643,W34,1,2010,Existing,Household Buyer - Non-Occupier,
2200,W34,2,2010,All Dwelling Statuses,All Buyer Types,253983.0
2201,W34,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,323475.0
2202,W34,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,115000.0
2203,W34,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2760,W34,2,2010,New,All Buyer Types,323475.0
2761,W34,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,323475.0
2762,W34,2,2010,New,Household Buyer - Former Owner-Occupier,
2763,W34,2,2010,New,Household Buyer - Non-Occupier,
3320,W34,2,2010,Existing,All Buyer Types,115000.0
3321,W34,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3322,W34,2,2010,Existing,Household Buyer - Former Owner-Occupier,115000.0
3323,W34,2,2010,Existing,Household Buyer - Non-Occupier,
3880,W34,3,2010,All Dwelling Statuses,All Buyer Types,300775.0
3881,W34,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,300775.0
3882,W34,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3883,W34,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4440,W34,3,2010,New,All Buyer Types,300775.0
4441,W34,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,300775.0
4442,W34,3,2010,New,Household Buyer - Former Owner-Occupier,
4443,W34,3,2010,New,Household Buyer - Non-Occupier,
5000,W34,3,2010,Existing,All Buyer Types,
5001,W34,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
5002,W34,3,2010,Existing,Household Buyer - Former Owner-Occupier,
5003,W34,3,2010,Existing,Household Buyer - Non-Occupier,
5560,W34,4,2010,All Dwelling Statuses,All Buyer Types,223754.0
5561,W34,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,264543.0
5562,W34,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,162570.0
5563,W34,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6120,W34,4,2010,New,All Buyer Types,233942.0
6121,W34,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,305315.0
6122,W34,4,2010,New,Household Buyer - Former Owner-Occupier,162570.0
6123,W34,4,2010,New,Household Buyer - Non-Occupier,
6680,W34,4,2010,Existing,All Buyer Types,183000.0
6681,W34,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,183000.0
6682,W34,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6683,W34,4,2010,Existing,Household Buyer - Non-Occupier,
7240,W34,5,2010,All Dwelling Statuses,All Buyer Types,259460.0
7241,W34,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,312125.0
