,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
336,N91,1,2010,All Dwelling Statuses,All Buyer Types,223216.0
337,N91,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,174166.0
338,N91,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,282662.0
339,N91,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,91000.0
896,N91,1,2010,New,All Buyer Types,338615.0
897,N91,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,200163.0
898,N91,1,2010,New,Household Buyer - Former Owner-Occupier,384765.0
899,N91,1,2010,New,Household Buyer - Non-Occupier,
1456,N91,1,2010,Existing,All Buyer Types,184750.0
1457,N91,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,169833.0
1458,N91,1,2010,Existing,Household Buyer - Former Owner-Occupier,221400.0
1459,N91,1,2010,Existing,Household Buyer - Non-Occupier,91000.0
2016,N91,2,2010,All Dwelling Statuses,All Buyer Types,169764.0
2017,N91,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,169128.0
2018,N91,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170582.0
2019,N91,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2576,N91,2,2010,New,All Buyer Types,200408.0
2577,N91,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,225577.0
2578,N91,2,2010,New,Household Buyer - Former Owner-Occupier,150072.0
2579,N91,2,2010,New,Household Buyer - Non-Occupier,
3136,N91,2,2010,Existing,All Buyer Types,162692.0
3137,N91,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,153000.0
3138,N91,2,2010,Existing,Household Buyer - Former Owner-Occupier,174000.0
3139,N91,2,2010,Existing,Household Buyer - Non-Occupier,
3696,N91,3,2010,All Dwelling Statuses,All Buyer Types,134385.0
3697,N91,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,151231.0
3698,N91,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,129400.0
3699,N91,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,109000.0
4256,N91,3,2010,New,All Buyer Types,150128.0
4257,N91,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,170384.0
4258,N91,3,2010,New,Household Buyer - Former Owner-Occupier,
4259,N91,3,2010,New,Household Buyer - Non-Occupier,140000.0
4816,N91,3,2010,Existing,All Buyer Types,130091.0
4817,N91,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,147400.0
4818,N91,3,2010,Existing,Household Buyer - Former Owner-Occupier,129400.0
4819,N91,3,2010,Existing,Household Buyer - Non-Occupier,47000.0
5376,N91,4,2010,All Dwelling Statuses,All Buyer Types,154160.0
5377,N91,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,178637.0
5378,N91,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,155167.0
5379,N91,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,104000.0
5936,N91,4,2010,New,All Buyer Types,122574.0
5937,N91,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,183870.0
5938,N91,4,2010,New,Household Buyer - Former Owner-Occupier,159000.0
5939,N91,4,2010,New,Household Buyer - Non-Occupier,90000.0
6496,N91,4,2010,Existing,All Buyer Types,164031.0
6497,N91,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,178056.0
6498,N91,4,2010,Existing,Household Buyer - Former Owner-Occupier,154400.0
6499,N91,4,2010,Existing,Household Buyer - Non-Occupier,125000.0
7056,N91,5,2010,All Dwelling Statuses,All Buyer Types,178795.0
7057,N91,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,164081.0
7058,N91,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,200866.0
7059,N91,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7616,N91,5,2010,New,All Buyer Types,157973.0
7617,N91,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,151863.0
7618,N91,5,2010,New,Household Buyer - Former Owner-Occupier,170193.0
7619,N91,5,2010,New,Household Buyer - Non-Occupier,
8176,N91,5,2010,Existing,All Buyer Types,184000.0
8177,N91,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,167571.0
