Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
N39,Longford,1,2010,All Dwelling Statuses,All Buyer Types,138476.0
N39,Longford,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,172380.0
N39,Longford,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170000.0
N39,Longford,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,116667.0
N39,Longford,1,2010,New,All Buyer Types,140793.0
N39,Longford,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,172380.0
N39,Longford,1,2010,New,Household Buyer - Former Owner-Occupier,170000.0
N39,Longford,1,2010,New,Household Buyer - Non-Occupier,80000.0
N39,Longford,1,2010,Existing,All Buyer Types,135000.0
N39,Longford,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
N39,Longford,1,2010,Existing,Household Buyer - Former Owner-Occupier,
N39,Longford,1,2010,Existing,Household Buyer - Non-Occupier,135000.0
N39,Longford,2,2010,All Dwelling Statuses,All Buyer Types,155531.0
N39,Longford,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,202333.0
N39,Longford,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,154360.0
N39,Longford,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,86500.0
N39,Longford,2,2010,New,All Buyer Types,136240.0
N39,Longford,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
N39,Longford,2,2010,New,Household Buyer - Former Owner-Occupier,154360.0
N39,Longford,2,2010,New,Household Buyer - Non-Occupier,100000.0
N39,Longford,2,2010,Existing,All Buyer Types,170000.0
N39,Longford,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,202333.0
N39,Longford,2,2010,Existing,Household Buyer - Former Owner-Occupier,
N39,Longford,2,2010,Existing,Household Buyer - Non-Occupier,73000.0
N39,Longford,3,2010,All Dwelling Statuses,All Buyer Types,155605.0
N39,Longford,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,174031.0
N39,Longford,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,177867.0
N39,Longford,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,120483.0
N39,Longford,3,2010,New,All Buyer Types,196931.0
N39,Longford,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,194312.0
N39,Longford,3,2010,New,Household Buyer - Former Owner-Occupier,204300.0
N39,Longford,3,2010,New,Household Buyer - Non-Occupier,187430.0
N39,Longford,3,2010,Existing,All Buyer Types,121167.0
N39,Longford,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,153750.0
N39,Longford,3,2010,Existing,Household Buyer - Former Owner-Occupier,125000.0
N39,Longford,3,2010,Existing,Household Buyer - Non-Occupier,98167.0
N39,Longford,4,2010,All Dwelling Statuses,All Buyer Types,152515.0
N39,Longford,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,242000.0
N39,Longford,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,173872.0
N39,Longford,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,108642.0
N39,Longford,4,2010,New,All Buyer Types,174621.0
N39,Longford,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
N39,Longford,4,2010,New,Household Buyer - Former Owner-Occupier,236366.0
N39,Longford,4,2010,New,Household Buyer - Non-Occupier,143749.0
N39,Longford,4,2010,Existing,All Buyer Types,137778.0
N39,Longford,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,242000.0
N39,Longford,4,2010,Existing,Household Buyer - Former Owner-Occupier,142625.0
N39,Longford,4,2010,Existing,Household Buyer - Non-Occupier,61833.0
N39,Longford,5,2010,All Dwelling Statuses,All Buyer Types,91167.0
N39,Longford,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,107625.0
N39,Longford,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
N39,Longford,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,58250.0
N39,Longford,5,2010,New,All Buyer Types,125000.0
N39,Longford,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,125000.0
N39,Longford,5,2010,New,Household Buyer - Former Owner-Occupier,
N39,Longford,5,2010,New,Household Buyer - Non-Occupier,
N39,Longford,5,2010,Existing,All Buyer Types,84400.0
N39,Longford,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,101833.0
N39,Longford,5,2010,Existing,Household Buyer - Former Owner-Occupier,
N39,Longford,5,2010,Existing,Household Buyer - Non-Occupier,58250.0
N39,Longford,6,2010,All Dwelling Statuses,All Buyer Types,172703.0
