,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
524,W91,1,2010,All Dwelling Statuses,All Buyer Types,308989.0
525,W91,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,252505.0
526,W91,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,366218.0
527,W91,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,335000.0
1084,W91,1,2010,New,All Buyer Types,228419.0
1085,W91,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,294533.0
1086,W91,1,2010,New,Household Buyer - Former Owner-Occupier,162305.0
1087,W91,1,2010,New,Household Buyer - Non-Occupier,
1644,W91,1,2010,Existing,All Buyer Types,321385.0
1645,W91,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,245500.0
1646,W91,1,2010,Existing,Household Buyer - Former Owner-Occupier,407000.0
1647,W91,1,2010,Existing,Household Buyer - Non-Occupier,335000.0
2204,W91,2,2010,All Dwelling Statuses,All Buyer Types,225465.0
2205,W91,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,217367.0
2206,W91,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,246779.0
2207,W91,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150000.0
2764,W91,2,2010,New,All Buyer Types,244949.0
2765,W91,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,252993.0
2766,W91,2,2010,New,Household Buyer - Former Owner-Occupier,250048.0
2767,W91,2,2010,New,Household Buyer - Non-Occupier,150000.0
3324,W91,2,2010,Existing,All Buyer Types,202985.0
3325,W91,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,185700.0
3326,W91,2,2010,Existing,Household Buyer - Former Owner-Occupier,241875.0
3327,W91,2,2010,Existing,Household Buyer - Non-Occupier,
3884,W91,3,2010,All Dwelling Statuses,All Buyer Types,274651.0
3885,W91,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,220133.0
3886,W91,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,396522.0
3887,W91,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,226501.0
4444,W91,3,2010,New,All Buyer Types,241853.0
4445,W91,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,199140.0
4446,W91,3,2010,New,Household Buyer - Former Owner-Occupier,341794.0
4447,W91,3,2010,New,Household Buyer - Non-Occupier,226501.0
5004,W91,3,2010,Existing,All Buyer Types,312917.0
5005,W91,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,243750.0
5006,W91,3,2010,Existing,Household Buyer - Former Owner-Occupier,451250.0
5007,W91,3,2010,Existing,Household Buyer - Non-Occupier,
5564,W91,4,2010,All Dwelling Statuses,All Buyer Types,255677.0
5565,W91,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,239537.0
5566,W91,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,294875.0
5567,W91,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6124,W91,4,2010,New,All Buyer Types,245750.0
6125,W91,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,277021.0
6126,W91,4,2010,New,Household Buyer - Former Owner-Occupier,198844.0
6127,W91,4,2010,New,Household Buyer - Non-Occupier,
6684,W91,4,2010,Existing,All Buyer Types,262768.0
6685,W91,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,219091.0
6686,W91,4,2010,Existing,Household Buyer - Former Owner-Occupier,422917.0
6687,W91,4,2010,Existing,Household Buyer - Non-Occupier,
7244,W91,5,2010,All Dwelling Statuses,All Buyer Types,252443.0
7245,W91,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,253269.0
7246,W91,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,250791.0
7247,W91,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7804,W91,5,2010,New,All Buyer Types,242103.0
7805,W91,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,229544.0
7806,W91,5,2010,New,Household Buyer - Former Owner-Occupier,264081.0
7807,W91,5,2010,New,Household Buyer - Non-Occupier,
8364,W91,5,2010,Existing,All Buyer Types,261192.0
8365,W91,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,271722.0
8366,W91,5,2010,Existing,Household Buyer - Former Owner-Occupier,237500.0
8367,W91,5,2010,Existing,Household Buyer - Non-Occupier,
8924,W91,6,2010,All Dwelling Statuses,All Buyer Types,282769.0
8925,W91,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,223087.0
8926,W91,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,415397.0
8927,W91,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9484,W91,6,2010,New,All Buyer Types,246431.0
9485,W91,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,188155.0
9486,W91,6,2010,New,Household Buyer - Former Owner-Occupier,479538.0
9487,W91,6,2010,New,Household Buyer - Non-Occupier,
10044,W91,6,2010,Existing,All Buyer Types,301895.0
10045,W91,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,246375.0
10046,W91,6,2010,Existing,Household Buyer - Former Owner-Occupier,397071.0
10047,W91,6,2010,Existing,Household Buyer - Non-Occupier,
10604,W91,7,2010,All Dwelling Statuses,All Buyer Types,236981.0
10605,W91,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,228550.0
10606,W91,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,257536.0
10607,W91,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,160000.0
11164,W91,7,2010,New,All Buyer Types,259151.0
11165,W91,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,270257.0
11166,W91,7,2010,New,Household Buyer - Former Owner-Occupier,233237.0
11167,W91,7,2010,New,Household Buyer - Non-Occupier,
11724,W91,7,2010,Existing,All Buyer Types,229592.0
11725,W91,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,212331.0
11726,W91,7,2010,Existing,Household Buyer - Former Owner-Occupier,264164.0
11727,W91,7,2010,Existing,Household Buyer - Non-Occupier,160000.0
12284,W91,8,2010,All Dwelling Statuses,All Buyer Types,265089.0
12285,W91,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,278602.0
12286,W91,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,258718.0
12287,W91,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,165000.0
12844,W91,8,2010,New,All Buyer Types,178868.0
12845,W91,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,185809.0
12846,W91,8,2010,New,Household Buyer - Former Owner-Occupier,167300.0
12847,W91,8,2010,New,Household Buyer - Non-Occupier,
13404,W91,8,2010,Existing,All Buyer Types,292680.0
13405,W91,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,309533.0
13406,W91,8,2010,Existing,Household Buyer - Former Owner-Occupier,293000.0
13407,W91,8,2010,Existing,Household Buyer - Non-Occupier,165000.0
13964,W91,9,2010,All Dwelling Statuses,All Buyer Types,250269.0
13965,W91,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,269423.0
13966,W91,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,253347.0
13967,W91,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121500.0
14524,W91,9,2010,New,All Buyer Types,252640.0
14525,W91,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,234358.0
14526,W91,9,2010,New,Household Buyer - Former Owner-Occupier,280062.0
14527,W91,9,2010,New,Household Buyer - Non-Occupier,
15084,W91,9,2010,Existing,All Buyer Types,249611.0
15085,W91,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,281111.0
15086,W91,9,2010,Existing,Household Buyer - Former Owner-Occupier,245714.0
15087,W91,9,2010,Existing,Household Buyer - Non-Occupier,121500.0
15644,W91,10,2010,All Dwelling Statuses,All Buyer Types,239621.0
15645,W91,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,216490.0
15646,W91,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,262378.0
15647,W91,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,209842.0
16204,W91,10,2010,New,All Buyer Types,215039.0
16205,W91,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,208602.0
16206,W91,10,2010,New,Household Buyer - Former Owner-Occupier,260483.0
16207,W91,10,2010,New,Household Buyer - Non-Occupier,137025.0
16764,W91,10,2010,Existing,All Buyer Types,250795.0
16765,W91,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,222800.0
16766,W91,10,2010,Existing,Household Buyer - Former Owner-Occupier,262962.0
16767,W91,10,2010,Existing,Household Buyer - Non-Occupier,246250.0
17324,W91,11,2010,All Dwelling Statuses,All Buyer Types,257937.0
17325,W91,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,226778.0
17326,W91,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,280655.0
17327,W91,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,430000.0
17884,W91,11,2010,New,All Buyer Types,224557.0
17885,W91,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,228963.0
17886,W91,11,2010,New,Household Buyer - Former Owner-Occupier,211337.0
17887,W91,11,2010,New,Household Buyer - Non-Occupier,
18444,W91,11,2010,Existing,All Buyer Types,281500.0
18445,W91,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,223500.0
18446,W91,11,2010,Existing,Household Buyer - Former Owner-Occupier,301450.0
18447,W91,11,2010,Existing,Household Buyer - Non-Occupier,430000.0
19004,W91,12,2010,All Dwelling Statuses,All Buyer Types,229854.0
19005,W91,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,218633.0
19006,W91,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,272986.0
19007,W91,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135283.0
19564,W91,12,2010,New,All Buyer Types,203602.0
19565,W91,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,209096.0
19566,W91,12,2010,New,Household Buyer - Former Owner-Occupier,442000.0
19567,W91,12,2010,New,Household Buyer - Non-Occupier,62425.0
20124,W91,12,2010,Existing,All Buyer Types,244293.0
20125,W91,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,227111.0
20126,W91,12,2010,Existing,Household Buyer - Former Owner-Occupier,256085.0
20127,W91,12,2010,Existing,Household Buyer - Non-Occupier,281000.0
20684,W91,1,2011,All Dwelling Statuses,All Buyer Types,539824.0
20685,W91,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,753732.0
20686,W91,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,337100.0
20687,W91,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,270000.0
21244,W91,1,2011,New,All Buyer Types,291695.0
21245,W91,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,291695.0
21246,W91,1,2011,New,Household Buyer - Former Owner-Occupier,
21247,W91,1,2011,New,Household Buyer - Non-Occupier,
21804,W91,1,2011,Existing,All Buyer Types,589450.0
21805,W91,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,984750.0
21806,W91,1,2011,Existing,Household Buyer - Former Owner-Occupier,337100.0
21807,W91,1,2011,Existing,Household Buyer - Non-Occupier,270000.0
22364,W91,2,2011,All Dwelling Statuses,All Buyer Types,314432.0
22365,W91,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,286794.0
22366,W91,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,335928.0
22367,W91,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
22924,W91,2,2011,New,All Buyer Types,290488.0
22925,W91,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,281852.0
22926,W91,2,2011,New,Household Buyer - Former Owner-Occupier,295670.0
22927,W91,2,2011,New,Household Buyer - Non-Occupier,
23484,W91,2,2011,Existing,All Buyer Types,338375.0
23485,W91,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,290500.0
23486,W91,2,2011,Existing,Household Buyer - Former Owner-Occupier,386250.0
23487,W91,2,2011,Existing,Household Buyer - Non-Occupier,
24044,W91,3,2011,All Dwelling Statuses,All Buyer Types,169041.0
24045,W91,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,181750.0
24046,W91,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,177406.0
24047,W91,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,110000.0
24604,W91,3,2011,New,All Buyer Types,210016.0
24605,W91,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
24606,W91,3,2011,New,Household Buyer - Former Owner-Occupier,250032.0
24607,W91,3,2011,New,Household Buyer - Non-Occupier,
25164,W91,3,2011,Existing,All Buyer Types,161591.0
25165,W91,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,184100.0
25166,W91,3,2011,Existing,Household Buyer - Former Owner-Occupier,159250.0
25167,W91,3,2011,Existing,Household Buyer - Non-Occupier,110000.0
