,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
72,C15,1,2010,All Dwelling Statuses,All Buyer Types,201554.0
73,C15,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,198831.0
74,C15,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,207000.0
75,C15,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
632,C15,1,2010,New,All Buyer Types,235937.0
633,C15,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,211406.0
634,C15,1,2010,New,Household Buyer - Former Owner-Occupier,285001.0
635,C15,1,2010,New,Household Buyer - Non-Occupier,
1192,C15,1,2010,Existing,All Buyer Types,192958.0
1193,C15,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195688.0
1194,C15,1,2010,Existing,Household Buyer - Former Owner-Occupier,187500.0
1195,C15,1,2010,Existing,Household Buyer - Non-Occupier,
1752,C15,2,2010,All Dwelling Statuses,All Buyer Types,213864.0
1753,C15,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,206592.0
1754,C15,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,231175.0
1755,C15,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,190000.0
2312,C15,2,2010,New,All Buyer Types,253086.0
2313,C15,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,237754.0
2314,C15,2,2010,New,Household Buyer - Former Owner-Occupier,283750.0
2315,C15,2,2010,New,Household Buyer - Non-Occupier,
2872,C15,2,2010,Existing,All Buyer Types,206020.0
2873,C15,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,199667.0
2874,C15,2,2010,Existing,Household Buyer - Former Owner-Occupier,220660.0
2875,C15,2,2010,Existing,Household Buyer - Non-Occupier,190000.0
3432,C15,3,2010,All Dwelling Statuses,All Buyer Types,243148.0
3433,C15,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,197514.0
3434,C15,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,352670.0
3435,C15,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3992,C15,3,2010,New,All Buyer Types,276420.0
3993,C15,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,223041.0
3994,C15,3,2010,New,Household Buyer - Former Owner-Occupier,383176.0
3995,C15,3,2010,New,Household Buyer - Non-Occupier,
4552,C15,3,2010,Existing,All Buyer Types,225000.0
