,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
184,E45,1,2010,All Dwelling Statuses,All Buyer Types,169200.0
185,E45,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,107000.0
186,E45,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,385000.0
187,E45,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,140000.0
744,E45,1,2010,New,All Buyer Types,
745,E45,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
746,E45,1,2010,New,Household Buyer - Former Owner-Occupier,
747,E45,1,2010,New,Household Buyer - Non-Occupier,
1304,E45,1,2010,Existing,All Buyer Types,169200.0
1305,E45,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,107000.0
1306,E45,1,2010,Existing,Household Buyer - Former Owner-Occupier,385000.0
1307,E45,1,2010,Existing,Household Buyer - Non-Occupier,140000.0
1864,E45,2,2010,All Dwelling Statuses,All Buyer Types,207986.0
1865,E45,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213981.0
1866,E45,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,111000.0
1867,E45,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,275000.0
2424,E45,2,2010,New,All Buyer Types,230981.0
2425,E45,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,219976.0
2426,E45,2,2010,New,Household Buyer - Former Owner-Occupier,
2427,E45,2,2010,New,Household Buyer - Non-Occupier,275000.0
2984,E45,2,2010,Existing,All Buyer Types,150500.0
2985,E45,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
2986,E45,2,2010,Existing,Household Buyer - Former Owner-Occupier,111000.0
2987,E45,2,2010,Existing,Household Buyer - Non-Occupier,
3544,E45,3,2010,All Dwelling Statuses,All Buyer Types,176083.0
3545,E45,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,222167.0
3546,E45,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,115000.0
3547,E45,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,137500.0
4104,E45,3,2010,New,All Buyer Types,234250.0
4105,E45,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,238500.0
4106,E45,3,2010,New,Household Buyer - Former Owner-Occupier,
4107,E45,3,2010,New,Household Buyer - Non-Occupier,230000.0
4664,E45,3,2010,Existing,All Buyer Types,147000.0
4665,E45,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,214000.0
4666,E45,3,2010,Existing,Household Buyer - Former Owner-Occupier,115000.0
4667,E45,3,2010,Existing,Household Buyer - Non-Occupier,45000.0
5224,E45,4,2010,All Dwelling Statuses,All Buyer Types,164978.0
5225,E45,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,188888.0
5226,E45,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,112000.0
5227,E45,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,300000.0
5784,E45,4,2010,New,All Buyer Types,
5785,E45,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5786,E45,4,2010,New,Household Buyer - Former Owner-Occupier,
5787,E45,4,2010,New,Household Buyer - Non-Occupier,
6344,E45,4,2010,Existing,All Buyer Types,164978.0
6345,E45,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,188888.0
6346,E45,4,2010,Existing,Household Buyer - Former Owner-Occupier,112000.0
6347,E45,4,2010,Existing,Household Buyer - Non-Occupier,300000.0
6904,E45,5,2010,All Dwelling Statuses,All Buyer Types,161500.0
6905,E45,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,161500.0
6906,E45,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
6907,E45,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7464,E45,5,2010,New,All Buyer Types,
7465,E45,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7466,E45,5,2010,New,Household Buyer - Former Owner-Occupier,
7467,E45,5,2010,New,Household Buyer - Non-Occupier,
8024,E45,5,2010,Existing,All Buyer Types,161500.0
8025,E45,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,161500.0
8026,E45,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8027,E45,5,2010,Existing,Household Buyer - Non-Occupier,
8584,E45,6,2010,All Dwelling Statuses,All Buyer Types,177029.0
8585,E45,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187500.0
8586,E45,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,200000.0
8587,E45,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150567.0
9144,E45,6,2010,New,All Buyer Types,
9145,E45,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9146,E45,6,2010,New,Household Buyer - Former Owner-Occupier,
9147,E45,6,2010,New,Household Buyer - Non-Occupier,
9704,E45,6,2010,Existing,All Buyer Types,177029.0
9705,E45,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,187500.0
9706,E45,6,2010,Existing,Household Buyer - Former Owner-Occupier,200000.0
9707,E45,6,2010,Existing,Household Buyer - Non-Occupier,150567.0
10264,E45,7,2010,All Dwelling Statuses,All Buyer Types,148097.0
10265,E45,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,143634.0
10266,E45,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,160000.0
10267,E45,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
10824,E45,7,2010,New,All Buyer Types,180023.0
10825,E45,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,180023.0
10826,E45,7,2010,New,Household Buyer - Former Owner-Occupier,
10827,E45,7,2010,New,Household Buyer - Non-Occupier,
11384,E45,7,2010,Existing,All Buyer Types,136125.0
11385,E45,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,121800.0
11386,E45,7,2010,Existing,Household Buyer - Former Owner-Occupier,160000.0
11387,E45,7,2010,Existing,Household Buyer - Non-Occupier,
11944,E45,8,2010,All Dwelling Statuses,All Buyer Types,164469.0
11945,E45,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,204150.0
11946,E45,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,82500.0
11947,E45,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,130000.0
12504,E45,8,2010,New,All Buyer Types,200375.0
12505,E45,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,200375.0
12506,E45,8,2010,New,Household Buyer - Former Owner-Occupier,
12507,E45,8,2010,New,Household Buyer - Non-Occupier,
13064,E45,8,2010,Existing,All Buyer Types,152500.0
13065,E45,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,206667.0
13066,E45,8,2010,Existing,Household Buyer - Former Owner-Occupier,82500.0
13067,E45,8,2010,Existing,Household Buyer - Non-Occupier,130000.0
13624,E45,9,2010,All Dwelling Statuses,All Buyer Types,176240.0
13625,E45,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,167277.0
13626,E45,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,205700.0
