,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
552,Y34,1,2010,All Dwelling Statuses,All Buyer Types,245000.0
553,Y34,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
554,Y34,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,245000.0
555,Y34,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1112,Y34,1,2010,New,All Buyer Types,
1113,Y34,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1114,Y34,1,2010,New,Household Buyer - Former Owner-Occupier,
1115,Y34,1,2010,New,Household Buyer - Non-Occupier,
1672,Y34,1,2010,Existing,All Buyer Types,245000.0
1673,Y34,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1674,Y34,1,2010,Existing,Household Buyer - Former Owner-Occupier,245000.0
1675,Y34,1,2010,Existing,Household Buyer - Non-Occupier,
2232,Y34,2,2010,All Dwelling Statuses,All Buyer Types,135000.0
2233,Y34,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
2234,Y34,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2235,Y34,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135000.0
2792,Y34,2,2010,New,All Buyer Types,
2793,Y34,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2794,Y34,2,2010,New,Household Buyer - Former Owner-Occupier,
2795,Y34,2,2010,New,Household Buyer - Non-Occupier,
3352,Y34,2,2010,Existing,All Buyer Types,135000.0
3353,Y34,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3354,Y34,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3355,Y34,2,2010,Existing,Household Buyer - Non-Occupier,135000.0
3912,Y34,3,2010,All Dwelling Statuses,All Buyer Types,244966.0
3913,Y34,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
3914,Y34,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,223574.0
3915,Y34,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,395500.0
4472,Y34,3,2010,New,All Buyer Types,246295.0
4473,Y34,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4474,Y34,3,2010,New,Household Buyer - Former Owner-Occupier,246295.0
4475,Y34,3,2010,New,Household Buyer - Non-Occupier,
5032,Y34,3,2010,Existing,All Buyer Types,244700.0
5033,Y34,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
5034,Y34,3,2010,Existing,Household Buyer - Former Owner-Occupier,216000.0
5035,Y34,3,2010,Existing,Household Buyer - Non-Occupier,395500.0
5592,Y34,4,2010,All Dwelling Statuses,All Buyer Types,137000.0
5593,Y34,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5594,Y34,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,137000.0
5595,Y34,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6152,Y34,4,2010,New,All Buyer Types,
6153,Y34,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6154,Y34,4,2010,New,Household Buyer - Former Owner-Occupier,
6155,Y34,4,2010,New,Household Buyer - Non-Occupier,
6712,Y34,4,2010,Existing,All Buyer Types,137000.0
6713,Y34,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6714,Y34,4,2010,Existing,Household Buyer - Former Owner-Occupier,137000.0
6715,Y34,4,2010,Existing,Household Buyer - Non-Occupier,
7272,Y34,5,2010,All Dwelling Statuses,All Buyer Types,146600.0
7273,Y34,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,229999.0
7274,Y34,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,159333.0
7275,Y34,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,25000.0
7832,Y34,5,2010,New,All Buyer Types,229999.0
7833,Y34,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,229999.0
7834,Y34,5,2010,New,Household Buyer - Former Owner-Occupier,
7835,Y34,5,2010,New,Household Buyer - Non-Occupier,
8392,Y34,5,2010,Existing,All Buyer Types,125750.0
8393,Y34,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8394,Y34,5,2010,Existing,Household Buyer - Former Owner-Occupier,159333.0
8395,Y34,5,2010,Existing,Household Buyer - Non-Occupier,25000.0
8952,Y34,6,2010,All Dwelling Statuses,All Buyer Types,183036.0
8953,Y34,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
8954,Y34,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,83125.0
8955,Y34,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,315000.0
9512,Y34,6,2010,New,All Buyer Types,300000.0
