,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
512,W12,1,2010,All Dwelling Statuses,All Buyer Types,298728.0
513,W12,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,217100.0
514,W12,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,358265.0
515,W12,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,365000.0
1072,W12,1,2010,New,All Buyer Types,319774.0
1073,W12,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,204300.0
1074,W12,1,2010,New,Household Buyer - Former Owner-Occupier,358265.0
1075,W12,1,2010,New,Household Buyer - Non-Occupier,
1632,W12,1,2010,Existing,All Buyer Types,270667.0
1633,W12,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,223500.0
1634,W12,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1635,W12,1,2010,Existing,Household Buyer - Non-Occupier,365000.0
2192,W12,2,2010,All Dwelling Statuses,All Buyer Types,251888.0
2193,W12,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,277018.0
2194,W12,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,176500.0
2195,W12,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2752,W12,2,2010,New,All Buyer Types,280777.0
2753,W12,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,324369.0
2754,W12,2,2010,New,Household Buyer - Former Owner-Occupier,150000.0
2755,W12,2,2010,New,Household Buyer - Non-Occupier,
3312,W12,2,2010,Existing,All Buyer Types,223000.0
3313,W12,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,229667.0
3314,W12,2,2010,Existing,Household Buyer - Former Owner-Occupier,203000.0
3315,W12,2,2010,Existing,Household Buyer - Non-Occupier,
3872,W12,3,2010,All Dwelling Statuses,All Buyer Types,215661.0
3873,W12,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,204129.0
3874,W12,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,411085.0
3875,W12,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,131509.0
4432,W12,3,2010,New,All Buyer Types,209584.0
4433,W12,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,197172.0
4434,W12,3,2010,New,Household Buyer - Former Owner-Occupier,555525.0
4435,W12,3,2010,New,Household Buyer - Non-Occupier,131509.0
4992,W12,3,2010,Existing,All Buyer Types,235411.0
4993,W12,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
4994,W12,3,2010,Existing,Household Buyer - Former Owner-Occupier,266645.0
4995,W12,3,2010,Existing,Household Buyer - Non-Occupier,
5552,W12,4,2010,All Dwelling Statuses,All Buyer Types,220738.0
5553,W12,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,199593.0
5554,W12,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,315494.0
5555,W12,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,158900.0
6112,W12,4,2010,New,All Buyer Types,215626.0
6113,W12,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,196626.0
6114,W12,4,2010,New,Household Buyer - Former Owner-Occupier,348488.0
6115,W12,4,2010,New,Household Buyer - Non-Occupier,158900.0
6672,W12,4,2010,Existing,All Buyer Types,232667.0
6673,W12,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,207750.0
6674,W12,4,2010,Existing,Household Buyer - Former Owner-Occupier,282500.0
6675,W12,4,2010,Existing,Household Buyer - Non-Occupier,
7232,W12,5,2010,All Dwelling Statuses,All Buyer Types,216875.0
7233,W12,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,240414.0
7234,W12,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,201234.0
7235,W12,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,114500.0
7792,W12,5,2010,New,All Buyer Types,204656.0
7793,W12,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,247455.0
7794,W12,5,2010,New,Household Buyer - Former Owner-Occupier,171328.0
7795,W12,5,2010,New,Household Buyer - Non-Occupier,114500.0
8352,W12,5,2010,Existing,All Buyer Types,246200.0
8353,W12,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,226333.0
8354,W12,5,2010,Existing,Household Buyer - Former Owner-Occupier,276000.0
8355,W12,5,2010,Existing,Household Buyer - Non-Occupier,
8912,W12,6,2010,All Dwelling Statuses,All Buyer Types,279640.0
8913,W12,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,311325.0
8914,W12,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,307935.0
8915,W12,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,156292.0
9472,W12,6,2010,New,All Buyer Types,307956.0
9473,W12,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,395231.0
