,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
492,V42,1,2010,All Dwelling Statuses,All Buyer Types,171750.0
493,V42,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,227000.0
494,V42,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,116500.0
495,V42,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1052,V42,1,2010,New,All Buyer Types,227000.0
1053,V42,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,227000.0
1054,V42,1,2010,New,Household Buyer - Former Owner-Occupier,
1055,V42,1,2010,New,Household Buyer - Non-Occupier,
1612,V42,1,2010,Existing,All Buyer Types,116500.0
1613,V42,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1614,V42,1,2010,Existing,Household Buyer - Former Owner-Occupier,116500.0
1615,V42,1,2010,Existing,Household Buyer - Non-Occupier,
2172,V42,2,2010,All Dwelling Statuses,All Buyer Types,126971.0
2173,V42,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,123825.0
2174,V42,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,238350.0
2175,V42,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,76000.0
2732,V42,2,2010,New,All Buyer Types,187275.0
2733,V42,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,161738.0
2734,V42,2,2010,New,Household Buyer - Former Owner-Occupier,238350.0
2735,V42,2,2010,New,Household Buyer - Non-Occupier,
3292,V42,2,2010,Existing,All Buyer Types,66667.0
3293,V42,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,48000.0
3294,V42,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3295,V42,2,2010,Existing,Household Buyer - Non-Occupier,76000.0
3852,V42,3,2010,All Dwelling Statuses,All Buyer Types,138233.0
3853,V42,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,169850.0
3854,V42,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,90000.0
3855,V42,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,60000.0
4412,V42,3,2010,New,All Buyer Types,166467.0
4413,V42,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,166467.0
4414,V42,3,2010,New,Household Buyer - Former Owner-Occupier,
4415,V42,3,2010,New,Household Buyer - Non-Occupier,
4972,V42,3,2010,Existing,All Buyer Types,110000.0
4973,V42,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
4974,V42,3,2010,Existing,Household Buyer - Former Owner-Occupier,90000.0
4975,V42,3,2010,Existing,Household Buyer - Non-Occupier,60000.0
5532,V42,4,2010,All Dwelling Statuses,All Buyer Types,151353.0
5533,V42,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,156226.0
5534,V42,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5535,V42,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,139983.0
6092,V42,4,2010,New,All Buyer Types,128508.0
6093,V42,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,94080.0
6094,V42,4,2010,New,Household Buyer - Former Owner-Occupier,
6095,V42,4,2010,New,Household Buyer - Non-Occupier,139983.0
6652,V42,4,2010,Existing,All Buyer Types,166583.0
6653,V42,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,166583.0
6654,V42,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6655,V42,4,2010,Existing,Household Buyer - Non-Occupier,
