,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
12,A45,1,2010,All Dwelling Statuses,All Buyer Types,
13,A45,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
14,A45,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
15,A45,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
572,A45,1,2010,New,All Buyer Types,
573,A45,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
574,A45,1,2010,New,Household Buyer - Former Owner-Occupier,
575,A45,1,2010,New,Household Buyer - Non-Occupier,
1132,A45,1,2010,Existing,All Buyer Types,
1133,A45,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1134,A45,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1135,A45,1,2010,Existing,Household Buyer - Non-Occupier,
1692,A45,2,2010,All Dwelling Statuses,All Buyer Types,
1693,A45,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1694,A45,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1695,A45,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2252,A45,2,2010,New,All Buyer Types,
2253,A45,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2254,A45,2,2010,New,Household Buyer - Former Owner-Occupier,
2255,A45,2,2010,New,Household Buyer - Non-Occupier,
2812,A45,2,2010,Existing,All Buyer Types,
2813,A45,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
2814,A45,2,2010,Existing,Household Buyer - Former Owner-Occupier,
2815,A45,2,2010,Existing,Household Buyer - Non-Occupier,
3372,A45,3,2010,All Dwelling Statuses,All Buyer Types,317800.0
3373,A45,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,317800.0
3374,A45,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3375,A45,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3932,A45,3,2010,New,All Buyer Types,317800.0
3933,A45,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,317800.0
3934,A45,3,2010,New,Household Buyer - Former Owner-Occupier,
3935,A45,3,2010,New,Household Buyer - Non-Occupier,
4492,A45,3,2010,Existing,All Buyer Types,
4493,A45,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4494,A45,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4495,A45,3,2010,Existing,Household Buyer - Non-Occupier,
5052,A45,4,2010,All Dwelling Statuses,All Buyer Types,317800.0
5053,A45,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,317800.0
