Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
P12,Macroom,1,2010,All Dwelling Statuses,All Buyer Types,241667.0
P12,Macroom,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,227500.0
P12,Macroom,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,270000.0
P12,Macroom,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
P12,Macroom,1,2010,New,All Buyer Types,
P12,Macroom,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
P12,Macroom,1,2010,New,Household Buyer - Former Owner-Occupier,
P12,Macroom,1,2010,New,Household Buyer - Non-Occupier,
P12,Macroom,1,2010,Existing,All Buyer Types,241667.0
P12,Macroom,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,227500.0
P12,Macroom,1,2010,Existing,Household Buyer - Former Owner-Occupier,270000.0
P12,Macroom,1,2010,Existing,Household Buyer - Non-Occupier,
P12,Macroom,2,2010,All Dwelling Statuses,All Buyer Types,269583.0
P12,Macroom,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,269583.0
P12,Macroom,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
P12,Macroom,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
P12,Macroom,2,2010,New,All Buyer Types,283750.0
P12,Macroom,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
P12,Macroom,2,2010,New,Household Buyer - Former Owner-Occupier,
P12,Macroom,2,2010,New,Household Buyer - Non-Occupier,
P12,Macroom,2,2010,Existing,All Buyer Types,262500.0
P12,Macroom,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,262500.0
P12,Macroom,2,2010,Existing,Household Buyer - Former Owner-Occupier,
P12,Macroom,2,2010,Existing,Household Buyer - Non-Occupier,
P12,Macroom,3,2010,All Dwelling Statuses,All Buyer Types,246667.0
P12,Macroom,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
P12,Macroom,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,325000.0
P12,Macroom,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,205000.0
P12,Macroom,3,2010,New,All Buyer Types,210000.0
P12,Macroom,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
P12,Macroom,3,2010,New,Household Buyer - Former Owner-Occupier,
P12,Macroom,3,2010,New,Household Buyer - Non-Occupier,
P12,Macroom,3,2010,Existing,All Buyer Types,265000.0
P12,Macroom,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
P12,Macroom,3,2010,Existing,Household Buyer - Former Owner-Occupier,325000.0
P12,Macroom,3,2010,Existing,Household Buyer - Non-Occupier,205000.0
P12,Macroom,4,2010,All Dwelling Statuses,All Buyer Types,124750.0
P12,Macroom,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
P12,Macroom,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,109667.0
P12,Macroom,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
P12,Macroom,4,2010,New,All Buyer Types,
P12,Macroom,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
P12,Macroom,4,2010,New,Household Buyer - Former Owner-Occupier,
P12,Macroom,4,2010,New,Household Buyer - Non-Occupier,
P12,Macroom,4,2010,Existing,All Buyer Types,124750.0
P12,Macroom,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
P12,Macroom,4,2010,Existing,Household Buyer - Former Owner-Occupier,109667.0
P12,Macroom,4,2010,Existing,Household Buyer - Non-Occupier,
P12,Macroom,5,2010,All Dwelling Statuses,All Buyer Types,154823.0
P12,Macroom,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,166190.0
P12,Macroom,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,159500.0
P12,Macroom,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,100000.0
P12,Macroom,5,2010,New,All Buyer Types,199760.0
P12,Macroom,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,199760.0
P12,Macroom,5,2010,New,Household Buyer - Former Owner-Occupier,
P12,Macroom,5,2010,New,Household Buyer - Non-Occupier,
P12,Macroom,5,2010,Existing,All Buyer Types,147333.0
P12,Macroom,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,155000.0
P12,Macroom,5,2010,Existing,Household Buyer - Former Owner-Occupier,159500.0
P12,Macroom,5,2010,Existing,Household Buyer - Non-Occupier,100000.0
P12,Macroom,6,2010,All Dwelling Statuses,All Buyer Types,275000.0
