,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
420,R32,1,2010,All Dwelling Statuses,All Buyer Types,198673.0
421,R32,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,216250.0
422,R32,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,179138.0
423,R32,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,136200.0
980,R32,1,2010,New,All Buyer Types,184438.0
981,R32,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
982,R32,1,2010,New,Household Buyer - Former Owner-Occupier,200517.0
983,R32,1,2010,New,Household Buyer - Non-Occupier,136200.0
1540,R32,1,2010,Existing,All Buyer Types,205000.0
1541,R32,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,216250.0
1542,R32,1,2010,Existing,Household Buyer - Former Owner-Occupier,115000.0
1543,R32,1,2010,Existing,Household Buyer - Non-Occupier,
2100,R32,2,2010,All Dwelling Statuses,All Buyer Types,179709.0
2101,R32,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,182100.0
2102,R32,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203352.0
2103,R32,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,85000.0
2660,R32,2,2010,New,All Buyer Types,236411.0
2661,R32,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,227000.0
2662,R32,2,2010,New,Household Buyer - Former Owner-Occupier,255232.0
2663,R32,2,2010,New,Household Buyer - Non-Occupier,
3220,R32,2,2010,Existing,All Buyer Types,153538.0
3221,R32,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,152167.0
3222,R32,2,2010,Existing,Household Buyer - Former Owner-Occupier,182600.0
3223,R32,2,2010,Existing,Household Buyer - Non-Occupier,85000.0
3780,R32,3,2010,All Dwelling Statuses,All Buyer Types,191406.0
3781,R32,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,178566.0
3782,R32,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,236383.0
3783,R32,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,127000.0
4340,R32,3,2010,New,All Buyer Types,205981.0
4341,R32,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,190007.0
4342,R32,3,2010,New,Household Buyer - Former Owner-Occupier,317800.0
4343,R32,3,2010,New,Household Buyer - Non-Occupier,
4900,R32,3,2010,Existing,All Buyer Types,183633.0
4901,R32,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,169667.0
4902,R32,3,2010,Existing,Household Buyer - Former Owner-Occupier,220100.0
4903,R32,3,2010,Existing,Household Buyer - Non-Occupier,127000.0
5460,R32,4,2010,All Dwelling Statuses,All Buyer Types,211505.0
5461,R32,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,208893.0
5462,R32,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,210056.0
5463,R32,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,237475.0
6020,R32,4,2010,New,All Buyer Types,251202.0
6021,R32,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,233810.0
6022,R32,4,2010,New,Household Buyer - Former Owner-Occupier,305463.0
6023,R32,4,2010,New,Household Buyer - Non-Occupier,244950.0
6580,R32,4,2010,Existing,All Buyer Types,168500.0
6581,R32,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,176857.0
6582,R32,4,2010,Existing,Household Buyer - Former Owner-Occupier,138500.0
6583,R32,4,2010,Existing,Household Buyer - Non-Occupier,230000.0
7140,R32,5,2010,All Dwelling Statuses,All Buyer Types,168045.0
7141,R32,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,172417.0
7142,R32,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,173359.0
7143,R32,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,131500.0
7700,R32,5,2010,New,All Buyer Types,198210.0
7701,R32,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,198210.0
7702,R32,5,2010,New,Household Buyer - Former Owner-Occupier,
7703,R32,5,2010,New,Household Buyer - Non-Occupier,
8260,R32,5,2010,Existing,All Buyer Types,150301.0
8261,R32,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,143758.0
8262,R32,5,2010,Existing,Household Buyer - Former Owner-Occupier,173359.0
8263,R32,5,2010,Existing,Household Buyer - Non-Occupier,131500.0
8820,R32,6,2010,All Dwelling Statuses,All Buyer Types,167673.0
8821,R32,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,151973.0
8822,R32,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,224000.0
8823,R32,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,140000.0
9380,R32,6,2010,New,All Buyer Types,213377.0
9381,R32,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,213377.0
9382,R32,6,2010,New,Household Buyer - Former Owner-Occupier,
9383,R32,6,2010,New,Household Buyer - Non-Occupier,
9940,R32,6,2010,Existing,All Buyer Types,159364.0
9941,R32,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,134429.0
9942,R32,6,2010,Existing,Household Buyer - Former Owner-Occupier,224000.0
9943,R32,6,2010,Existing,Household Buyer - Non-Occupier,140000.0
10500,R32,7,2010,All Dwelling Statuses,All Buyer Types,173274.0
10501,R32,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,192685.0
10502,R32,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,142914.0
10503,R32,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,160000.0
11060,R32,7,2010,New,All Buyer Types,194831.0
11061,R32,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,202801.0
11062,R32,7,2010,New,Household Buyer - Former Owner-Occupier,162950.0
11063,R32,7,2010,New,Household Buyer - Non-Occupier,
11620,R32,7,2010,Existing,All Buyer Types,156692.0
11621,R32,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,176500.0
11622,R32,7,2010,Existing,Household Buyer - Former Owner-Occupier,134900.0
11623,R32,7,2010,Existing,Household Buyer - Non-Occupier,160000.0
12180,R32,8,2010,All Dwelling Statuses,All Buyer Types,171755.0
12181,R32,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180047.0
12182,R32,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,171700.0
12183,R32,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,153833.0
12740,R32,8,2010,New,All Buyer Types,214846.0
12741,R32,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,224373.0
12742,R32,8,2010,New,Household Buyer - Former Owner-Occupier,175001.0
12743,R32,8,2010,New,Household Buyer - Non-Occupier,188000.0
13300,R32,8,2010,Existing,All Buyer Types,145900.0
13301,R32,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,128333.0
13302,R32,8,2010,Existing,Household Buyer - Former Owner-Occupier,170875.0
13303,R32,8,2010,Existing,Household Buyer - Non-Occupier,147000.0
13860,R32,9,2010,All Dwelling Statuses,All Buyer Types,178331.0
13861,R32,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,133548.0
13862,R32,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,251140.0
13863,R32,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150000.0
14420,R32,9,2010,New,All Buyer Types,230057.0
14421,R32,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,161360.0
14422,R32,9,2010,New,Household Buyer - Former Owner-Occupier,373132.0
14423,R32,9,2010,New,Household Buyer - Non-Occupier,150000.0
14980,R32,9,2010,Existing,All Buyer Types,161088.0
14981,R32,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,125963.0
14982,R32,9,2010,Existing,Household Buyer - Former Owner-Occupier,216286.0
14983,R32,9,2010,Existing,Household Buyer - Non-Occupier,
15540,R32,10,2010,All Dwelling Statuses,All Buyer Types,143089.0
15541,R32,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,143148.0
15542,R32,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,140895.0
15543,R32,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,160000.0
16100,R32,10,2010,New,All Buyer Types,151068.0
16101,R32,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,177794.0
16102,R32,10,2010,New,Household Buyer - Former Owner-Occupier,110978.0
16103,R32,10,2010,New,Household Buyer - Non-Occupier,
16660,R32,10,2010,Existing,All Buyer Types,140430.0
16661,R32,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,130156.0
16662,R32,10,2010,Existing,Household Buyer - Former Owner-Occupier,150867.0
16663,R32,10,2010,Existing,Household Buyer - Non-Occupier,160000.0
17220,R32,11,2010,All Dwelling Statuses,All Buyer Types,136449.0
17221,R32,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,118709.0
17222,R32,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,183700.0
17223,R32,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,99560.0
17780,R32,11,2010,New,All Buyer Types,166393.0
17781,R32,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,189545.0
17782,R32,11,2010,New,Household Buyer - Former Owner-Occupier,
17783,R32,11,2010,New,Household Buyer - Non-Occupier,143241.0
18340,R32,11,2010,Existing,All Buyer Types,131458.0
18341,R32,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,101000.0
18342,R32,11,2010,Existing,Household Buyer - Former Owner-Occupier,183700.0
18343,R32,11,2010,Existing,Household Buyer - Non-Occupier,85000.0
18900,R32,12,2010,All Dwelling Statuses,All Buyer Types,152424.0
18901,R32,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,171713.0
18902,R32,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,149089.0
18903,R32,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,73125.0
19460,R32,12,2010,New,All Buyer Types,210237.0
19461,R32,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,210979.0
19462,R32,12,2010,New,Household Buyer - Former Owner-Occupier,204300.0
19463,R32,12,2010,New,Household Buyer - Non-Occupier,
20020,R32,12,2010,Existing,All Buyer Types,128773.0
20021,R32,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,140300.0
20022,R32,12,2010,Existing,Household Buyer - Former Owner-Occupier,142188.0
20023,R32,12,2010,Existing,Household Buyer - Non-Occupier,73125.0
20580,R32,1,2011,All Dwelling Statuses,All Buyer Types,109177.0
20581,R32,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,118333.0
20582,R32,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,107500.0
20583,R32,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,97120.0
21140,R32,1,2011,New,All Buyer Types,140740.0
21141,R32,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
21142,R32,1,2011,New,Household Buyer - Former Owner-Occupier,
21143,R32,1,2011,New,Household Buyer - Non-Occupier,140740.0
21700,R32,1,2011,Existing,All Buyer Types,103917.0
21701,R32,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,118333.0
21702,R32,1,2011,Existing,Household Buyer - Former Owner-Occupier,107500.0
21703,R32,1,2011,Existing,Household Buyer - Non-Occupier,53500.0
22260,R32,2,2011,All Dwelling Statuses,All Buyer Types,134330.0
22261,R32,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,142500.0
22262,R32,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,124575.0
22263,R32,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,132500.0
22820,R32,2,2011,New,All Buyer Types,204300.0
22821,R32,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
22822,R32,2,2011,New,Household Buyer - Former Owner-Occupier,204300.0
22823,R32,2,2011,New,Household Buyer - Non-Occupier,
23380,R32,2,2011,Existing,All Buyer Types,126556.0
23381,R32,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,142500.0
23382,R32,2,2011,Existing,Household Buyer - Former Owner-Occupier,98000.0
23383,R32,2,2011,Existing,Household Buyer - Non-Occupier,132500.0
23940,R32,3,2011,All Dwelling Statuses,All Buyer Types,143266.0
23941,R32,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,147295.0
23942,R32,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,159531.0
23943,R32,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,82333.0
24500,R32,3,2011,New,All Buyer Types,204593.0
24501,R32,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,96475.0
24502,R32,3,2011,New,Household Buyer - Former Owner-Occupier,258653.0
24503,R32,3,2011,New,Household Buyer - Non-Occupier,
25060,R32,3,2011,Existing,All Buyer Types,131000.0
25061,R32,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,160000.0
25062,R32,3,2011,Existing,Household Buyer - Former Owner-Occupier,134750.0
25063,R32,3,2011,Existing,Household Buyer - Non-Occupier,82333.0
25620,R32,4,2011,All Dwelling Statuses,All Buyer Types,163077.0
25621,R32,4,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,119704.0
25622,R32,4,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,174245.0
25623,R32,4,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,355000.0
26180,R32,4,2011,New,All Buyer Types,131376.0
26181,R32,4,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,134607.0
26182,R32,4,2011,New,Household Buyer - Former Owner-Occupier,118451.0
26183,R32,4,2011,New,Household Buyer - Non-Occupier,
26740,R32,4,2011,Existing,All Buyer Types,175269.0
26741,R32,4,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,99833.0
26742,R32,4,2011,Existing,Household Buyer - Former Owner-Occupier,180444.0
26743,R32,4,2011,Existing,Household Buyer - Non-Occupier,355000.0
27300,R32,5,2011,All Dwelling Statuses,All Buyer Types,140017.0
27301,R32,5,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,130116.0
27302,R32,5,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,189346.0
27303,R32,5,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,114450.0
27860,R32,5,2011,New,All Buyer Types,115396.0
27861,R32,5,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,97964.0
27862,R32,5,2011,New,Household Buyer - Former Owner-Occupier,111230.0
