Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
R93,Carlow,1,2010,All Dwelling Statuses,All Buyer Types,162808.0
R93,Carlow,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,144151.0
R93,Carlow,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,252500.0
R93,Carlow,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,157073.0
R93,Carlow,1,2010,New,All Buyer Types,191800.0
R93,Carlow,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,154928.0
R93,Carlow,1,2010,New,Household Buyer - Former Owner-Occupier,252500.0
R93,Carlow,1,2010,New,Household Buyer - Non-Occupier,144145.0
R93,Carlow,1,2010,Existing,All Buyer Types,144688.0
R93,Carlow,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,141071.0
R93,Carlow,1,2010,Existing,Household Buyer - Former Owner-Occupier,
R93,Carlow,1,2010,Existing,Household Buyer - Non-Occupier,170000.0
R93,Carlow,2,2010,All Dwelling Statuses,All Buyer Types,176166.0
R93,Carlow,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,171887.0
R93,Carlow,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,182500.0
R93,Carlow,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,170000.0
R93,Carlow,2,2010,New,All Buyer Types,160331.0
R93,Carlow,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,160331.0
R93,Carlow,2,2010,New,Household Buyer - Former Owner-Occupier,
R93,Carlow,2,2010,New,Household Buyer - Non-Occupier,
R93,Carlow,2,2010,Existing,All Buyer Types,182500.0
R93,Carlow,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
R93,Carlow,2,2010,Existing,Household Buyer - Former Owner-Occupier,182500.0
R93,Carlow,2,2010,Existing,Household Buyer - Non-Occupier,170000.0
R93,Carlow,3,2010,All Dwelling Statuses,All Buyer Types,180250.0
R93,Carlow,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,226143.0
R93,Carlow,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,157500.0
R93,Carlow,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,88333.0
R93,Carlow,3,2010,New,All Buyer Types,164500.0
R93,Carlow,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,179000.0
R93,Carlow,3,2010,New,Household Buyer - Former Owner-Occupier,
R93,Carlow,3,2010,New,Household Buyer - Non-Occupier,150000.0
R93,Carlow,3,2010,Existing,All Buyer Types,183400.0
R93,Carlow,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,234000.0
R93,Carlow,3,2010,Existing,Household Buyer - Former Owner-Occupier,157500.0
R93,Carlow,3,2010,Existing,Household Buyer - Non-Occupier,57500.0
R93,Carlow,4,2010,All Dwelling Statuses,All Buyer Types,183923.0
R93,Carlow,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,171968.0
R93,Carlow,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,219445.0
R93,Carlow,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,90000.0
R93,Carlow,4,2010,New,All Buyer Types,302667.0
R93,Carlow,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,300775.0
R93,Carlow,4,2010,New,Household Buyer - Former Owner-Occupier,303613.0
R93,Carlow,4,2010,New,Household Buyer - Non-Occupier,
R93,Carlow,4,2010,Existing,All Buyer Types,148300.0
R93,Carlow,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150500.0
R93,Carlow,4,2010,Existing,Household Buyer - Former Owner-Occupier,163333.0
R93,Carlow,4,2010,Existing,Household Buyer - Non-Occupier,90000.0
R93,Carlow,5,2010,All Dwelling Statuses,All Buyer Types,219922.0
R93,Carlow,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,249837.0
R93,Carlow,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203517.0
R93,Carlow,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,180598.0
R93,Carlow,5,2010,New,All Buyer Types,180459.0
R93,Carlow,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,180740.0
R93,Carlow,5,2010,New,Household Buyer - Former Owner-Occupier,205293.0
R93,Carlow,5,2010,New,Household Buyer - Non-Occupier,129390.0
R93,Carlow,5,2010,Existing,All Buyer Types,255000.0
R93,Carlow,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,365000.0
R93,Carlow,5,2010,Existing,Household Buyer - Former Owner-Occupier,202333.0
R93,Carlow,5,2010,Existing,Household Buyer - Non-Occupier,197667.0
