,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
220,F42,1,2010,All Dwelling Statuses,All Buyer Types,167616.0
221,F42,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,168488.0
222,F42,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,280000.0
223,F42,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,50000.0
780,F42,1,2010,New,All Buyer Types,227481.0
781,F42,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,209975.0
782,F42,1,2010,New,Household Buyer - Former Owner-Occupier,280000.0
783,F42,1,2010,New,Household Buyer - Non-Occupier,
1340,F42,1,2010,Existing,All Buyer Types,107750.0
1341,F42,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,127000.0
1342,F42,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1343,F42,1,2010,Existing,Household Buyer - Non-Occupier,50000.0
1900,F42,2,2010,All Dwelling Statuses,All Buyer Types,199896.0
1901,F42,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,251993.0
1902,F42,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
1903,F42,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121750.0
2460,F42,2,2010,New,All Buyer Types,217370.0
2461,F42,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,251993.0
2462,F42,2,2010,New,Household Buyer - Former Owner-Occupier,
2463,F42,2,2010,New,Household Buyer - Non-Occupier,113500.0
3020,F42,2,2010,Existing,All Buyer Types,130000.0
3021,F42,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3022,F42,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3023,F42,2,2010,Existing,Household Buyer - Non-Occupier,130000.0
3580,F42,3,2010,All Dwelling Statuses,All Buyer Types,149000.0
3581,F42,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,127000.0
3582,F42,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3583,F42,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,160000.0
4140,F42,3,2010,New,All Buyer Types,
4141,F42,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4142,F42,3,2010,New,Household Buyer - Former Owner-Occupier,
4143,F42,3,2010,New,Household Buyer - Non-Occupier,
4700,F42,3,2010,Existing,All Buyer Types,149000.0
4701,F42,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,127000.0
4702,F42,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4703,F42,3,2010,Existing,Household Buyer - Non-Occupier,160000.0
5260,F42,4,2010,All Dwelling Statuses,All Buyer Types,128750.0
5261,F42,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5262,F42,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,192500.0
5263,F42,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,65000.0
5820,F42,4,2010,New,All Buyer Types,
5821,F42,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5822,F42,4,2010,New,Household Buyer - Former Owner-Occupier,
5823,F42,4,2010,New,Household Buyer - Non-Occupier,
6380,F42,4,2010,Existing,All Buyer Types,128750.0
6381,F42,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6382,F42,4,2010,Existing,Household Buyer - Former Owner-Occupier,192500.0
