,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
188,E53,1,2010,All Dwelling Statuses,All Buyer Types,223094.0
189,E53,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
190,E53,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,241188.0
191,E53,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
748,E53,1,2010,New,All Buyer Types,241188.0
749,E53,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
750,E53,1,2010,New,Household Buyer - Former Owner-Occupier,241188.0
751,E53,1,2010,New,Household Buyer - Non-Occupier,
1308,E53,1,2010,Existing,All Buyer Types,205000.0
1309,E53,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
1310,E53,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1311,E53,1,2010,Existing,Household Buyer - Non-Occupier,
1868,E53,2,2010,All Dwelling Statuses,All Buyer Types,156700.0
1869,E53,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,205900.0
1870,E53,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,100000.0
1871,E53,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,115000.0
2428,E53,2,2010,New,All Buyer Types,204300.0
2429,E53,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,204300.0
2430,E53,2,2010,New,Household Buyer - Former Owner-Occupier,
2431,E53,2,2010,New,Household Buyer - Non-Occupier,
2988,E53,2,2010,Existing,All Buyer Types,140833.0
2989,E53,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,207500.0
2990,E53,2,2010,Existing,Household Buyer - Former Owner-Occupier,100000.0
2991,E53,2,2010,Existing,Household Buyer - Non-Occupier,115000.0
3548,E53,3,2010,All Dwelling Statuses,All Buyer Types,203119.0
3549,E53,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,207649.0
3550,E53,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,185000.0
3551,E53,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4108,E53,3,2010,New,All Buyer Types,310298.0
4109,E53,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,310298.0
4110,E53,3,2010,New,Household Buyer - Former Owner-Occupier,
4111,E53,3,2010,New,Household Buyer - Non-Occupier,
4668,E53,3,2010,Existing,All Buyer Types,131667.0
4669,E53,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,105000.0
4670,E53,3,2010,Existing,Household Buyer - Former Owner-Occupier,185000.0
4671,E53,3,2010,Existing,Household Buyer - Non-Occupier,
5228,E53,4,2010,All Dwelling Statuses,All Buyer Types,183390.0
5229,E53,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,174050.0
5230,E53,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,242255.0
5231,E53,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,75000.0
5788,E53,4,2010,New,All Buyer Types,176780.0
5789,E53,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,174050.0
5790,E53,4,2010,New,Household Buyer - Former Owner-Occupier,179509.0
5791,E53,4,2010,New,Household Buyer - Non-Occupier,
6348,E53,4,2010,Existing,All Buyer Types,190000.0
6349,E53,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6350,E53,4,2010,Existing,Household Buyer - Former Owner-Occupier,305000.0
6351,E53,4,2010,Existing,Household Buyer - Non-Occupier,75000.0
6908,E53,5,2010,All Dwelling Statuses,All Buyer Types,116000.0
6909,E53,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,115000.0
6910,E53,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,117000.0
6911,E53,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7468,E53,5,2010,New,All Buyer Types,
7469,E53,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7470,E53,5,2010,New,Household Buyer - Former Owner-Occupier,
7471,E53,5,2010,New,Household Buyer - Non-Occupier,
8028,E53,5,2010,Existing,All Buyer Types,116000.0
8029,E53,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,115000.0
8030,E53,5,2010,Existing,Household Buyer - Former Owner-Occupier,117000.0
8031,E53,5,2010,Existing,Household Buyer - Non-Occupier,
8588,E53,6,2010,All Dwelling Statuses,All Buyer Types,200593.0
8589,E53,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200593.0
8590,E53,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8591,E53,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9148,E53,6,2010,New,All Buyer Types,279778.0
9149,E53,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,279778.0
9150,E53,6,2010,New,Household Buyer - Former Owner-Occupier,
9151,E53,6,2010,New,Household Buyer - Non-Occupier,
9708,E53,6,2010,Existing,All Buyer Types,161000.0
9709,E53,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,161000.0
9710,E53,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9711,E53,6,2010,Existing,Household Buyer - Non-Occupier,
10268,E53,7,2010,All Dwelling Statuses,All Buyer Types,140223.0
10269,E53,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180371.0
10270,E53,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
10271,E53,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,80000.0
10828,E53,7,2010,New,All Buyer Types,190113.0
10829,E53,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,190113.0
10830,E53,7,2010,New,Household Buyer - Former Owner-Occupier,
10831,E53,7,2010,New,Household Buyer - Non-Occupier,
11388,E53,7,2010,Existing,All Buyer Types,127750.0
11389,E53,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,175500.0
11390,E53,7,2010,Existing,Household Buyer - Former Owner-Occupier,
11391,E53,7,2010,Existing,Household Buyer - Non-Occupier,80000.0
11948,E53,8,2010,All Dwelling Statuses,All Buyer Types,141570.0
11949,E53,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,132425.0
11950,E53,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,257000.0
11951,E53,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,93000.0
12508,E53,8,2010,New,All Buyer Types,124850.0
12509,E53,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,124850.0
12510,E53,8,2010,New,Household Buyer - Former Owner-Occupier,
12511,E53,8,2010,New,Household Buyer - Non-Occupier,
13068,E53,8,2010,Existing,All Buyer Types,145750.0
13069,E53,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,140000.0
13070,E53,8,2010,Existing,Household Buyer - Former Owner-Occupier,257000.0
13071,E53,8,2010,Existing,Household Buyer - Non-Occupier,93000.0
13628,E53,9,2010,All Dwelling Statuses,All Buyer Types,72500.0
13629,E53,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
13630,E53,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,30000.0
13631,E53,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,115000.0
14188,E53,9,2010,New,All Buyer Types,
14189,E53,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
