,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
312,K56,1,2010,All Dwelling Statuses,All Buyer Types,327827.0
313,K56,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,208154.0
314,K56,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,447500.0
315,K56,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
872,K56,1,2010,New,All Buyer Types,208154.0
873,K56,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,208154.0
874,K56,1,2010,New,Household Buyer - Former Owner-Occupier,
875,K56,1,2010,New,Household Buyer - Non-Occupier,
1432,K56,1,2010,Existing,All Buyer Types,447500.0
1433,K56,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1434,K56,1,2010,Existing,Household Buyer - Former Owner-Occupier,447500.0
1435,K56,1,2010,Existing,Household Buyer - Non-Occupier,
1992,K56,2,2010,All Dwelling Statuses,All Buyer Types,440125.0
1993,K56,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1994,K56,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,440125.0
1995,K56,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2552,K56,2,2010,New,All Buyer Types,440125.0
2553,K56,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2554,K56,2,2010,New,Household Buyer - Former Owner-Occupier,440125.0
2555,K56,2,2010,New,Household Buyer - Non-Occupier,
3112,K56,2,2010,Existing,All Buyer Types,
3113,K56,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3114,K56,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3115,K56,2,2010,Existing,Household Buyer - Non-Occupier,
3672,K56,3,2010,All Dwelling Statuses,All Buyer Types,343667.0
3673,K56,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,278000.0
3674,K56,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,475000.0
3675,K56,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4232,K56,3,2010,New,All Buyer Types,
4233,K56,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4234,K56,3,2010,New,Household Buyer - Former Owner-Occupier,
4235,K56,3,2010,New,Household Buyer - Non-Occupier,
4792,K56,3,2010,Existing,All Buyer Types,343667.0
4793,K56,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,278000.0
4794,K56,3,2010,Existing,Household Buyer - Former Owner-Occupier,475000.0
4795,K56,3,2010,Existing,Household Buyer - Non-Occupier,
5352,K56,4,2010,All Dwelling Statuses,All Buyer Types,445143.0
5353,K56,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5354,K56,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,330285.0
5355,K56,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,560000.0
5912,K56,4,2010,New,All Buyer Types,330285.0
5913,K56,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5914,K56,4,2010,New,Household Buyer - Former Owner-Occupier,330285.0
5915,K56,4,2010,New,Household Buyer - Non-Occupier,
6472,K56,4,2010,Existing,All Buyer Types,560000.0
6473,K56,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6474,K56,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6475,K56,4,2010,Existing,Household Buyer - Non-Occupier,560000.0
7032,K56,5,2010,All Dwelling Statuses,All Buyer Types,404730.0
7033,K56,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,337095.0
7034,K56,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,540000.0
7035,K56,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7592,K56,5,2010,New,All Buyer Types,337095.0
7593,K56,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,337095.0
7594,K56,5,2010,New,Household Buyer - Former Owner-Occupier,
7595,K56,5,2010,New,Household Buyer - Non-Occupier,
8152,K56,5,2010,Existing,All Buyer Types,540000.0
8153,K56,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8154,K56,5,2010,Existing,Household Buyer - Former Owner-Occupier,540000.0
8155,K56,5,2010,Existing,Household Buyer - Non-Occupier,
8712,K56,6,2010,All Dwelling Statuses,All Buyer Types,241313.0
8713,K56,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,276750.0
8714,K56,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8715,K56,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135000.0
9272,K56,6,2010,New,All Buyer Types,318625.0
9273,K56,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,318625.0
9274,K56,6,2010,New,Household Buyer - Former Owner-Occupier,
9275,K56,6,2010,New,Household Buyer - Non-Occupier,
9832,K56,6,2010,Existing,All Buyer Types,164000.0
9833,K56,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,193000.0
9834,K56,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9835,K56,6,2010,Existing,Household Buyer - Non-Occupier,135000.0
10392,K56,7,2010,All Dwelling Statuses,All Buyer Types,253100.0
10393,K56,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,272400.0
10394,K56,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,240000.0
10395,K56,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,260000.0
10952,K56,7,2010,New,All Buyer Types,272400.0
10953,K56,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,272400.0
10954,K56,7,2010,New,Household Buyer - Former Owner-Occupier,
10955,K56,7,2010,New,Household Buyer - Non-Occupier,
11512,K56,7,2010,Existing,All Buyer Types,246667.0
11513,K56,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
11514,K56,7,2010,Existing,Household Buyer - Former Owner-Occupier,240000.0
11515,K56,7,2010,Existing,Household Buyer - Non-Occupier,260000.0
12072,K56,8,2010,All Dwelling Statuses,All Buyer Types,260833.0
12073,K56,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,275000.0
12074,K56,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,253750.0
12075,K56,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12632,K56,8,2010,New,All Buyer Types,
12633,K56,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12634,K56,8,2010,New,Household Buyer - Former Owner-Occupier,
12635,K56,8,2010,New,Household Buyer - Non-Occupier,
13192,K56,8,2010,Existing,All Buyer Types,260833.0
13193,K56,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,275000.0
13194,K56,8,2010,Existing,Household Buyer - Former Owner-Occupier,253750.0
13195,K56,8,2010,Existing,Household Buyer - Non-Occupier,
13752,K56,9,2010,All Dwelling Statuses,All Buyer Types,327500.0
13753,K56,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
13754,K56,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,480000.0
13755,K56,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
14312,K56,9,2010,New,All Buyer Types,
14313,K56,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14314,K56,9,2010,New,Household Buyer - Former Owner-Occupier,
14315,K56,9,2010,New,Household Buyer - Non-Occupier,
14872,K56,9,2010,Existing,All Buyer Types,327500.0
14873,K56,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
14874,K56,9,2010,Existing,Household Buyer - Former Owner-Occupier,480000.0
14875,K56,9,2010,Existing,Household Buyer - Non-Occupier,
15432,K56,10,2010,All Dwelling Statuses,All Buyer Types,219500.0
15433,K56,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,234000.0
15434,K56,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,200000.0
15435,K56,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,210000.0
15992,K56,10,2010,New,All Buyer Types,234000.0
15993,K56,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,234000.0
15994,K56,10,2010,New,Household Buyer - Former Owner-Occupier,
15995,K56,10,2010,New,Household Buyer - Non-Occupier,
16552,K56,10,2010,Existing,All Buyer Types,205000.0
16553,K56,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
16554,K56,10,2010,Existing,Household Buyer - Former Owner-Occupier,200000.0
16555,K56,10,2010,Existing,Household Buyer - Non-Occupier,210000.0
17112,K56,11,2010,All Dwelling Statuses,All Buyer Types,244250.0
17113,K56,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,244250.0
17114,K56,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
17115,K56,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17672,K56,11,2010,New,All Buyer Types,248500.0
17673,K56,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,248500.0
17674,K56,11,2010,New,Household Buyer - Former Owner-Occupier,
17675,K56,11,2010,New,Household Buyer - Non-Occupier,
18232,K56,11,2010,Existing,All Buyer Types,240000.0
18233,K56,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,240000.0
18234,K56,11,2010,Existing,Household Buyer - Former Owner-Occupier,
18235,K56,11,2010,Existing,Household Buyer - Non-Occupier,
18792,K56,12,2010,All Dwelling Statuses,All Buyer Types,271063.0
18793,K56,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,271063.0
18794,K56,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
18795,K56,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
19352,K56,12,2010,New,All Buyer Types,271063.0
19353,K56,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,271063.0
19354,K56,12,2010,New,Household Buyer - Former Owner-Occupier,
19355,K56,12,2010,New,Household Buyer - Non-Occupier,
19912,K56,12,2010,Existing,All Buyer Types,
19913,K56,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
19914,K56,12,2010,Existing,Household Buyer - Former Owner-Occupier,
19915,K56,12,2010,Existing,Household Buyer - Non-Occupier,
20472,K56,1,2011,All Dwelling Statuses,All Buyer Types,215000.0
20473,K56,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,215000.0
20474,K56,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
20475,K56,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
21032,K56,1,2011,New,All Buyer Types,215000.0
21033,K56,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,215000.0
21034,K56,1,2011,New,Household Buyer - Former Owner-Occupier,
21035,K56,1,2011,New,Household Buyer - Non-Occupier,
21592,K56,1,2011,Existing,All Buyer Types,
21593,K56,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
21594,K56,1,2011,Existing,Household Buyer - Former Owner-Occupier,
21595,K56,1,2011,Existing,Household Buyer - Non-Occupier,
22152,K56,2,2011,All Dwelling Statuses,All Buyer Types,
