,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
364,P32,1,2010,All Dwelling Statuses,All Buyer Types,
365,P32,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
366,P32,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
367,P32,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
924,P32,1,2010,New,All Buyer Types,
925,P32,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
926,P32,1,2010,New,Household Buyer - Former Owner-Occupier,
927,P32,1,2010,New,Household Buyer - Non-Occupier,
1484,P32,1,2010,Existing,All Buyer Types,
1485,P32,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1486,P32,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1487,P32,1,2010,Existing,Household Buyer - Non-Occupier,
2044,P32,2,2010,All Dwelling Statuses,All Buyer Types,320000.0
2045,P32,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
2046,P32,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,320000.0
2047,P32,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2604,P32,2,2010,New,All Buyer Types,
2605,P32,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2606,P32,2,2010,New,Household Buyer - Former Owner-Occupier,
2607,P32,2,2010,New,Household Buyer - Non-Occupier,
3164,P32,2,2010,Existing,All Buyer Types,320000.0
3165,P32,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3166,P32,2,2010,Existing,Household Buyer - Former Owner-Occupier,320000.0
3167,P32,2,2010,Existing,Household Buyer - Non-Occupier,
3724,P32,3,2010,All Dwelling Statuses,All Buyer Types,270000.0
3725,P32,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,270000.0
3726,P32,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3727,P32,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4284,P32,3,2010,New,All Buyer Types,
4285,P32,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4286,P32,3,2010,New,Household Buyer - Former Owner-Occupier,
4287,P32,3,2010,New,Household Buyer - Non-Occupier,
4844,P32,3,2010,Existing,All Buyer Types,270000.0
4845,P32,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,270000.0
