,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
472,V14,1,2010,All Dwelling Statuses,All Buyer Types,
473,V14,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
474,V14,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
475,V14,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1032,V14,1,2010,New,All Buyer Types,
1033,V14,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
1034,V14,1,2010,New,Household Buyer - Former Owner-Occupier,
1035,V14,1,2010,New,Household Buyer - Non-Occupier,
1592,V14,1,2010,Existing,All Buyer Types,
1593,V14,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1594,V14,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1595,V14,1,2010,Existing,Household Buyer - Non-Occupier,
2152,V14,2,2010,All Dwelling Statuses,All Buyer Types,215350.0
2153,V14,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,205525.0
2154,V14,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,235000.0
2155,V14,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2712,V14,2,2010,New,All Buyer Types,261050.0
2713,V14,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
2714,V14,2,2010,New,Household Buyer - Former Owner-Occupier,
2715,V14,2,2010,New,Household Buyer - Non-Occupier,
3272,V14,2,2010,Existing,All Buyer Types,192500.0
3273,V14,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
3274,V14,2,2010,Existing,Household Buyer - Former Owner-Occupier,235000.0
3275,V14,2,2010,Existing,Household Buyer - Non-Occupier,
3832,V14,3,2010,All Dwelling Statuses,All Buyer Types,
3833,V14,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3834,V14,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3835,V14,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4392,V14,3,2010,New,All Buyer Types,
4393,V14,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4394,V14,3,2010,New,Household Buyer - Former Owner-Occupier,
4395,V14,3,2010,New,Household Buyer - Non-Occupier,
4952,V14,3,2010,Existing,All Buyer Types,
4953,V14,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4954,V14,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4955,V14,3,2010,Existing,Household Buyer - Non-Occupier,
5512,V14,4,2010,All Dwelling Statuses,All Buyer Types,
5513,V14,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5514,V14,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
5515,V14,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6072,V14,4,2010,New,All Buyer Types,
6073,V14,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6074,V14,4,2010,New,Household Buyer - Former Owner-Occupier,
6075,V14,4,2010,New,Household Buyer - Non-Occupier,
6632,V14,4,2010,Existing,All Buyer Types,
6633,V14,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6634,V14,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6635,V14,4,2010,Existing,Household Buyer - Non-Occupier,
7192,V14,5,2010,All Dwelling Statuses,All Buyer Types,166750.0
7193,V14,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
7194,V14,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,210000.0
7195,V14,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,123500.0
7752,V14,5,2010,New,All Buyer Types,123500.0
7753,V14,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7754,V14,5,2010,New,Household Buyer - Former Owner-Occupier,
7755,V14,5,2010,New,Household Buyer - Non-Occupier,123500.0
8312,V14,5,2010,Existing,All Buyer Types,210000.0
8313,V14,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
8314,V14,5,2010,Existing,Household Buyer - Former Owner-Occupier,210000.0
8315,V14,5,2010,Existing,Household Buyer - Non-Occupier,
8872,V14,6,2010,All Dwelling Statuses,All Buyer Types,
8873,V14,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8874,V14,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8875,V14,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9432,V14,6,2010,New,All Buyer Types,
9433,V14,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9434,V14,6,2010,New,Household Buyer - Former Owner-Occupier,
9435,V14,6,2010,New,Household Buyer - Non-Occupier,
9992,V14,6,2010,Existing,All Buyer Types,
9993,V14,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9994,V14,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9995,V14,6,2010,Existing,Household Buyer - Non-Occupier,
