,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
300,K34,1,2010,All Dwelling Statuses,All Buyer Types,328684.0
301,K34,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,253211.0
302,K34,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,379000.0
303,K34,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
860,K34,1,2010,New,All Buyer Types,281421.0
861,K34,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,281421.0
862,K34,1,2010,New,Household Buyer - Former Owner-Occupier,
863,K34,1,2010,New,Household Buyer - Non-Occupier,
1420,K34,1,2010,Existing,All Buyer Types,340500.0
1421,K34,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,225000.0
1422,K34,1,2010,Existing,Household Buyer - Former Owner-Occupier,379000.0
1423,K34,1,2010,Existing,Household Buyer - Non-Occupier,
1980,K34,2,2010,All Dwelling Statuses,All Buyer Types,435000.0
1981,K34,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,600000.0
1982,K34,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,270000.0
1983,K34,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2540,K34,2,2010,New,All Buyer Types,
2541,K34,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2542,K34,2,2010,New,Household Buyer - Former Owner-Occupier,
2543,K34,2,2010,New,Household Buyer - Non-Occupier,
3100,K34,2,2010,Existing,All Buyer Types,435000.0
3101,K34,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,600000.0
3102,K34,2,2010,Existing,Household Buyer - Former Owner-Occupier,270000.0
3103,K34,2,2010,Existing,Household Buyer - Non-Occupier,
3660,K34,3,2010,All Dwelling Statuses,All Buyer Types,472686.0
3661,K34,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3662,K34,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,472686.0
3663,K34,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4220,K34,3,2010,New,All Buyer Types,472686.0
4221,K34,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4222,K34,3,2010,New,Household Buyer - Former Owner-Occupier,472686.0
4223,K34,3,2010,New,Household Buyer - Non-Occupier,
4780,K34,3,2010,Existing,All Buyer Types,
4781,K34,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4782,K34,3,2010,Existing,Household Buyer - Former Owner-Occupier,
4783,K34,3,2010,Existing,Household Buyer - Non-Occupier,
5340,K34,4,2010,All Dwelling Statuses,All Buyer Types,268567.0
5341,K34,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,238468.0
5342,K34,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,315305.0
5343,K34,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,173500.0
5900,K34,4,2010,New,All Buyer Types,264545.0
5901,K34,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,252703.0
5902,K34,4,2010,New,Household Buyer - Former Owner-Occupier,288231.0
5903,K34,4,2010,New,Household Buyer - Non-Occupier,
6460,K34,4,2010,Existing,All Buyer Types,270075.0
6461,K34,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
