,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
404,P81,1,2010,All Dwelling Statuses,All Buyer Types,195000.0
405,P81,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
406,P81,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
407,P81,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,200000.0
964,P81,1,2010,New,All Buyer Types,
965,P81,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
966,P81,1,2010,New,Household Buyer - Former Owner-Occupier,
967,P81,1,2010,New,Household Buyer - Non-Occupier,
1524,P81,1,2010,Existing,All Buyer Types,195000.0
1525,P81,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,190000.0
1526,P81,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1527,P81,1,2010,Existing,Household Buyer - Non-Occupier,200000.0
2084,P81,2,2010,All Dwelling Statuses,All Buyer Types,183750.0
2085,P81,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
2086,P81,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
2087,P81,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,172500.0
2644,P81,2,2010,New,All Buyer Types,
2645,P81,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2646,P81,2,2010,New,Household Buyer - Former Owner-Occupier,
2647,P81,2,2010,New,Household Buyer - Non-Occupier,
3204,P81,2,2010,Existing,All Buyer Types,183750.0
3205,P81,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195000.0
3206,P81,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3207,P81,2,2010,Existing,Household Buyer - Non-Occupier,172500.0
3764,P81,3,2010,All Dwelling Statuses,All Buyer Types,276750.0
3765,P81,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
3766,P81,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,332000.0
3767,P81,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,258333.0
4324,P81,3,2010,New,All Buyer Types,205000.0
4325,P81,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4326,P81,3,2010,New,Household Buyer - Former Owner-Occupier,
4327,P81,3,2010,New,Household Buyer - Non-Occupier,205000.0
4884,P81,3,2010,Existing,All Buyer Types,300667.0
4885,P81,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4886,P81,3,2010,Existing,Household Buyer - Former Owner-Occupier,332000.0
4887,P81,3,2010,Existing,Household Buyer - Non-Occupier,285000.0
5444,P81,4,2010,All Dwelling Statuses,All Buyer Types,309000.0
5445,P81,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5446,P81,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,309000.0
5447,P81,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6004,P81,4,2010,New,All Buyer Types,
6005,P81,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6006,P81,4,2010,New,Household Buyer - Former Owner-Occupier,
6007,P81,4,2010,New,Household Buyer - Non-Occupier,
6564,P81,4,2010,Existing,All Buyer Types,309000.0
6565,P81,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6566,P81,4,2010,Existing,Household Buyer - Former Owner-Occupier,309000.0
6567,P81,4,2010,Existing,Household Buyer - Non-Occupier,
7124,P81,5,2010,All Dwelling Statuses,All Buyer Types,193488.0
7125,P81,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,330000.0
7126,P81,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,306450.0
7127,P81,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,68750.0
7684,P81,5,2010,New,All Buyer Types,306450.0
7685,P81,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7686,P81,5,2010,New,Household Buyer - Former Owner-Occupier,306450.0
7687,P81,5,2010,New,Household Buyer - Non-Occupier,
8244,P81,5,2010,Existing,All Buyer Types,155833.0
8245,P81,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,330000.0
8246,P81,5,2010,Existing,Household Buyer - Former Owner-Occupier,
8247,P81,5,2010,Existing,Household Buyer - Non-Occupier,68750.0
8804,P81,6,2010,All Dwelling Statuses,All Buyer Types,170000.0
8805,P81,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8806,P81,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,170000.0
8807,P81,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9364,P81,6,2010,New,All Buyer Types,
9365,P81,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9366,P81,6,2010,New,Household Buyer - Former Owner-Occupier,
9367,P81,6,2010,New,Household Buyer - Non-Occupier,
9924,P81,6,2010,Existing,All Buyer Types,170000.0
9925,P81,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9926,P81,6,2010,Existing,Household Buyer - Former Owner-Occupier,170000.0
9927,P81,6,2010,Existing,Household Buyer - Non-Occupier,
10484,P81,7,2010,All Dwelling Statuses,All Buyer Types,108960.0
10485,P81,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,118267.0
10486,P81,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
10487,P81,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,95000.0
11044,P81,7,2010,New,All Buyer Types,
11045,P81,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
11046,P81,7,2010,New,Household Buyer - Former Owner-Occupier,
11047,P81,7,2010,New,Household Buyer - Non-Occupier,
11604,P81,7,2010,Existing,All Buyer Types,108960.0
11605,P81,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,118267.0
11606,P81,7,2010,Existing,Household Buyer - Former Owner-Occupier,
11607,P81,7,2010,Existing,Household Buyer - Non-Occupier,95000.0
12164,P81,8,2010,All Dwelling Statuses,All Buyer Types,160625.0
12165,P81,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,195833.0
12166,P81,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
12167,P81,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,139500.0
12724,P81,8,2010,New,All Buyer Types,
12725,P81,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12726,P81,8,2010,New,Household Buyer - Former Owner-Occupier,
12727,P81,8,2010,New,Household Buyer - Non-Occupier,
13284,P81,8,2010,Existing,All Buyer Types,160625.0
13285,P81,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,195833.0
13286,P81,8,2010,Existing,Household Buyer - Former Owner-Occupier,
13287,P81,8,2010,Existing,Household Buyer - Non-Occupier,139500.0
13844,P81,9,2010,All Dwelling Statuses,All Buyer Types,170000.0
13845,P81,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
13846,P81,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,194333.0
13847,P81,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,133500.0
14404,P81,9,2010,New,All Buyer Types,255000.0
14405,P81,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
14406,P81,9,2010,New,Household Buyer - Former Owner-Occupier,255000.0
14407,P81,9,2010,New,Household Buyer - Non-Occupier,
14964,P81,9,2010,Existing,All Buyer Types,148750.0
