,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
236,F91,1,2010,All Dwelling Statuses,All Buyer Types,158924.0
237,F91,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170751.0
238,F91,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,174730.0
239,F91,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,80000.0
796,F91,1,2010,New,All Buyer Types,261050.0
797,F91,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
798,F91,1,2010,New,Household Buyer - Former Owner-Occupier,
799,F91,1,2010,New,Household Buyer - Non-Occupier,
1356,F91,1,2010,Existing,All Buyer Types,141903.0
1357,F91,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,140652.0
1358,F91,1,2010,Existing,Household Buyer - Former Owner-Occupier,174730.0
1359,F91,1,2010,Existing,Household Buyer - Non-Occupier,80000.0
1916,F91,2,2010,All Dwelling Statuses,All Buyer Types,207117.0
1917,F91,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,190400.0
1918,F91,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,315000.0
1919,F91,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,173995.0
2476,F91,2,2010,New,All Buyer Types,193725.0
2477,F91,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,185600.0
2478,F91,2,2010,New,Household Buyer - Former Owner-Occupier,
2479,F91,2,2010,New,Household Buyer - Non-Occupier,209975.0
3036,F91,2,2010,Existing,All Buyer Types,212857.0
3037,F91,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
3038,F91,2,2010,Existing,Household Buyer - Former Owner-Occupier,315000.0
3039,F91,2,2010,Existing,Household Buyer - Non-Occupier,165000.0
3596,F91,3,2010,All Dwelling Statuses,All Buyer Types,225396.0
3597,F91,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,159500.0
3598,F91,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,344630.0
3599,F91,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,142250.0
4156,F91,3,2010,New,All Buyer Types,192825.0
4157,F91,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4158,F91,3,2010,New,Household Buyer - Former Owner-Occupier,215650.0
4159,F91,3,2010,New,Household Buyer - Non-Occupier,169999.0
4716,F91,3,2010,Existing,All Buyer Types,231318.0
4717,F91,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,159500.0
4718,F91,3,2010,Existing,Household Buyer - Former Owner-Occupier,376875.0
4719,F91,3,2010,Existing,Household Buyer - Non-Occupier,133000.0
5276,F91,4,2010,All Dwelling Statuses,All Buyer Types,193638.0
5277,F91,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,195241.0
5278,F91,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,186942.0
5279,F91,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,198875.0
5836,F91,4,2010,New,All Buyer Types,198838.0
5837,F91,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,182550.0
