,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
316,K67,1,2010,All Dwelling Statuses,All Buyer Types,278455.0
317,K67,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,248214.0
318,K67,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,350167.0
319,K67,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,275000.0
876,K67,1,2010,New,All Buyer Types,
877,K67,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
878,K67,1,2010,New,Household Buyer - Former Owner-Occupier,
879,K67,1,2010,New,Household Buyer - Non-Occupier,
1436,K67,1,2010,Existing,All Buyer Types,278455.0
1437,K67,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,248214.0
1438,K67,1,2010,Existing,Household Buyer - Former Owner-Occupier,350167.0
1439,K67,1,2010,Existing,Household Buyer - Non-Occupier,275000.0
1996,K67,2,2010,All Dwelling Statuses,All Buyer Types,301193.0
1997,K67,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,254665.0
1998,K67,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,394250.0
1999,K67,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2556,K67,2,2010,New,All Buyer Types,232330.0
2557,K67,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,239107.0
2558,K67,2,2010,New,Household Buyer - Former Owner-Occupier,212000.0
2559,K67,2,2010,New,Household Buyer - Non-Occupier,
3116,K67,2,2010,Existing,All Buyer Types,335625.0
3117,K67,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,264000.0
3118,K67,2,2010,Existing,Household Buyer - Former Owner-Occupier,455000.0
3119,K67,2,2010,Existing,Household Buyer - Non-Occupier,
3676,K67,3,2010,All Dwelling Statuses,All Buyer Types,256248.0
3677,K67,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,255286.0
3678,K67,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,257931.0
3679,K67,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4236,K67,3,2010,New,All Buyer Types,266725.0
4237,K67,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4238,K67,3,2010,New,Household Buyer - Former Owner-Occupier,266725.0
4239,K67,3,2010,New,Household Buyer - Non-Occupier,
4796,K67,3,2010,Existing,All Buyer Types,255200.0
4797,K67,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,255286.0
4798,K67,3,2010,Existing,Household Buyer - Former Owner-Occupier,255000.0
4799,K67,3,2010,Existing,Household Buyer - Non-Occupier,
5356,K67,4,2010,All Dwelling Statuses,All Buyer Types,288516.0
5357,K67,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,249659.0
5358,K67,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,356250.0
5359,K67,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,445000.0
5916,K67,4,2010,New,All Buyer Types,415000.0
5917,K67,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5918,K67,4,2010,New,Household Buyer - Former Owner-Occupier,415000.0
5919,K67,4,2010,New,Household Buyer - Non-Occupier,
6476,K67,4,2010,Existing,All Buyer Types,280083.0
6477,K67,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,249659.0
6478,K67,4,2010,Existing,Household Buyer - Former Owner-Occupier,336667.0
6479,K67,4,2010,Existing,Household Buyer - Non-Occupier,445000.0
7036,K67,5,2010,All Dwelling Statuses,All Buyer Types,257853.0
7037,K67,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,240654.0
7038,K67,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,313750.0
7039,K67,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7596,K67,5,2010,New,All Buyer Types,370000.0
7597,K67,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7598,K67,5,2010,New,Household Buyer - Former Owner-Occupier,370000.0
7599,K67,5,2010,New,Household Buyer - Non-Occupier,
8156,K67,5,2010,Existing,All Buyer Types,250844.0
8157,K67,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,240654.0
8158,K67,5,2010,Existing,Household Buyer - Former Owner-Occupier,295000.0
8159,K67,5,2010,Existing,Household Buyer - Non-Occupier,
8716,K67,6,2010,All Dwelling Statuses,All Buyer Types,325189.0
8717,K67,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,284534.0
8718,K67,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,487809.0
8719,K67,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9276,K67,6,2010,New,All Buyer Types,287269.0
9277,K67,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,287269.0
9278,K67,6,2010,New,Household Buyer - Former Owner-Occupier,
9279,K67,6,2010,New,Household Buyer - Non-Occupier,
9836,K67,6,2010,Existing,All Buyer Types,329402.0
9837,K67,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,284143.0
9838,K67,6,2010,Existing,Household Buyer - Former Owner-Occupier,487809.0
9839,K67,6,2010,Existing,Household Buyer - Non-Occupier,
10396,K67,7,2010,All Dwelling Statuses,All Buyer Types,248391.0
10397,K67,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,242944.0
10398,K67,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,262917.0
10399,K67,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
