Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
T12,Cork Southside,1,2010,All Dwelling Statuses,All Buyer Types,299630.0
T12,Cork Southside,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,266283.0
T12,Cork Southside,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,400190.0
T12,Cork Southside,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,242500.0
T12,Cork Southside,1,2010,New,All Buyer Types,358990.0
T12,Cork Southside,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,341556.0
T12,Cork Southside,1,2010,New,Household Buyer - Former Owner-Occupier,382236.0
T12,Cork Southside,1,2010,New,Household Buyer - Non-Occupier,
T12,Cork Southside,1,2010,Existing,All Buyer Types,284241.0
T12,Cork Southside,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,249556.0
T12,Cork Southside,1,2010,Existing,Household Buyer - Former Owner-Occupier,409167.0
T12,Cork Southside,1,2010,Existing,Household Buyer - Non-Occupier,242500.0
T12,Cork Southside,2,2010,All Dwelling Statuses,All Buyer Types,308246.0
T12,Cork Southside,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,226778.0
T12,Cork Southside,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,388412.0
T12,Cork Southside,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,207000.0
T12,Cork Southside,2,2010,New,All Buyer Types,328253.0
T12,Cork Southside,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
T12,Cork Southside,2,2010,New,Household Buyer - Former Owner-Occupier,328253.0
T12,Cork Southside,2,2010,New,Household Buyer - Non-Occupier,
T12,Cork Southside,2,2010,Existing,All Buyer Types,306955.0
T12,Cork Southside,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,226778.0
T12,Cork Southside,2,2010,Existing,Household Buyer - Former Owner-Occupier,396433.0
T12,Cork Southside,2,2010,Existing,Household Buyer - Non-Occupier,207000.0
T12,Cork Southside,3,2010,All Dwelling Statuses,All Buyer Types,300301.0
