,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
180,E41,1,2010,All Dwelling Statuses,All Buyer Types,191532.0
181,E41,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,213000.0
182,E41,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
183,E41,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,180799.0
740,E41,1,2010,New,All Buyer Types,180799.0
741,E41,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
742,E41,1,2010,New,Household Buyer - Former Owner-Occupier,
743,E41,1,2010,New,Household Buyer - Non-Occupier,180799.0
1300,E41,1,2010,Existing,All Buyer Types,213000.0
1301,E41,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,213000.0
1302,E41,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1303,E41,1,2010,Existing,Household Buyer - Non-Occupier,
1860,E41,2,2010,All Dwelling Statuses,All Buyer Types,139500.0
1861,E41,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,105500.0
1862,E41,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,173000.0
1863,E41,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,40000.0
2420,E41,2,2010,New,All Buyer Types,
2421,E41,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2422,E41,2,2010,New,Household Buyer - Former Owner-Occupier,
2423,E41,2,2010,New,Household Buyer - Non-Occupier,
2980,E41,2,2010,Existing,All Buyer Types,139500.0
2981,E41,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,105500.0
2982,E41,2,2010,Existing,Household Buyer - Former Owner-Occupier,173000.0
2983,E41,2,2010,Existing,Household Buyer - Non-Occupier,40000.0
3540,E41,3,2010,All Dwelling Statuses,All Buyer Types,205130.0
3541,E41,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,206508.0
3542,E41,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,205000.0
3543,E41,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,198500.0
4100,E41,3,2010,New,All Buyer Types,173885.0
4101,E41,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,165680.0
4102,E41,3,2010,New,Household Buyer - Former Owner-Occupier,
4103,E41,3,2010,New,Household Buyer - Non-Occupier,198500.0
4660,E41,3,2010,Existing,All Buyer Types,236375.0
4661,E41,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,267750.0
4662,E41,3,2010,Existing,Household Buyer - Former Owner-Occupier,205000.0
4663,E41,3,2010,Existing,Household Buyer - Non-Occupier,
5220,E41,4,2010,All Dwelling Statuses,All Buyer Types,178354.0
5221,E41,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,190507.0
5222,E41,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,185990.0
5223,E41,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,163513.0
5780,E41,4,2010,New,All Buyer Types,165314.0
5781,E41,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,172520.0
5782,E41,4,2010,New,Household Buyer - Former Owner-Occupier,
5783,E41,4,2010,New,Household Buyer - Non-Occupier,163513.0
6340,E41,4,2010,Existing,All Buyer Types,191394.0
6341,E41,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,199500.0
6342,E41,4,2010,Existing,Household Buyer - Former Owner-Occupier,185990.0
6343,E41,4,2010,Existing,Household Buyer - Non-Occupier,
6900,E41,5,2010,All Dwelling Statuses,All Buyer Types,145507.0
6901,E41,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,168760.0
6902,E41,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,99000.0
6903,E41,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7460,E41,5,2010,New,All Buyer Types,172520.0
7461,E41,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,172520.0
7462,E41,5,2010,New,Household Buyer - Former Owner-Occupier,
7463,E41,5,2010,New,Household Buyer - Non-Occupier,
8020,E41,5,2010,Existing,All Buyer Types,132000.0
8021,E41,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
8022,E41,5,2010,Existing,Household Buyer - Former Owner-Occupier,99000.0
8023,E41,5,2010,Existing,Household Buyer - Non-Occupier,
8580,E41,6,2010,All Dwelling Statuses,All Buyer Types,138016.0
8581,E41,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,138016.0
8582,E41,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8583,E41,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9140,E41,6,2010,New,All Buyer Types,142579.0
9141,E41,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,142579.0
9142,E41,6,2010,New,Household Buyer - Former Owner-Occupier,
9143,E41,6,2010,New,Household Buyer - Non-Occupier,
9700,E41,6,2010,Existing,All Buyer Types,136875.0
9701,E41,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,136875.0
9702,E41,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9703,E41,6,2010,Existing,Household Buyer - Non-Occupier,
10260,E41,7,2010,All Dwelling Statuses,All Buyer Types,219800.0
10261,E41,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,166333.0
10262,E41,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,300000.0
10263,E41,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
10820,E41,7,2010,New,All Buyer Types,151999.0
10821,E41,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,151999.0
10822,E41,7,2010,New,Household Buyer - Former Owner-Occupier,
10823,E41,7,2010,New,Household Buyer - Non-Occupier,
11380,E41,7,2010,Existing,All Buyer Types,236750.0
11381,E41,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,173500.0
11382,E41,7,2010,Existing,Household Buyer - Former Owner-Occupier,300000.0
11383,E41,7,2010,Existing,Household Buyer - Non-Occupier,
11940,E41,8,2010,All Dwelling Statuses,All Buyer Types,148805.0
11941,E41,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,165007.0
11942,E41,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,130667.0
11943,E41,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,25000.0
12500,E41,8,2010,New,All Buyer Types,172154.0
12501,E41,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,172154.0
12502,E41,8,2010,New,Household Buyer - Former Owner-Occupier,
12503,E41,8,2010,New,Household Buyer - Non-Occupier,
13060,E41,8,2010,Existing,All Buyer Types,128375.0
13061,E41,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,152500.0
13062,E41,8,2010,Existing,Household Buyer - Former Owner-Occupier,130667.0
13063,E41,8,2010,Existing,Household Buyer - Non-Occupier,25000.0
13620,E41,9,2010,All Dwelling Statuses,All Buyer Types,149997.0
13621,E41,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,166902.0
13622,E41,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,139330.0
13623,E41,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,85000.0
14180,E41,9,2010,New,All Buyer Types,172620.0
14181,E41,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,175552.0
14182,E41,9,2010,New,Household Buyer - Former Owner-Occupier,163825.0
14183,E41,9,2010,New,Household Buyer - Non-Occupier,
14740,E41,9,2010,Existing,All Buyer Types,113800.0
14741,E41,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,115000.0
14742,E41,9,2010,Existing,Household Buyer - Former Owner-Occupier,123000.0
14743,E41,9,2010,Existing,Household Buyer - Non-Occupier,85000.0
15300,E41,10,2010,All Dwelling Statuses,All Buyer Types,103600.0
15301,E41,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,80000.0
15302,E41,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,139000.0
15303,E41,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,80000.0
15860,E41,10,2010,New,All Buyer Types,
15861,E41,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15862,E41,10,2010,New,Household Buyer - Former Owner-Occupier,
15863,E41,10,2010,New,Household Buyer - Non-Occupier,
16420,E41,10,2010,Existing,All Buyer Types,103600.0
16421,E41,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,80000.0
16422,E41,10,2010,Existing,Household Buyer - Former Owner-Occupier,139000.0
16423,E41,10,2010,Existing,Household Buyer - Non-Occupier,80000.0
16980,E41,11,2010,All Dwelling Statuses,All Buyer Types,186020.0
16981,E41,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,198544.0
16982,E41,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,175286.0
16983,E41,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17540,E41,11,2010,New,All Buyer Types,215253.0
17541,E41,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,215253.0
17542,E41,11,2010,New,Household Buyer - Former Owner-Occupier,
17543,E41,11,2010,New,Household Buyer - Non-Occupier,
18100,E41,11,2010,Existing,All Buyer Types,167750.0
18101,E41,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,115000.0
