,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
176,E34,1,2010,All Dwelling Statuses,All Buyer Types,186000.0
177,E34,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,186000.0
178,E34,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
179,E34,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
736,E34,1,2010,New,All Buyer Types,
737,E34,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
738,E34,1,2010,New,Household Buyer - Former Owner-Occupier,
739,E34,1,2010,New,Household Buyer - Non-Occupier,
1296,E34,1,2010,Existing,All Buyer Types,186000.0
1297,E34,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,186000.0
1298,E34,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1299,E34,1,2010,Existing,Household Buyer - Non-Occupier,
1856,E34,2,2010,All Dwelling Statuses,All Buyer Types,182750.0
1857,E34,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
1858,E34,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,182750.0
1859,E34,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2416,E34,2,2010,New,All Buyer Types,
2417,E34,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2418,E34,2,2010,New,Household Buyer - Former Owner-Occupier,
2419,E34,2,2010,New,Household Buyer - Non-Occupier,
2976,E34,2,2010,Existing,All Buyer Types,182750.0
2977,E34,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
2978,E34,2,2010,Existing,Household Buyer - Former Owner-Occupier,182750.0
2979,E34,2,2010,Existing,Household Buyer - Non-Occupier,
3536,E34,3,2010,All Dwelling Statuses,All Buyer Types,160833.0
3537,E34,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
3538,E34,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,153750.0
3539,E34,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4096,E34,3,2010,New,All Buyer Types,
4097,E34,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4098,E34,3,2010,New,Household Buyer - Former Owner-Occupier,
4099,E34,3,2010,New,Household Buyer - Non-Occupier,
4656,E34,3,2010,Existing,All Buyer Types,160833.0
4657,E34,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,175000.0
4658,E34,3,2010,Existing,Household Buyer - Former Owner-Occupier,153750.0
4659,E34,3,2010,Existing,Household Buyer - Non-Occupier,
5216,E34,4,2010,All Dwelling Statuses,All Buyer Types,87000.0
5217,E34,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
5218,E34,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,87000.0
5219,E34,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5776,E34,4,2010,New,All Buyer Types,
5777,E34,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5778,E34,4,2010,New,Household Buyer - Former Owner-Occupier,
5779,E34,4,2010,New,Household Buyer - Non-Occupier,
6336,E34,4,2010,Existing,All Buyer Types,87000.0
6337,E34,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6338,E34,4,2010,Existing,Household Buyer - Former Owner-Occupier,87000.0
6339,E34,4,2010,Existing,Household Buyer - Non-Occupier,
6896,E34,5,2010,All Dwelling Statuses,All Buyer Types,97500.0
6897,E34,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,90000.0
6898,E34,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,105000.0
