,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
496,V92,1,2010,All Dwelling Statuses,All Buyer Types,212961.0
497,V92,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,175143.0
498,V92,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,256000.0
499,V92,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,181000.0
1056,V92,1,2010,New,All Buyer Types,193285.0
1057,V92,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,206570.0
1058,V92,1,2010,New,Household Buyer - Former Owner-Occupier,180000.0
1059,V92,1,2010,New,Household Buyer - Non-Occupier,
1616,V92,1,2010,Existing,All Buyer Types,217333.0
1617,V92,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,164667.0
1618,V92,1,2010,Existing,Household Buyer - Former Owner-Occupier,275000.0
1619,V92,1,2010,Existing,Household Buyer - Non-Occupier,181000.0
2176,V92,2,2010,All Dwelling Statuses,All Buyer Types,149488.0
2177,V92,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,157563.0
2178,V92,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,137500.0
2179,V92,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,147407.0
2736,V92,2,2010,New,All Buyer Types,170250.0
2737,V92,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,170250.0
2738,V92,2,2010,New,Household Buyer - Former Owner-Occupier,
2739,V92,2,2010,New,Household Buyer - Non-Occupier,
3296,V92,2,2010,Existing,All Buyer Types,147181.0
3297,V92,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,153333.0
3298,V92,2,2010,Existing,Household Buyer - Former Owner-Occupier,137500.0
3299,V92,2,2010,Existing,Household Buyer - Non-Occupier,147407.0
3856,V92,3,2010,All Dwelling Statuses,All Buyer Types,197331.0
3857,V92,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196190.0
3858,V92,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,269523.0
3859,V92,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,109375.0
4416,V92,3,2010,New,All Buyer Types,235533.0
4417,V92,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,189758.0
4418,V92,3,2010,New,Household Buyer - Former Owner-Occupier,281308.0
4419,V92,3,2010,New,Household Buyer - Non-Occupier,
4976,V92,3,2010,Existing,All Buyer Types,185577.0
4977,V92,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,198333.0
4978,V92,3,2010,Existing,Household Buyer - Former Owner-Occupier,261667.0
4979,V92,3,2010,Existing,Household Buyer - Non-Occupier,109375.0
5536,V92,4,2010,All Dwelling Statuses,All Buyer Types,222781.0
5537,V92,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,279775.0
5538,V92,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,239095.0
5539,V92,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,125000.0
6096,V92,4,2010,New,All Buyer Types,308342.0
6097,V92,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,374550.0
6098,V92,4,2010,New,Household Buyer - Former Owner-Occupier,275238.0
6099,V92,4,2010,New,Household Buyer - Non-Occupier,
6656,V92,4,2010,Existing,All Buyer Types,180000.0
6657,V92,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,185000.0
6658,V92,4,2010,Existing,Household Buyer - Former Owner-Occupier,215000.0
6659,V92,4,2010,Existing,Household Buyer - Non-Occupier,125000.0
7216,V92,5,2010,All Dwelling Statuses,All Buyer Types,177423.0
